month,tipo_redespacho,up_mwh,dn_mwh,code_str,channel,up_gwh,dn_gwh
2024-12-01,80,2623.83,2012.4799999999998,80,Uncategorised (project doc silent),2.62383,2.0124799999999996
2024-06-01,69,11325.983999999999,19492.232000000036,69,Voltage control / black-start (69),11.325983999999998,19.492232000000037
2025-02-01,33,0.0,9390.779999999997,33,RT general (33),0.0,9.390779999999998
2025-12-01,61,358012.2249999999,95640.45,61,"RT system-security RZ, PO 3.2 (61)",358.01222499999994,95.64045
2025-12-01,66,10623.399999999978,10960.332999999999,66,Uncategorised (project doc silent),10.623399999999977,10.960332999999999
2024-07-01,24,3255.6499999999996,0.0,24,Uncategorised (project doc silent),3.2556499999999997,0.0
2024-07-01,85,1816.85,0.0,85,Uncategorised (project doc silent),1.8168499999999999,0.0
2026-01-01,80,7305.826000000001,8528.317,80,Uncategorised (project doc silent),7.305826000000001,8.528317
2024-03-01,94,135355.79999999996,69730.3,94,System balancing / residual imbalance (94),135.35579999999996,69.7303
2025-07-01,94,89750.875,74964.14999999998,94,System balancing / residual imbalance (94),89.750875,74.96414999999998
2025-06-01,69,6288.940999999999,36140.54400000008,69,Voltage control / black-start (69),6.288940999999999,36.140544000000084
2024-05-01,69,8475.843,18816.772000000004,69,Voltage control / black-start (69),8.475843000000001,18.816772000000004
2025-03-01,24,682.672,0.0,24,Uncategorised (project doc silent),0.6826720000000001,0.0
2024-02-01,92,97983.18300000008,12713.299999999996,92,mFRR activation (92),97.98318300000008,12.713299999999995
2024-02-01,19,51.0,0.0,19,Uncategorised (project doc silent),0.051,0.0
2024-11-01,81,157834.0,173470.40000000005,81,Catch-all 'other' bucket (81),157.834,173.47040000000004
2024-08-01,92,2772.3,108785.05000000006,92,mFRR activation (92),2.7723,108.78505000000006
2024-08-01,19,2741.6000000000004,0.0,19,Uncategorised (project doc silent),2.7416000000000005,0.0
2025-05-01,80,6903.000000000001,8357.083000000002,80,Uncategorised (project doc silent),6.9030000000000005,8.357083000000003
2024-04-01,80,1233.3339999999998,2963.4719999999998,80,Uncategorised (project doc silent),1.233334,2.963472
2025-01-01,34,0.0,1309.0250000000008,34,RT inter-zonal / network (34),0.0,1.3090250000000008
2025-11-01,34,0.0,169.17000000000002,34,RT inter-zonal / network (34),0.0,0.16917000000000001
2024-12-01,68,96.1,148.55,68,Reserve management (68),0.09609999999999999,0.14855000000000002
2025-10-01,69,10830.926000000001,28095.848000000075,69,Voltage control / black-start (69),10.830926000000002,28.095848000000075
2025-08-01,24,612.1419999999999,0.0,24,Uncategorised (project doc silent),0.612142,0.0
2026-02-01,69,16016.619999999997,30697.91400000007,69,Voltage control / black-start (69),16.016619999999996,30.69791400000007
2024-10-01,34,0.0,229.14199999999994,34,RT inter-zonal / network (34),0.0,0.22914199999999993
2025-12-01,81,404676.25,108738.175,81,Catch-all 'other' bucket (81),404.67625,108.738175
2025-04-01,34,0.0,1136.392000000002,34,RT inter-zonal / network (34),0.0,1.136392000000002
2026-01-01,68,98.35000000000001,954.775,68,Reserve management (68),0.09835,0.9547749999999999
2025-07-01,96,27631.25,32261.5,96,Uncategorised (project doc silent),27.63125,32.2615
2025-06-01,33,0.0,198193.88700000042,33,RT general (33),0.0,198.19388700000042
2024-05-01,33,0.0,53848.96300000004,33,RT general (33),0.0,53.84896300000004
2025-03-01,81,154633.25,425949.55,81,Catch-all 'other' bucket (81),154.63325,425.94955
2024-11-01,24,49.8,0.0,24,Uncategorised (project doc silent),0.0498,0.0
2025-01-01,68,0.0,1170.0250000000003,68,Reserve management (68),0.0,1.1700250000000003
2025-11-01,68,195.44199999999998,1699.042,68,Reserve management (68),0.19544199999999998,1.699042
2024-01-01,92,78912.50799999996,33017.43400000001,92,mFRR activation (92),78.91250799999996,33.01743400000001
2024-12-01,34,0.0,237.06500000000003,34,RT inter-zonal / network (34),0.0,0.23706500000000003
2025-10-01,33,0.0,182357.53900000037,33,RT general (33),0.0,182.35753900000037
2025-08-01,81,299805.5,183308.0,81,Catch-all 'other' bucket (81),299.8055,183.308
2026-02-01,33,0.0,12143.19,33,RT general (33),0.0,12.14319
2024-10-01,68,209.575,1559.5939999999998,68,Reserve management (68),0.20957499999999998,1.559594
2024-07-01,61,260795.62500000003,250370.425,61,"RT system-security RZ, PO 3.2 (61)",260.79562500000003,250.37042499999998
2024-07-01,66,252.483,5500.224000000002,66,Uncategorised (project doc silent),0.252483,5.500224000000002
2025-04-01,68,517.5749999999999,1772.4,68,Reserve management (68),0.5175749999999999,1.7724000000000002
2026-01-01,34,0.0,1079.8120000000013,34,RT inter-zonal / network (34),0.0,1.0798120000000013
2024-09-01,24,134.88299999999998,0.0,24,Uncategorised (project doc silent),0.13488299999999998,0.0
2024-02-01,34,0.0,532.5400000000001,34,RT inter-zonal / network (34),0.0,0.5325400000000001
2025-09-01,81,192745.5,244630.27500000002,81,Catch-all 'other' bucket (81),192.7455,244.630275
2024-08-01,34,0.0,95.42999999999998,34,RT inter-zonal / network (34),0.0,0.09542999999999997
2025-05-01,96,35039.25,23024.25,96,Uncategorised (project doc silent),35.03925,23.02425
2025-01-01,92,124808.79199999981,33002.90000000001,92,mFRR activation (92),124.80879199999981,33.00290000000001
2025-01-01,19,40.0,0.0,19,Uncategorised (project doc silent),0.04,0.0
2025-11-01,92,91947.283,18578.900000000005,92,mFRR activation (92),91.947283,18.578900000000004
2025-11-01,38,0.0,40.0,38,Uncategorised (project doc silent),0.0,0.04
2025-11-01,19,399.0,0.0,19,Uncategorised (project doc silent),0.399,0.0
2024-01-01,68,0.0,270.717,68,Reserve management (68),0.0,0.270717
2024-06-01,24,47.5,0.0,24,Uncategorised (project doc silent),0.0475,0.0
2024-10-01,92,31839.432999999997,30778.65000000001,92,mFRR activation (92),31.839432999999996,30.77865000000001
2024-10-01,19,1567.5,0.0,19,Uncategorised (project doc silent),1.5675,0.0
2025-02-01,81,85170.25,424738.125,81,Catch-all 'other' bucket (81),85.17025,424.738125
2024-07-01,69,10757.584000000003,33859.79799999998,69,Voltage control / black-start (69),10.757584000000003,33.859797999999984
2025-04-01,92,271082.2329999999,35505.29999999999,92,mFRR activation (92),271.0822329999999,35.50529999999999
2025-04-01,19,554.1,0.0,19,Uncategorised (project doc silent),0.5541,0.0
2025-04-01,38,0.0,42.7,38,Uncategorised (project doc silent),0.0,0.0427
2024-03-01,68,17.5,736.7080000000002,68,Reserve management (68),0.0175,0.7367080000000003
2025-07-01,68,0.0,1009.3,68,Reserve management (68),0.0,1.0092999999999999
2024-09-01,61,188836.15,360452.6,61,"RT system-security RZ, PO 3.2 (61)",188.83615,360.45259999999996
