firm_class,hour,n_obs,n_unique_units,mean_n_tranches,mean_p_min,mean_p_med,mean_p_max,mean_qty_mw,mech_strict_rate
HC,20,183,2,6.0,-4.644808743169399,106.3972131147541,698.9945355191256,71.175956284153,1.0
HC,21,183,2,6.0,-4.644808743169399,106.3972131147541,698.9945355191256,71.175956284153,1.0
HC,22,183,2,6.0,-4.644808743169399,106.3972131147541,698.9945355191256,71.175956284153,1.0
HC,23,183,2,6.0,-4.644808743169399,106.40459016393443,698.9945355191256,71.175956284153,1.0
IB,0,712,9,4.370786516853933,240.90193820224718,246.75054950842696,355.01754213483144,356.259874581567,0.9845505617977528
IB,1,713,9,4.373071528751753,241.61895862552595,246.60997194950912,352.06282959326785,355.7468098560314,0.9901823281907434
IB,2,713,9,4.3758765778401125,241.70761220196354,246.6619074333801,352.4278541374474,355.817863650297,0.9761570827489481
IB,3,713,9,4.387447405329593,236.76059607293126,243.9776612903226,350.5069004207574,352.5973826177718,0.9158485273492286
IB,4,713,9,4.946353436185134,160.10770687237027,196.11000701262273,349.3594530154278,230.46391336028782,0.45582047685834504
IB,5,713,9,5.220196353436185,124.83651122019634,173.6114516129032,348.5764446002805,174.2412991547178,0.41374474053295934
IB,6,713,9,9.989481065918653,113.40466339410939,134.67094319775597,326.7298036465638,74.6007687294784,0.9691444600280504
IB,7,713,9,10.207573632538569,113.06985974754558,133.6140252454418,320.96753155680227,69.99652382369072,1.0
IB,8,713,9,10.207573632538569,113.16377279102385,133.82143057503507,321.33806451612907,69.85494263139074,0.9943899018232819
IB,9,713,9,10.183730715287517,113.49142356241234,133.2802559607293,326.59068723702666,69.42415540669397,0.9943899018232819
IB,10,713,9,10.180224403927069,113.83988779803646,133.19481591865357,333.7497335203366,69.06438510472697,0.9929873772791024
IB,11,713,9,10.14586255259467,113.83988779803646,131.50860448807853,346.5629453015428,68.39033339498276,1.0
IB,12,713,9,10.102384291725105,114.12952314165499,129.82820476858345,351.14431977559605,68.57032356532356,1.0
IB,13,713,9,10.091164095371669,114.12952314165499,129.22948807854138,351.7032538569425,68.61373472250051,1.0
IB,14,713,9,10.097124824684432,114.0362587657784,129.02925140252455,352.4399018232819,68.5125870798206,0.9985974754558204
IB,15,713,9,10.096774193548388,113.75646563814867,128.83206872370266,352.501079943899,68.320386738865,0.9985974754558204
IB,16,713,9,10.107994389901823,113.65647966339412,128.93703366058907,353.1210238429173,68.24264942708842,0.9985974754558204
IB,17,711,9,10.10548523206751,113.71002812939523,129.00887482419128,351.3665541490858,68.13395212850908,1.0
IB,18,711,9,10.13888888888889,113.8249929676512,128.53643811533053,350.49517580872015,68.59322603420178,0.9929676511954993
IB,19,711,9,10.154711673699016,113.68208157524614,128.808129395218,346.1679184247539,69.03339672751065,1.0
IB,20,711,9,10.183895921237694,113.68208157524614,129.6873224331927,344.92706047819973,69.02878098226199,0.9985935302390999
IB,21,711,9,10.19831223628692,113.68208157524614,130.5475105485232,341.9285091420535,69.0192232474511,1.0
IB,22,711,9,10.205696202531646,113.5329500703235,131.23961673699014,340.430253164557,69.03640352888243,0.9985935302390999
IB,23,712,9,10.201544943820224,113.55654494382021,131.8813588483146,339.7437640449438,68.70668249509542,0.9985955056179775
