unit_code,firm,pre_mwh,post_mwh,pre_active_obs,post_active_obs,post_share,mwh_drop_pct,exited,firm_group
ARRU1R,DET,18552.0,5145.1,239.0,45.0,0.18828451882845187,72.26660198361363,False,Fringe
REPPLL,REP,16167.6,32456.4,3188.0,6390.0,2.0043914680050188,-100.74964744303422,False,Fringe
GDNA,GE,162113.9000000003,428559.3999999999,2872.0,10514.0,3.6608635097493036,-164.35697370799116,False,GE
ASC1,GE,6129898.60000001,13152976.9,7466.0,13578.0,1.8186445218323064,-114.57087234689297,False,GE
TAPOWER,IB,9120.499999999998,51865.70000000002,36.0,244.0,6.777777777777778,-468.67167370209995,False,IB
CTJON2,IB,149434.90000000002,166867.00000000012,559.0,541.0,0.9677996422182469,-11.665347251545716,False,IB
STC4,IB,95523.69999999997,83581.80000000002,352.0,245.0,0.6960227272727273,12.501504862144111,False,IB
CTN3,IB,219713.7,179786.40000000014,825.0,637.0,0.7721212121212121,18.172421656000452,False,IB
PALOS2,GN,84725.6,266045.50000000047,296.0,775.0,2.6182432432432434,-214.00839887826163,False,GN
AMBIETA,EGL,436501.90000000014,2997.1,844.0,9.0,0.01066350710900474,99.31338214106285,True,Fringe
SROQ2,GE,561736.1000000001,719169.4,1741.0,1977.0,1.1355542791499138,-28.02620305157527,False,GE
TRL1,GE,83206.10000000076,124954.80000000715,9678.0,13872.0,1.4333539987600743,-50.17504726216708,False,GE
GNANDU,,7467.500000000083,8222.699999999957,10536.0,14787.0,1.4034738041002277,-10.11315701372435,False,Fringe
CHVNR,,288.00000000000136,0.0,1440.0,0.0,0.0,100.0,False,Fringe
GRDZR,,1295.9999999999836,0.0,1440.0,0.0,0.0,100.0,True,Fringe
AGUG,,1357858.6000000006,2503071.5,5557.0,8960.0,1.6123807809969408,-84.33962858872043,False,Fringe
BRR1R1,HC,126508.59999999999,3050.0,501.0,19.0,0.03792415169660679,97.58909670963081,True,HC
PALOS3,GN,45883.700000000004,145110.7999999999,136.0,428.0,3.1470588235294117,-216.25784319921863,False,GN
UPPTCHA,,457.4999999999904,200.30000000000177,4575.0,2003.0,0.43781420765027323,56.21857923497137,False,Fringe
WMTRCDR,,6030.299999999976,3896.399999999957,5851.0,4224.0,0.7219278755768245,35.386299189095524,False,Fringe
ASIEBRO,,84655.90000000116,122372.60000000142,5861.0,15348.0,2.6186657566968092,-44.55294905611983,False,Fringe
IPG,GE,3963.3,162980.2,71.0,2897.0,40.80281690140845,-4012.2347538667277,False,GE
ABA1,,2563.900000000035,1399.3000000000316,10286.0,11717.0,1.1391211355240132,45.42298841608439,False,Fringe
ACC1EBR,EHN,1394853.1999999941,0.0,10155.0,0.0,0.0,100.0,True,Fringe
ASC2,IB,413423.59999999637,369292.500000012,7890.0,13786.0,1.747275031685678,10.674547848740314,False,IB
EBRERZ,GE,5471.6999999999825,4476.000000000042,5025.0,4753.0,0.9458706467661692,18.197269587147392,False,GE
GEPLAS,IB,106911.89999999985,7299.499999999982,2984.0,487.0,0.16320375335120643,93.17241579281634,False,IB
TEES,GE,251620.10000000114,200811.69999999952,4583.0,6123.0,1.3360244381409556,20.192504493878427,False,GE
TRL1,IB,309875.200000005,2632691.2000000067,8448.0,13872.0,1.6420454545454546,-749.5972572183783,False,IB
UFMI,GN,223919.3999999999,421040.2,1308.0,2273.0,1.7377675840978593,-88.03203295471504,False,GN
