parent,year_month,critical_h18_22,flat_h3_5,other,crit_minus_flat
HC,2025-12-01,135.85333333333332,39.166666666666664,561.5661458333344,96.68666666666667
IB,2024-01-01,898.9422222222229,204.61111111111111,333.6172794117646,694.3311111111118
IB,2024-02-01,285.91499999999996,23.333333333333332,125.19999999999999,262.58166666666665
IB,2024-03-01,627.2914285714286,170.0,123.69499999999998,457.2914285714286
IB,2024-04-01,245.26999999999998,,356.96458333333334,
IB,2024-05-01,151.78,4.666666666666667,57.10625,147.11333333333334
IB,2024-06-01,301.38599999999997,175.0,92.24140625,126.38599999999997
IB,2024-07-01,652.9189473684212,321.2625,307.3687499999999,331.6564473684212
IB,2024-08-01,458.2536363636364,140.4,178.84798387096768,317.8536363636364
IB,2024-09-01,374.95866666666666,179.32222222222222,131.36183035714285,195.63644444444444
IB,2024-10-01,278.72599999999994,,107.65384615384616,
IB,2024-11-01,784.9145454545451,139.52380952380952,247.07395833333314,645.3907359307356
IB,2024-12-01,1331.2766666666653,421.78611111111115,673.3798295454542,909.4905555555541
IB,2025-01-01,884.6320000000003,370.8666666666666,343.5999999999998,513.7653333333337
IB,2025-02-01,446.8541176470589,,61.16354166666666,
IB,2025-03-01,139.388,,15.826249999999998,
IB,2025-04-01,201.45999999999998,,64.33125,
IB,2025-05-01,271.46,,19.0625,
IB,2025-06-01,452.5857142857143,467.6333333333333,128.0388888888889,-15.047619047619037
IB,2025-07-01,445.1678260869565,446.8925925925926,189.7989583333333,-1.7247665056361257
IB,2025-08-01,422.37750000000005,323.1833333333333,124.15514705882354,99.19416666666677
IB,2025-09-01,369.65714285714284,215.0,95.32222222222224,154.65714285714284
IB,2025-10-01,162.47500000000002,203.49374999999998,548.1085286458339,-41.018749999999955
IB,2025-11-01,160.84166666666667,72.575,191.08650568181812,88.26666666666667
IB,2025-12-01,146.66642857142855,5.0,252.18541666666684,141.66642857142855
Moeve,2024-01-01,,,7.5,
Moeve,2024-02-01,,,8.482142857142858,
Moeve,2024-03-01,,,6.892857142857143,
Moeve,2024-04-01,86.03999999999999,116.66666666666667,38.607142857142854,-30.62666666666668
Moeve,2024-05-01,,,7.635869565217392,
Moeve,2024-06-01,,,7.467105263157895,
Moeve,2024-07-01,,,10.197368421052632,
Moeve,2024-08-01,,,9.0625,
Moeve,2024-09-01,,,7.34375,
Moeve,2024-10-01,,,7.239583333333333,
Moeve,2024-11-01,,,8.333333333333334,
Moeve,2024-12-01,,,8.630952380952381,
Moeve,2025-01-01,,,9.508928571428571,
Moeve,2025-02-01,,,12.337962962962964,
Moeve,2025-03-01,,,8.778409090909092,
Moeve,2025-05-01,101.34,95.36666666666667,18.491477272727273,5.973333333333329
Moeve,2025-10-01,15.0,15.0,65.353125,0.0
Other,2024-01-01,912.0559999999998,783.6083333333332,373.74602272727276,128.44766666666658
Other,2024-02-01,,,46.7953125,
Other,2024-03-01,152.9228571428571,9.1,28.619886363636365,143.82285714285712
Other,2024-04-01,71.3,,0.7451923076923077,
Other,2024-05-01,,,0.2625,
Other,2024-06-01,156.552,1102.2,28.747794117647057,-945.648
Other,2024-07-01,427.7,747.097435897436,174.90949074074072,-319.39743589743597
Other,2024-08-01,372.1533333333333,714.69,144.36304347826083,-342.53666666666675
Other,2024-09-01,254.3,370.0,21.07608695652174,-115.69999999999999
Other,2024-10-01,355.0,,4.863095238095238,
Other,2024-11-01,643.5,579.7166666666667,113.22465277777776,63.7833333333333
Other,2024-12-01,1131.8011111111111,1055.1833333333334,500.67564655172424,76.61777777777775
Other,2025-01-01,975.1066666666665,589.8333333333335,283.8845394736842,385.27333333333297
Other,2025-02-01,865.488,670.1666666666666,93.71093750000001,195.32133333333343
Other,2025-03-01,355.94,,8.012500000000001,
Other,2025-06-01,,377.31111111111113,87.69375000000001,
Other,2025-10-01,111.54,78.75,183.81124999999992,32.790000000000006
Other,2025-11-01,66.78,97.5,107.746875,-30.72
Other,2025-12-01,84.55,41.480555555555554,367.40742187500007,43.06944444444444
Repsol,2024-01-01,720.8333333333334,545.8944444444445,419.46875,174.93888888888887
Repsol,2024-02-01,350.0,200.0,35.69583333333333,150.0
Repsol,2024-03-01,,,14.84375,
Repsol,2024-04-01,,,10.15625,
Repsol,2024-05-01,203.68,,13.937500000000002,
Repsol,2024-06-01,,408.3333333333333,132.14910714285716,
Repsol,2024-07-01,411.6666666666667,530.0,248.33333333333334,-118.33333333333331
Repsol,2024-08-01,445.0,623.0769230769231,205.63718749999998,-178.0769230769231
Repsol,2024-09-01,466.6666666666667,583.3333333333334,125.48611111111111,-116.66666666666669
Repsol,2024-10-01,298.0,,19.6875,
Repsol,2024-11-01,464.2857142857143,440.0,288.6931818181818,24.285714285714278
Repsol,2024-12-01,431.5,301.2121212121212,290.8854166666667,130.2878787878788
Repsol,2025-01-01,531.1111111111111,329.25925925925924,370.40625,201.85185185185185
Repsol,2025-02-01,456.6666666666667,278.3333333333333,129.7556818181818,178.33333333333337
Repsol,2025-03-01,45.7,220.0,59.25,-174.3
Repsol,2025-06-01,925.0,1092.3076923076924,357.67857142857144,-167.30769230769238
Repsol,2025-07-01,515.3333333333334,841.25,278.125,-325.91666666666663
Repsol,2025-08-01,278.6666666666667,1118.7142857142858,327.9779411764706,-840.047619047619
Repsol,2025-09-01,635.8199999999999,991.6666666666666,334.375,-355.8466666666667
Repsol,2025-10-01,269.944,313.39285714285717,895.5602430555556,-43.44885714285715
Repsol,2025-11-01,251.335,375.0,386.1878125,-123.66499999999999
Repsol,2025-12-01,326.5625,341.6666666666667,1062.1022727272727,-15.104166666666686
TotalEnergies,2024-02-01,791.44,420.0,580.8625,371.44000000000005
TotalEnergies,2024-03-01,733.48,,45.0,
TotalEnergies,2024-04-01,,,25.625,
TotalEnergies,2024-07-01,518.6355555555554,549.3185185185184,318.93522727272733,-30.682962962963074
TotalEnergies,2024-08-01,517.049090909091,541.4222222222222,304.35124999999994,-24.37313131313124
TotalEnergies,2024-09-01,572.9911111111111,594.5555555555554,333.47840909090917,-21.564444444444348
TotalEnergies,2024-10-01,422.15333333333336,420.0,103.70781249999999,2.1533333333333644
TotalEnergies,2024-11-01,722.5800000000003,609.7966666666666,529.4520833333332,112.78333333333364
TotalEnergies,2024-12-01,794.1910000000006,625.105555555556,622.4456249999988,169.08544444444465
TotalEnergies,2025-01-01,772.9650000000007,554.1703703703703,554.6401041666661,218.79462962963044
TotalEnergies,2025-02-01,794.9333333333332,337.15000000000003,198.2625,457.78333333333313
TotalEnergies,2025-06-01,402.18142857142846,654.6958333333332,262.7209558823529,-252.51440476190476
TotalEnergies,2025-07-01,363.1707692307692,640.9261904761905,218.07242647058823,-277.7554212454213
TotalEnergies,2025-08-01,336.672,467.68666666666667,158.07916666666668,-131.01466666666664
TotalEnergies,2025-09-01,374.27,585.8000000000001,156.1203125,-211.5300000000001
TotalEnergies,2025-10-01,122.12119047619048,166.11388888888888,373.63686079545465,-43.9926984126984
TotalEnergies,2025-11-01,109.15416666666667,,154.13085937500003,
TotalEnergies,2025-12-01,117.525,,282.7869791666666,
