market,reform,tech,firm,unit_code,outcome,theta,se,t,n
IDA,DA15,CCGT,HC,SRI4R,slope,0.0009999873375909907,0.03662619340272919,0.027302518899397197,5150
IDA,DA15,CCGT,HC,SRI5R,slope,0.053002018453566,0.047427849378867765,1.1175294504747646,9830
IDA,DA15,CCGT,GN,SROQ1,slope,0.07646710160715431,0.07592405364021143,1.0071525154533538,790
IDA,DA15,CCGT,GE,SROQ2,slope,0.22515019048026508,0.20884782657639475,1.0780585758114511,5345
IDA,DA15,CCGT,IB,STC4,slope,-0.014895926314032693,0.030368713448397838,-0.4905023829654054,1916
IDA,DA15,CCGT,IB,ACE3,intercept,16.266157354279926,10.933926462811792,1.4876775886141167,2025
IDA,DA15,CCGT,GN,ACE4,intercept,4.522277703792497,1.379436437438289,3.27835163770988,19820
IDA,DA15,CCGT,IB,ARCOS1,intercept,0.635985196638785,3.7861082355779874,0.16797860944978915,6427
IDA,DA15,CCGT,IB,ARCOS2,intercept,2.4784018284542526,3.085540701541868,0.8032309627987654,6582
IDA,DA15,CCGT,GE,BES3,intercept,-11.591886271566608,9.21891193671078,-1.2574028639330384,5662
IDA,DA15,CCGT,GN,BES4,intercept,7.6084887127894945,1.4952734143926627,5.088359519773743,13962
IDA,DA15,CCGT,GE,BES5,intercept,-88.63737296426021,108.45968395336853,-0.8172379794354667,5025
IDA,DA15,CCGT,GN,CAMGI10,intercept,-0.9327176604866736,1.4908693744608899,-0.6256199748042659,13399
IDA,DA15,CCGT,GN,CTGN1,intercept,4.614773939338079,1.6085195872384688,2.8689572548263427,15212
IDA,DA15,CCGT,GN,CTGN3,intercept,3.9262699812236406,2.3204255409391257,1.6920473904258937,10968
IDA,DA15,CCGT,IB,CTJON2,intercept,-18.71419802748005,15.220377385660726,-1.2295488839265503,223
IDA,DA15,CCGT,IB,CTN3,intercept,-12.230425182624344,5.663532548976217,-2.159504704327197,1485
IDA,DA15,CCGT,IB,CTN4,intercept,-6.605895738969821,7.7655929837838595,-0.8506621133459192,507
IDA,DA15,CCGT,IB,ESC6,intercept,-25.74662379682286,13.708458229406812,-1.8781560527056411,3135
IDA,DA15,CCGT,HC,LARES2,intercept,-3.7150566751095084,11.616905531764697,-0.3197974421803844,472
IDA,DA15,CCGT,GN,MALA1,intercept,9.899378351863561,6.165160090277987,1.6056968848990907,5545
IDA,DA15,CCGT,GN,PALOS1,intercept,4.778099022930519,2.499168940702453,1.9118751618238008,7460
IDA,DA15,CCGT,GN,PALOS2,intercept,7.217205217300489,2.4557081609718745,2.938950699436613,16145
IDA,DA15,CCGT,GN,PALOS3,intercept,11.850884585833228,3.805202359121634,3.1143901079071132,4498
IDA,DA15,CCGT,GN,PBCN1,intercept,16.0333880547405,3.3896340239706135,4.73012364796805,2966
