"reform","outcome_family","outcome","side","eff","lo","hi","p","n_pre","n_post","n_cov"
"ID15","sell_share","SS_Hydro_pump","placebo",NA,NA,NA,NA,0,0,0
"DA15","sell_share","SS_Hydro_pump","real",-0.159945720759201,-0.22792344646986,-0.0953293365310841,0.000552181115405853,940,40,7
"DA15","sell_share","SS_Hydro_pump","placebo",-0.112416727862902,-0.152409258224781,-0.0791164392755875,0.00114285714285714,593,37,5
"ID15","sell_share","SS_Wind","real",0.259854443550525,0.135416085473026,0.38149986925148,0.000570125427594071,751,38,7
"ID15","sell_share","SS_Wind","placebo",NA,NA,NA,NA,0,0,0
"DA15","sell_share","SS_Wind","real",0.0378698174711279,-0.11424576756806,0.186290585813439,0.320185614849188,940,40,7
"DA15","sell_share","SS_Wind","placebo",0.00738625519519592,-0.120588175371635,0.138410517530154,0.455874390904169,593,37,5
"ID15","sell_share","SS_Solar_PV","real",0.103862892762666,-0.0338998148269023,0.239256562121272,0.0574428659666461,751,38,7
"ID15","sell_share","SS_Solar_PV","placebo",NA,NA,NA,NA,0,0,0
"DA15","sell_share","SS_Solar_PV","real",-0.0106438499966002,-0.141224305277766,0.125518782658099,0.436903499469777,940,40,7
"DA15","sell_share","SS_Solar_PV","placebo",-0.0170838567433783,-0.150808681713842,0.119140580729686,0.400207361327112,593,37,5
"ID15","sell_share","SS_Nuclear","real",0.38834472740845,0.246721040024468,0.533565080892301,0.000580046403712297,397,36,7
"ID15","sell_share","SS_Nuclear","placebo",NA,NA,NA,NA,0,0,0
"DA15","sell_share","SS_Nuclear","real",0.176353255868279,-0.00495763536449378,0.335076378826184,0.0293929712460064,584,38,7
"DA15","sell_share","SS_Nuclear","placebo",-0.440796911739004,-0.540009664552865,-0.341085477295173,0.00050125313283208,346,10,5
