"reform","outcome","tech","market","hour_class","eff","lo","hi","rel","p","n_pre","n_post"
"PLB_ID15","q","ccgt","ida","flat",-2810.83054720886,-5083.37870381615,-789.103134051824,-0.183547533132858,0.00745156482861401,271,27
"PLB_ID15","q","hydro","da","critical",16907.964061164,10269.0786630467,24024.0498174103,0.161983784780066,0.000880281690140845,279,40
"PLB_ID15","q","hydro","da","midday",2724.98563731161,154.935833924593,4939.97094267558,0.0690087086134851,0.019327731092437,279,40
"PLB_ID15","q","hydro","da","flat",2698.07965218624,940.943575630337,4363.17496662496,0.0877994066794407,0.00163132137030995,279,40
"PLB_ID15","q","hydro","ida","critical",3126.25609774131,-14363.3140110833,19717.5755883697,0.01439472611947,0.367952522255193,271,27
"PLB_ID15","q","hydro","ida","midday",14110.9895268475,6234.90072040686,21578.4780828432,0.167420194149669,0.000745712155108128,271,27
"PLB_ID15","q","hydro","ida","flat",1464.60943442233,-1858.63600780359,4718.61097433208,0.0438954458891209,0.176788124156545,271,27
"PLB_ID15","q","hydro_pump","da","critical",-4248.44798750636,-9880.83321450067,1299.87929701897,-0.182697966026335,0.0640096618357488,279,40
"PLB_ID15","q","hydro_pump","da","midday",-1525.42553767379,-3810.44338123692,662.253508299023,-0.211247091095766,0.0911392405063291,279,40
"PLB_ID15","q","hydro_pump","da","flat",-379.541363546974,-1952.40922112112,1165.9831729865,-0.0526231059437312,0.318021201413428,279,40
"PLB_ID15","q","hydro_pump","ida","critical",-13835.8230874522,-21060.8385711571,-6276.29870448452,-0.358456989147559,0.00066711140760507,271,27
"PLB_ID15","q","hydro_pump","ida","midday",-5955.99915328584,-9582.82689063689,-2271.88553214243,-0.480743419421998,0.00202565833896016,267,27
"PLB_ID15","q","hydro_pump","ida","flat",-1278.99198335239,-2930.4508233709,317.576425023557,-0.21298625433611,0.0655624568668047,270,27
"PLB_DA15","p","ccgt","da","critical",-6.44654854986878,-12.3358900479643,-1.64410287166037,-0.074115163610566,0.00424628450106157,156,40
"PLB_DA15","p","ccgt","da","midday",-13.2498367726993,-22.6095135612777,-4.25087007512052,-0.161152099941143,0.00067842605156038,156,40
"PLB_DA15","p","ccgt","da","flat",7.55811924385958,-3.2742949134207,18.4478555930468,0.101776340902367,0.0834445927903872,156,40
"PLB_DA15","p","ccgt","ida","critical",0.365711230305905,-4.18528011989747,5.3768976439854,0.00424733935602301,0.467914438502674,131,37
