market,tech,outcome,regime,beta_crit,se_crit,beta_mid,se_mid,n_curves
IDA,CCGT,n_eff,ID15_post,-0.7864722468024439,0.1460926386880443,0.8821412290338957,0.2133179767001915,301513
IDA,CCGT,n_eff,DA15_ID15,-2.4500061073347537,0.16654027199890056,-1.080469420095615,0.22119678339509863,248159
DA,Hydro,sigma_p,pre_IDA,0.2628145913284117,0.06942811711026219,-0.7870229702449176,0.07892154367344506,451309
DA,Hydro,sigma_p,3sess,-0.02707801367246354,0.12740727442254218,-0.8657793301877685,0.1536878572239848,124880
DA,Hydro,sigma_p,ISP15_win,-0.8746391848849533,0.2480228053679824,-1.0744064232571966,0.2091435423932389,78699
DA,Hydro,sigma_p,ID15_pre,0.06946207603109611,0.16877370395478972,-1.2499620614581057,0.2517524020848984,30128
DA,Hydro,sigma_p,ID15_post,-0.15981777212344894,0.12456972372594351,-2.1417537512954508,0.16466160307482422,111636
DA,Hydro,sigma_p,DA15_ID15,0.7595217700426327,0.14347566141115634,-0.6449460273268608,0.17631745757961878,400417
DA,Hydro,n_eff,pre_IDA,-0.028495392512463136,0.005620391539146379,-0.054849409163509166,0.007281505401031756,451309
DA,Hydro,n_eff,3sess,0.010619266194093924,0.011613594096773492,-0.015855613104031996,0.016511430936246935,124880
DA,Hydro,n_eff,ISP15_win,0.07468234344502295,0.014728441694361456,0.016763936831338047,0.020016483050746638,78699
DA,Hydro,n_eff,ID15_pre,-0.013600955084533517,0.014132982676246365,0.00468832691039095,0.019781947841291184,30128
DA,Hydro,n_eff,ID15_post,-0.0013163408097678353,0.01081560324303218,-0.08301360302572802,0.01815830272401779,111636
DA,Hydro,n_eff,DA15_ID15,-0.02278593344088886,0.013237265955225723,-0.045992979414745505,0.017274243658450466,400417
IDA,Hydro,sigma_p,pre_IDA,1.1438495514744522,0.09327014476530775,-0.7696586355780104,0.09583720457364786,891116
IDA,Hydro,sigma_p,3sess,-0.5140258707342289,0.23302261989044118,-1.391571522458264,0.27341402425501427,71743
IDA,Hydro,sigma_p,ISP15_win,-1.02465400518936,0.3145657637517664,-0.44345920704762154,0.27360905830680715,48399
IDA,Hydro,sigma_p,ID15_pre,0.10726917907981193,0.3535865111216757,-0.17255256387650864,0.41687454407744245,70919
IDA,Hydro,sigma_p,ID15_post,-1.042653029200849,0.22409675777224194,-2.9912177701301896,0.3024674506774158,291311
IDA,Hydro,sigma_p,DA15_ID15,-0.17417556008868385,0.24739248462772417,-1.4249223033152374,0.2790788247327566,227100
IDA,Hydro,n_eff,pre_IDA,-0.015859689538909483,0.010759681209785066,0.028747566069665886,0.01239164770367664,891116
