spec,market,tech,outcome,regime,beta_crit,se_crit,t_crit,star_crit,beta_mid,se_mid,t_mid,star_mid,block_beta,block_se,n_curves
v2_block,IDA,Hydro,sigma_p,DA15_ID15,-0.17417556008868385,0.24739248462772417,-0.7040454779812044,,-1.4249223033152374,0.2790788247327566,-5.105805876457056,***,,,227100
v2_block,IDA,Hydro,n_eff,pre_IDA,-0.015859689538909483,0.010759681209785066,-1.4739925123884123,,0.028747566069665886,0.01239164770367664,2.3199147326579013,**,,,891116
v2_block,IDA,Hydro,n_eff,3sess,-0.20375166311756676,0.03580196048675278,-5.691075582102765,***,0.21927210131594355,0.0378445348689855,5.7940228906246185,***,,,71743
v2_block,IDA,Hydro,n_eff,ISP15_win,-0.40372669168990866,0.05258271377122294,-7.677935631972974,***,0.06183067151395222,0.044771752993545084,1.3810196693184336,,,,48399
v2_block,IDA,Hydro,n_eff,ID15_pre,-0.14513198595992305,0.04615449928763441,-3.1444818641723717,***,0.0021255299458622368,0.0650832880863796,0.03265861342225363,,,,70919
v2_block,IDA,Hydro,n_eff,ID15_post,-0.1565828680723318,0.030228412576989133,-5.179989775299277,***,-0.09408834777711023,0.052443655764737696,-1.7940844589322809,*,,,291311
v2_block,IDA,Hydro,n_eff,DA15_ID15,-0.33748996884228866,0.03604584568798043,-9.362797914735165,***,-0.07955062518463163,0.03791304621343553,-2.0982388156518184,**,,,227100
v2_base,DA,Hydro_pump,sigma_p,pre_IDA,0.9150337257987129,0.13350926332592986,6.853709645336626,***,-1.1731298753175219,0.15975597745854264,-7.343261228657026,***,,,75652
v2_base,DA,Hydro_pump,sigma_p,3sess,1.8365802445012287,0.23377359797594316,7.856234666372482,***,-2.284998994516277,0.29787590884006604,-7.670976157199496,***,,,14692
v2_base,DA,Hydro_pump,sigma_p,ISP15_win,1.6542034004881847,0.36114636016540497,4.5804238473580625,***,-0.5147201588235513,0.4195528343824328,-1.2268303694842189,,,,8986
v2_base,DA,Hydro_pump,sigma_p,ID15_pre,1.1454033662200533,0.5917918227045172,1.9354835979069542,*,-4.716158751231523,0.9265435962407355,-5.0900559567476265,***,,,3270
v2_base,DA,Hydro_pump,sigma_p,ID15_post,0.7084104785093146,0.26601860102009994,2.6630110668681706,***,-6.538869921932474,0.3772532417159196,-17.33283958592566,***,,,13372
v2_base,DA,Hydro_pump,sigma_p,DA15_ID15,2.369869202395149,0.3811434830000246,6.217787547465415,***,-3.286323636713628,0.46589194467034656,-7.053832276578527,***,,,41230
v2_base,DA,Hydro_pump,n_eff,pre_IDA,-0.05473858877971946,0.01409183127138427,-3.884419826319874,***,-0.0003714846105193348,0.016642823432336425,-0.022321008933950063,,,,75652
v2_base,DA,Hydro_pump,n_eff,3sess,0.16264155514044645,0.02512323489347955,6.473750527351803,***,-0.33502194438052085,0.04187098187459765,-8.001291810731873,***,,,14692
v2_base,DA,Hydro_pump,n_eff,ISP15_win,0.23198285410323663,0.035375782128673046,6.557674209419334,***,-0.03792954400040455,0.037674329022142336,-1.0067742408394909,,,,8986
v2_base,DA,Hydro_pump,n_eff,ID15_pre,0.19546099232565975,0.048890995808309634,3.9978934585832,***,-0.3313202690571228,0.06344204513967247,-5.2224083937977746,***,,,3270
v2_base,DA,Hydro_pump,n_eff,ID15_post,0.04727871084238636,0.02483147190985117,1.903983421282002,*,-0.48423958933572203,0.0448236386354132,-10.803219106651138,***,,,13372
v2_base,DA,Hydro_pump,n_eff,DA15_ID15,0.25826898173353197,0.028662041028933324,9.010837067493501,***,-0.10516597710434394,0.03266760837723391,-3.219273841229045,***,,,41230
v2_base,IDA,Hydro_pump,sigma_p,pre_IDA,1.615699576606041,0.10837545843539133,14.908352868184172,***,-0.3399320587068382,0.1092547180783136,-3.1113718902571827,***,,,124314
v2_base,IDA,Hydro_pump,sigma_p,3sess,-0.5171717412220542,0.2702625850954176,-1.9135898557303597,*,-0.8901412137480835,0.31510763894432237,-2.824879830683401,***,,,19299
v2_base,IDA,Hydro_pump,sigma_p,ISP15_win,-0.07984631859961766,0.2675149484099808,-0.29847423134369655,,0.17704841366005653,0.3221759869056569,0.5495394469355712,,,,11419
v2_base,IDA,Hydro_pump,sigma_p,ID15_pre,0.01157004690955743,0.2552390804117479,0.04533023270140607,,0.6848383526338333,0.36235405751458405,1.8899701505516324,*,,,17431
v2_base,IDA,Hydro_pump,sigma_p,ID15_post,-0.044040799577903744,0.2070175732308478,-0.21273942540517232,,0.11616197159019892,0.24024406057723832,0.4835165177906778,,,,59464
v2_base,IDA,Hydro_pump,sigma_p,DA15_ID15,0.40759878809960437,0.22170403984356718,1.8384815558038692,*,-0.05998255545921127,0.23921684055565598,-0.2507455383152917,,,,35447
v2_base,IDA,Hydro_pump,n_eff,pre_IDA,0.043542432957731414,0.019212195345061467,2.2663954938873805,**,0.05325594896396402,0.024341650118404397,2.187852865558112,**,,,124314
v2_base,IDA,Hydro_pump,n_eff,3sess,-0.0934979479329876,0.04210299437556909,-2.220695922455369,**,0.021972090179365966,0.05115667036574976,0.4295058693670698,,,,19299
v2_base,IDA,Hydro_pump,n_eff,ISP15_win,-0.2056631958791042,0.05080980810997443,-4.04770660487361,***,0.09065444372852907,0.05110501700181981,1.7738854039575203,*,,,11419
v2_base,IDA,Hydro_pump,n_eff,ID15_pre,0.014541468888431108,0.0699118451733273,0.20799721209445285,,0.20274322011128743,0.09506737017546743,2.132626786005344,**,,,17431
v2_base,IDA,Hydro_pump,n_eff,ID15_post,-0.08502679979348396,0.045926399777347825,-1.8513708935535056,*,0.1033876286058987,0.055404442458812965,1.8660530458862734,*,,,59464
v2_base,IDA,Hydro_pump,n_eff,DA15_ID15,-0.07077560722098908,0.0560969991300122,-1.2616647649361292,,-0.08444660540526272,0.06403945511710693,-1.3186652705092177,,,,35447
v2_block,IDA,Hydro_pump,sigma_p,pre_IDA,1.615699576606041,0.10837545843539133,14.908352868184172,***,-0.3399320587068382,0.1092547180783136,-3.1113718902571827,***,,,124314
v2_block,IDA,Hydro_pump,sigma_p,3sess,-0.5171717412220542,0.2702625850954176,-1.9135898557303597,*,-0.8901412137480835,0.31510763894432237,-2.824879830683401,***,,,19299
v2_block,IDA,Hydro_pump,sigma_p,ISP15_win,-0.07984631859961766,0.2675149484099808,-0.29847423134369655,,0.17704841366005653,0.3221759869056569,0.5495394469355712,,,,11419
v2_block,IDA,Hydro_pump,sigma_p,ID15_pre,0.01157004690955743,0.2552390804117479,0.04533023270140607,,0.6848383526338333,0.36235405751458405,1.8899701505516324,*,,,17431
v2_block,IDA,Hydro_pump,sigma_p,ID15_post,-0.044040799577903744,0.2070175732308478,-0.21273942540517232,,0.11616197159019892,0.24024406057723832,0.4835165177906778,,,,59464
v2_block,IDA,Hydro_pump,sigma_p,DA15_ID15,0.40759878809960437,0.22170403984356718,1.8384815558038692,*,-0.05998255545921127,0.23921684055565598,-0.2507455383152917,,,,35447
v2_block,IDA,Hydro_pump,n_eff,pre_IDA,0.043542432957731414,0.019212195345061467,2.2663954938873805,**,0.05325594896396402,0.024341650118404397,2.187852865558112,**,,,124314
