"reform","side","outcome","tech","market","hour_class","eff","lo","hi","p","n_pre","n_post"
"DA15","real","mwh","hydro_pump","ida","morning_ramp",-1249.77045605122,-2087.57073471842,-491.887833033174,0.000680272108843537,148,40
"DA15","real","mwh","hydro_pump","ida","midday",2018.26475190945,574.896816353664,3452.23693812159,0.00335795836131632,42,8
"DA15","real","mwh","hydro_pump","ida","evening_ramp",-936.169693489884,-1672.42843889417,-274.519589131102,0.00400801603206413,151,40
"DA15","real","mwh","hydro_pump","ida","flat",-866.854862946724,-1695.3270970166,35.1617054315269,0.0310391363022942,145,34
"DA15","placebo","p","ccgt","da","morning_ramp",-18.6087614131219,-32.4934704389776,-4.62267001580983,0.00603621730382294,156,40
"DA15","placebo","p","ccgt","da","midday",-10.0713527029549,-35.2233290451963,14.1039324423631,0.236916548797737,156,40
"DA15","placebo","p","ccgt","da","evening_ramp",-7.77597501030709,-22.9345651570189,5.885008818726,0.1598857958601,156,40
"DA15","placebo","p","ccgt","da","flat",-40.8793490212052,-55.2505285177043,-26.9145019904689,0.00068870523415978,155,40
"DA15","placebo","p","ccgt","ida","morning_ramp",-14.3861494592916,-24.872142995221,-1.01541456342792,0.0183548606390211,131,37
"DA15","placebo","p","ccgt","ida","midday",-2.39912838478183,-19.286969155116,13.5834323454351,0.396348012889366,126,36
"DA15","placebo","p","ccgt","ida","evening_ramp",-6.70638764706086,-14.3802839008868,1.50762231714038,0.0494915254237288,131,37
"DA15","placebo","p","ccgt","ida","flat",-23.7718732047679,-35.5857668840803,-12.3236594461419,0.00268276324614353,131,37
"DA15","placebo","p","hydro","da","morning_ramp",-29.3770302918436,-40.8025937156767,-18.2736044255406,0.000707714083510262,156,40
"DA15","placebo","p","hydro","da","midday",-24.6120035444598,-43.8797414046944,-2.8658126250465,0.0145328719723183,156,40
"DA15","placebo","p","hydro","da","evening_ramp",-5.54954876268754,-23.7407786712754,12.737733374655,0.28734693877551,156,40
"DA15","placebo","p","hydro","da","flat",-35.4474052685231,-47.4489416827161,-22.7662458610601,0.000707714083510262,156,40
"DA15","placebo","p","hydro","ida","morning_ramp",-28.0134364513509,-43.4836219567716,-9.85326021255518,0.000673400673400673,131,37
