agent_code,description,agent_type
PAARA,"PAPEL ARALAR, S.A.",GENERACIÓN RECORE
PACO,PASERTEX COGENERACIÓN,GENERACIÓN
PALAB,PALABRA SOLAR SL,GENERACIÓN
PALEN,"ELECDEY PALENCIA, S.L.U",GENERACIÓN RECORE
PAMEC,PAMESA CERÁMICA S.L.,GENERACIÓN RECORE
PAMSA,PROMOTORA ANDRES MARTINEZ S.A.,GENERACIÓN RECORE
PANDO,"PANDORA ENERGÍA, S.L.",COMERCIALIZADOR
PARAM,"PARAMO DE LOS ANGOSTILLOS, S.L.",GENERACIÓN RECORE
PARAW,PARQUE EOLICO SIERRA DE AGUAS S.L.,GENERACIÓN
PARBK,PARQUE EÓLICO CERNÉGULA SL,GENERACIÓN
PBUIO,PARQUES EOLICOS DE BUIO,GENERACIÓN RECORE
PCOG,"PENINSULAR COGENERACIÓN, S.A.",GENERACIÓN
PDRSA,"PROYECTOS Y DESARROLLOS RENOVABLES, S.A.",GENERACIÓN RECORE
PDVA,"PIZARRAS DEL VALLE, S.L.",CONSUMIDOR DIRECTO
PEA,"PROYECTOS EÓLICOS ARAGONESES, S.L.",GENERACIÓN RECORE
PEAF,PARQUE EÓLICO DE AMEIXENDA-FILGUEIRA,GENERACIÓN RECORE
PEALT,"PROMOCIONES EÓLICAS DEL ALTIPLANO, S.A.U",GENERACIÓN RECORE
PEAR,"ENERGÍAS ESPECIALES DE PEÑA ARMADA, S.A.",GENERACIÓN RECORE
PEAST,"PRODUCCIONES ENERGÉTICAS ASTURIANAS, S.L.",GENERACIÓN RECORE
PEBEC,"PARQUE EÓLICO BECERRIL, S.L.",GENERACIÓN RECORE
PECKE,"PAPELERA ECKER, S.A.",GENERACIÓN
PECO,"PARQUE EÓLICO SAN ANDRÉS, S.A.",GENERACIÓN RECORE
PECR,PARQUES EÓLICOS CIUDAD REAL,GENERACIÓN RECORE
PEDRE,"EÓLICA EL PEDREGOSO, S.L.",GENERACIÓN RECORE
PEHSL,"PARQUE EOLICO EL HIERRO, S.L.",GENERACIÓN RECORE
PEL,PELLET ASTURIAS,CONSUMIDOR DIRECTO
PEM,PARQUE EOLICO DE MALPICA. S.A.,GENERACIÓN RECORE
PEMSL,"PARQUE EOLICO MONTAMARTA, S.L.",GENERACIÓN RECORE
PENAT,DICEPA PAPELERA DE ENATE,GENERACIÓN RECORE
PEPSL,"PARQUE EOLICO PEÑARROLDANA, S.L .",GENERACIÓN RECORE
PEPUR,"PARQUE EÓLICO PUERTO REAL I, S.L.U.",GENERACIÓN RECORE
PERAL,PARQUE EOLICO PERALEJO,GENERACIÓN RECORE
PERFI,PERFILES CONFORMADOS EN FRIO S.A.,CONSUMIDOR DIRECTO
PESAN,"PARC EOLIC SANT ANTONI, .SL.",GENERACIÓN RECORE
PESCA,PESCADOS MAÑERO S.L,CONSUMIDOR DIRECTO
PESL,"NIEVES ENERGIA, S.L.",COMERCIALIZADOR
PESLO,PARQUES EÓLICOS SAN LORENZO,GENERACIÓN RECORE
PETEN,PETROTERMICA ENERGIA S.A.,COMERCIALIZADOR
PETRO,"PETRÓLEOS DEL NORTE, S.A.",GENERACIÓN RECORE
PEUN,"PARQUE EOLICO LA UNION, S.L.",GENERACIÓN RECORE
PEUSA,"PRODUCTORA ELÉCTRICA URGELENSE-1, S.L.",GENERACIÓN
PEV,PARQUE EÓLICO DE VICEDO,GENERACIÓN RECORE
PEYFE,"PERALES Y FERRER, S.L.",CONSUMIDOR DIRECTO
PGUIZ,PAPELERA GUIPUZCOANA DE ZICUÑAGA,GENERACIÓN RECORE
PINDO,PINDO ELECTRICIDAD Y GAS SL,COMERCIALIZADOR
PIRON,"EUROARCE MINERÍA, S.A.",GENERACIÓN
PISUE,PISUERGA INFRAESTRUCTURAS ENERGETICAS SL,COMERCIALIZADOR
PLABO,"PLANTA SOLAR OPDE 47, S.L.",GENERACIÓN
PLABP,"PLANTA SOLAR OPDE 42, S.L.",GENERACIÓN
PLABQ,"PLANTA SOLAR OPDE 2, S.L.",GENERACIÓN
PLACA,CALES DE LA PLANA S.A.,CONSUMIDOR DIRECTO
PLACG,PLANA CAN GUITART S.L.,REPRESENTANTE
PLANA,"PLANTA SOLAR OPDE 1, S.L.",GENERACIÓN
PLAS,INDUSTRIAS PLASTICAS DEL PISUERGA S.A,CONSUMIDOR DIRECTO
PLASJ,PLASTICOS GRANADA SA,CONSUMIDOR DIRECTO
PLATA,MATADERO EL CABEZO DE LA PLATA SL,CONSUMIDOR DIRECTO
POLAR,POLAR COMERCIALIZADORA ELECTRICA SL,COMERCIALIZADOR
PONTA,"PONT, AURELL Y ARMENGOL S.L.",CONSUMIDOR DIRECTO
PONTC,"PONTS COM. MUNICIPAL DENERGIA ELECTRICA, S.L.U.",COMERCIALIZADOR
PORTU,PORTULOGOS POWER LDA,COMERCIALIZADOR
POTEN,POTENZIA COMERCIALIZADORA SL,COMERCIALIZADOR
POWED,POWER SOLAR TRADE SL,COMERCIALIZADOR
POWEE,POWER PULSE IBERIA SL,COMERCIALIZADOR
POWER,POWERMART APS,COMERCIALIZADOR
POZAL,"EÓLICA DE POZALMURO, S.L.",GENERACIÓN RECORE
POZO,"ELECTRICA DEL POZO, S. COOP. MAD.",COMERCIALIZADOR
PPJ,PARQUE EOLICO PLANA DE JARRETA,GENERACIÓN RECORE
PRADO,S.C.L.NTRA.SRA.DEL PRADO CASAR DE CACERES,CONSUMIDOR DIRECTO
PRAET,PRAETIUM ENERGY SL,COMERCIALIZADOR
PRECO,PRECOPAN SL,CONSUMIDOR DIRECTO
PRIN,"PAPELERA DEL PRINCIPADO, S.A.",GENERACIÓN
PRIO2,"TERMOSOLAR PALMA DE SAETILLA, S.L.",GENERACIÓN RECORE
PROAC,PROACTIVE HEALTH BOFILL,CONSUMIDOR DIRECTO
PRODU,PRODUCCIONES JOSE MANUBENS SA,CONSUMIDOR DIRECTO
PROGA,PROMOTORA EOLICA DE GALICIA,GENERACIÓN RECORE
PROPE,PROPENSALTERNATIVA - UNIPESSOAL LDA,COMERCIALIZADOR
PROPI,PROPICIMODUS-ENERGIA S.A.,COMERCIALIZADOR
PRORE,"PRODUCTOR REGIONAL DE ENERGIA RENOVABLE, S.A.",GENERACIÓN RECORE
PROSA,PROSOL ENERGÍA COMERCIALIZADORA SL,COMERCIALIZADOR
PROTC,"PROT ENERGIA COMERCIALIZACION, SLU",COMERCIALIZADOR
PROTO,"VESTAS CANTABRIA PROTOTYPE, S.L.",GENERACIÓN RECORE
PRSN,PERSAN S.A.,CONSUMIDOR DIRECTO
PSCR,PIZARRAS SANTA CRUZ SL,CONSUMIDOR DIRECTO
PSE1,HELIOENERGY ELECTRICIDAD UNO S.A.,GENERACIÓN RECORE
PSE2,"HELIOENERGY ELECTRICIDAD DOS, S.A.",GENERACIÓN RECORE
PSJ17,PROMOSOLAR JUWI 17 SLU,GENERACIÓN
PTENG,PARATIENERGIA S.L,COMERCIALIZADOR
PTLIV,MEO ENERGIA COMERCIALIZACAO DE ENERGIA SA,COMERCIALIZADOR
PTROL,OCUO ENERGIA S.L.,COMERCIALIZADOR
PUEBL,ALCOHOLERA DE LA PUEBLA S.A,GENERACIÓN RECORE
PUEYO,"EOLICA PUEYO, S.L.",GENERACIÓN RECORE
PULSA,PULSAR SERVICIOS ENERGÉTICOS SL,COMERCIALIZADOR
PU100,ENCE ENERGIA PUERTOLLANO,GENERACIÓN
PWPLS,"POWER PLUS II - COMERCIALIZACAO DE ENERGIA, LDA.",COMERCIALIZADOR
PYCE,"PAPELES Y CARTONES DE EUROPA, S.A.",GENERACIÓN
QENER,QUASAR ENERGIA SL,COMERCIALIZADOR
QUANA,QUANTIUM LUX 6.4 S.L,COMERCIALIZADOR
QUANT,"QUANTICA COMERCIALIZADORA DE ENERGIA ,SL",COMERCIALIZADOR
QUINA,"INDUSTRIAL QUÍMICA DEL NALÓN ENERGÍA, S.A.",GENERACIÓN RECORE
QUIR,HIDROELÉCTRICA DE QUIRÓS,GENERACIÓN RECORE
RAMI,RAMILO S.L.,CONSUMIDOR DIRECTO
RCIER,"RENOVABLES DEL CIERZO, S.L.U.",GENERACIÓN
RCLM,RENOVABLES CASTILLA LA MANCHA,GENERACIÓN RECORE
RCONS,RENOVAE CONSULTING SL,COMERCIALIZADOR
RDGCO,"RDG COMERCIALIZADORA GALEGA DE ENERXIA, S.A.",COMERCIALIZADOR
RECON,REPRESENTANTES DE CONSUMIDORES EN EL MERCADO ELECT,REPRESENTANTE
REFRA,REFRACTARIOS KELSEN SA,CONSUMIDOR DIRECTO
REGAS,"REGASIFICADORA DEL NOROESTE, S.A.",CONSUMIDOR DIRECTO
REGIS,SELECCIO REGISA S.L.,CONSUMIDOR DIRECTO
REGUE,"PARQUE EÓLICO LAS REGUERAS, S.L.",GENERACIÓN RECORE
RELUZ,RELUZCA ENERGIA S.L,COMERCIALIZADOR
REMIC,"REMICA COMERCIALIZADORA, S.A.U.",COMERCIALIZADOR
RENCA,"RENCAT, A.I.E.",GENERACIÓN
RENOV,RENOVABLES SAMCA,GENERACIÓN RECORE
RENSP,FALCK NEXT ENERGY SRL SPAIN SUCURSAL,REPRESENTANTE
RENUE,"RENU ENERGY, S.L.",COMERCIALIZADOR
REPP,REPSOL FUELS SA,GENERACIÓN RECORE
REPPT,"REPSOL PORTUGUESA, LDA",COMERCIALIZADOR
REPQ,"REPSOL MATERIALS, S.A.",GENERACIÓN RECORE
REPSB,"REPSOL SERVICIOS RENOVABLES, S.A.",REPRESENTANTE
RESPA,RESPIRA ENERGIA ATLANTICA S.L.,COMERCIALIZADOR
RESRI,TRATAMIENTO DE RESIDUOS LA RIOJA S.L.,GENERACIÓN RECORE
REUSS,"REUS SERVEIS MUNICIPALS, SA",COMERCIALIZADOR
REVAL,"RECURSOS EÓLICOS DE LA VALDAVIA, S.L.",GENERACIÓN RECORE
REYSE,REYSE ENERGIA SL,COMERCIALIZADOR
RIBGS,RIBAGRANDE ENERGIA SL,GENERACIÓN
RINYA,FORMATGERIA GRANJA RINYA S.L.,CONSUMIDOR DIRECTO
RIOTC,"RIO TINTO CÍTRICOS, S.L.",CONSUMIDOR DIRECTO
RIOTF,"RIO TINTO REAL ESTATE, S.A.U.",CONSUMIDOR DIRECTO
RIVAS,AYUNTAMIENTO DE RIVAS-VACIAMADRID,CONSUMIDOR DIRECTO
RIVER,"RIVER-ENERGY, UNIPESSOAL LDA.",COMERCIALIZADOR
RLE,"ROQUETTE LAISA ESPAÑA, S.A.",GENERACIÓN RECORE
RLENA,"HIDROELÉCTRICA RÍO LENA, S.A.",GENERACIÓN RECORE
ROBLS,EL ROBLEDO EOLICA SL,GENERACIÓN
RODA,"CÍA ENERGÉTICA LA RODA, S.L.",GENERACIÓN
ROFEN,"ROFEICA ENERGIA, S.A.",COMERCIALIZADOR
ROKO,INDUSTRIAS ROKO,GENERACIÓN RECORE
ROLEA,ROLEAR - AUTOMATIZACOES ESTUDOS REPRESENTACOES SA,COMERCIALIZADOR
ROMAR,POSTRES LÁCTEOS ROMAR S.L.,CONSUMIDOR DIRECTO
ROMER,ANTIGUA VENTA LA ROMERA S.L,CONSUMIDOR DIRECTO
RONDA,ELECTRICA SERRANIA DE RONDA ENERGIA S.L.,COMERCIALIZADOR
ROZA,"PIZARRAS ROZADAIS, SL",CONSUMIDOR DIRECTO
RSPRA,"RESPIRA ENERGIA MEDITERRANIA, S.A.",COMERCIALIZADOR
RSPRE,"RESPIRA ENERGIA ESPAÑA, S.A.",GENERACIÓN
RUBIO,EÓLICA DE RUBIÓ,GENERACIÓN RECORE
RUNA,PARQUE EÓLICO DE A RUÑA,GENERACIÓN RECORE
SAFE,"SUSTAINING AIR FOR EVERYONE, S.R.L.",COMERCIALIZADOR
SAHKO,SAHKOA SMART ENERGY SL,COMERCIALIZADOR
SAICA,S.A. INDUSTRIAS CELULOSA ARAGONESA,GENERACIÓN RECORE
SAIMP,SAT N 9888 IMPERIO,CONSUMIDOR DIRECTO
SALCA,"EXPLOTACIONES EÓLICAS SIERRA DE ALCARAZ, S.L.",GENERACIÓN RECORE
SALPA,ELECTRICA SALAS DE PALLARS COMERCIALITZADORA S.L,COMERCIALIZADOR
SAMAR,"SAMARA ENERGIA VPP, S.L.",COMERCIALIZADOR
SAMP,"SAMPOL INGENIERIA Y OBRAS, S.A.",GENERACIÓN RECORE
SANAB,EÓLICA DE SANABRIA,GENERACIÓN RECORE
SANMI,"MINICENTRAL SAN MIGUEL, S.L.",GENERACIÓN RECORE
SANSE,PESCADERIAS SAN SEBASTIÁN SL,CONSUMIDOR DIRECTO
SANSO,SANLUCAR SOLAR,GENERACIÓN RECORE
SAPIE,SAPIENS ENERGIA COOP.V,COMERCIALIZADOR
SARGU,P. E LA SARGUILLA ,GENERACIÓN RECORE
SARSA,SARSA GRANELL S.L.U,CONSUMIDOR DIRECTO
SASKI,SASKI BASKONIA SAD,CONSUMIDOR DIRECTO
SASTA,"SÁSTAGO INDUSTRIAL, S.A.",GENERACIÓN
SATSP,SAT N 2903 SAN PEDRO,CONSUMIDOR DIRECTO
SAVAL,SISTEMES ENERGETICS SAVALLA DEL COMTAT S.A.U.,GENERACIÓN RECORE
SCALE,SCALEVANTE S.A,CONSUMIDOR DIRECTO
SCCAT,SALTOS Y CENTRALES DE CATALUNYA S.A.,GENERACIÓN RECORE
SCOST,"EXPLOTACIONES EOLICAS SIERRA COSTERA, S.A.",GENERACIÓN RECORE
SCREF,ALUMINA ESPAÑOLA,CONSUMIDOR DIRECTO
SCVA1,"SC VALORIZACIONES AGROPECUARIAS, S.L.",GENERACIÓN
SEA,SOCIEDAD EOLICA DE ANDALUCIA,GENERACIÓN RECORE
SEAES,"SISTEMAS ENERGÉTICOS DE LA ESTRADA, S.A.",GENERACIÓN RECORE
SECOB,SECOND FOUNDATION ENERGY AS,COMERCIALIZADOR
SECON,"SISTEMES ENERGETICS CONESA I, S.L.",GENERACIÓN RECORE
SEDAE,"SERVICIOS ENERGETICOS DE ALTA EFICIENCIA, S.A",REPRESENTANTE
SEDAT,UNITEX S.A.,CONSUMIDOR DIRECTO
SEGRA,SISTEMAS ENERGETICOS EL GRANADO,GENERACIÓN RECORE
SELA,"SOCIEDAD EÓLICA LOS LANCES, S.A.",GENERACIÓN RECORE
SELE,"SOCIETAT EÓLICA DE L'ENDERROCADA, S.A.",GENERACIÓN RECORE
SELEC,SELECT SERVICE PARTNER SA,CONSUMIDOR DIRECTO
SELVA,SIERRA DE SELVA,GENERACIÓN RECORE
SEM,SISTEMA ENERGÉTICOS MONCAYO,GENERACIÓN RECORE
SEMO,"SISTEMAS ENERGÉTICOS MAÑON ORTIGUEIRA, S.A.",GENERACIÓN RECORE
SENEN,"SENEN ENERGIA, S.L.U.",GENERACIÓN
SENEO,"SENEO, COOP. V.",COMERCIALIZADOR
SEPLA,"SISTEMAS ENERGÉTICOS LA PLANA, S.A.",GENERACIÓN RECORE
SER,"SOMOZAS ENERGÍAS RENOVABLES, S.A.",GENERACIÓN RECORE
SERV,SERVINERGIA ELECTRICA SL,COMERCIALIZADOR
SERVC,SERVICIOS ENERGÉTICOS AVANZADOS SL,COMERCIALIZADOR
SERVI,"SERVIKER 1, S.L.",GENERACIÓN RECORE
SESA,SHELL ESPAÑA,COMERCIALIZADOR
SEVS,SISTEMAS ENERGETICOS VALLE DE SEDANO,GENERACIÓN RECORE
SEXTS,SERVICIO EXTREMEÑO DE SALUD,CONSUMIDOR DIRECTO
SFAD,SCLBCE SAN FRANCISCO DE ASÍS,COMERCIALIZADOR
SGPOL,SOCIEDAD GALLEGA DE POLIMEROS SA,CONSUMIDOR DIRECTO
SHEEN,SHELL ENERGY EUROPE LIMITED,COMERCIALIZADOR
SHIRY,"SHIRYU ENERGIA, S.L.",COMERCIALIZADOR
SIAM,"Sistemas Energéticos Sierra del Andévalo, S.A.",GENERACIÓN RECORE
SIEAR,"LDV SIERRA DE ARCAS, S.L.",GENERACIÓN RECORE
SIEM,"PARQUE EOLICO SIERRA DEL MADERO, S.A.",GENERACIÓN RECORE
SIEMI,EOLICA DE SIERRA MINISTRA S.L,GENERACIÓN RECORE
SIGNO,"SIGNO ENERGY, S.L.",COMERCIALIZADOR
SILOS,HOTEL SANTO DOMINGO S.L.,CONSUMIDOR DIRECTO
SIMP,SIMPLIA ENERGIA S.L,COMERCIALIZADOR
SIMPE,SIMPLES ENERGIA DE ESPAÑA SL,COMERCIALIZADOR
SIRUS,"SERVEI DE INCINERACIO DELS RESIDUS URBANS, S.A.",GENERACIÓN RECORE
SJB,SAN JUAN DE BARGAS EOLICA,GENERACIÓN RECORE
SJUCA,SALTOS DEL JUCAR S.L.,GENERACIÓN
SLCZN,"SOLUZIONA TU ENERGÍA, S.L.",COMERCIALIZADOR
SLPRO,"SOLAR PROCESSES, S.A.",GENERACIÓN RECORE
SLQ,SULQUISA,GENERACIÓN RECORE
SMARC,SMARTESTENERGY LIMITED,COMERCIALIZADOR
SMG,STATKRAFT MARKETS GMBH,COMERCIALIZADOR
SMONC,"SERRA DO MOCOSO-CAMBÁS, S.L.",GENERACIÓN RECORE
SMUND,SALTOS DEL MUNDO,GENERACIÓN RECORE
SMURF,"SMURFIT KAPPA NERVION, S.A.",GENERACIÓN RECORE
SNIA,"SNIACE,S.A",GENERACIÓN RECORE
SNIC,"SNIACE ,S.A.",GENERACIÓN
SNIVI,VISCOCEL S.L.U,CONSUMIDOR DIRECTO
SNTEC,TEC 94,GENERACIÓN RECORE
SOCII,INGENIA SOCIIS INGENIERIA Y PROYECTOS ENERGETICOS,REPRESENTANTE
SOCIN,SOCIETE EUROPEENNE DE GESTION DE LENERGIE,COMERCIALIZADOR
SOGAM,"SOCIEDADE GALEGA DO MEDIOAMBIENTE, S.A.",GENERACIÓN RECORE
SOLER,SOLERA NAVARRA S.L,CONSUMIDOR DIRECTO
SOLFL,SOLFLIX SOLAR S.L.,COMERCIALIZADOR
SOLIM,"3 SOLIMA, SL",COMERCIALIZADOR
SOLL,"ELÉCTRICA SOLLERENSE, S.A.U.",COMERCIALIZADOR
SOLN1,"SOLNOVA ELECTRICIDAD, S.A.",GENERACIÓN RECORE
SOLN3,SOLNOVA ELECTRICIDAD TRES,GENERACIÓN RECORE
SOLN4,"SOLNOVA ELECTRICIDAD CUATRO, S.A.",GENERACIÓN RECORE
SOLRC,SOLARIA REPRESENTACION EN MERCADO S.L.,REPRESENTANTE
SOLRE,SOLUCIA RENOVABLES 1 S.L.,GENERACIÓN RECORE
SOLTE,LIMPIEZA ENERGÉTICA 2024 SL,COMERCIALIZADOR
SOLUA,SOLUCIONES INTEGRALES DE CURVADO S.L,CONSUMIDOR DIRECTO
SOLUZ,SONESTA LUZ,COMERCIALIZADOR
SOLV,SOLVAY QUÍMICA S.L.,GENERACIÓN RECORE
SOLWE,SOLWE ENERGÍA,COMERCIALIZADOR
SOMEN,SOM ENERGIA SCCL,COMERCIALIZADOR
SOMRE,SOM RENOVABLES SL,REPRESENTANTE
SOPRO,PROFIT ENERGY SL,COMERCIALIZADOR
SOREX,SORS MARKETS LTD,COMERCIALIZADOR
SOTO,"Parque Eólico la Sotonera, S.L.",GENERACIÓN RECORE
SPBB,THE SPB GLOBAL CORPORATION S.L,CONSUMIDOR DIRECTO
SPGG,PLASTIENVASE S.L,CONSUMIDOR DIRECTO
SPINR,SPINREACT SAU,CONSUMIDOR DIRECTO
SPOCK,SPOCK P2P S.L.,COMERCIALIZADOR
SQUIT,"PARQUE EÓLICO SANTA QUITERIA, S.L.",GENERACIÓN RECORE
SRVGS,SERVIGAS S.XXI S.A.,COMERCIALIZADOR
SSEEN,SSE ENERGY SUPPLY LIMITED,COMERCIALIZADOR
STACO,ELECTRICA MUNICIPAL DE SANTA COLOMA DE QUERALT COM,COMERCIALIZADOR
START,START CAMPUS ENERGY,COMERCIALIZADOR
STEN,STORA ENSO BARCELONA,GENERACIÓN RECORE
STIN,STIN S.A.,COMERCIALIZADOR
STROM,"ENERGY STROM XXI, S.L.",COMERCIALIZADOR
SUCAS,SUCA SDAD COOP ANDALUZA,COMERCIALIZADOR
SULA,SULAYR GLOBAL SERVICE S.L,CONSUMIDOR DIRECTO
SUMAE,SUMA ENERGIA COMERCIALIZADORA S.L.,COMERCIALIZADOR
SUMED,"SUMINISTROS MEDINA, S.L.",CONSUMIDOR DIRECTO
SUMIA,"SUMINISTROS PROPIOS ENERGIA, SLU",COMERCIALIZADOR
SUNAI,SUNAIR ONE ENERGY S.L.,COMERCIALIZADOR
SUNCA,"POWER WATT ENERGY ISLAND, S.L.",COMERCIALIZADOR
SUNCO,"SUNCORE ER - ENERGY RETAIL, UNIPESSOAL LDA",COMERCIALIZADOR
SUNFL,SUNFLIX RENOVABLES S.L.,COMERCIALIZADOR
SUNHO,SUNAIR ONE HOME S.L.,COMERCIALIZADOR
SUNPS,"SUN POWER SPAIN 365, S.L.",COMERCIALIZADOR
SVA,"SOTAVENTO GALICIA, S.A.",GENERACIÓN RECORE
SVDOS,ALTER ENERSUN MÉRIDA DOS S.L.,GENERACIÓN
SVOLT,"PARC EÒLIC SERRA VOLTORERA, S.L.",GENERACIÓN RECORE
SWAPE,SWAP ENERGIA S.A,COMERCIALIZADOR
SYENE,SHARE YOUR ENERGY SL,COMERCIALIZADOR
TABLI,"TABLICIA, S.A.",GENERACIÓN RECORE
TACIC,SISTEMAS ENERGÉTICOS TACICA DE PLATA S.A.U.,GENERACIÓN RECORE
TAGAL,TECNICOS ASOCIADOS GALLEGOS,GENERACIÓN RECORE
TALEN,TALARN ENERGIA ELECTRICA S.L.U,COMERCIALIZADOR
TALGA,METALGAR S.L.,CONSUMIDOR DIRECTO
TALSO,TALENTO SOLAR SL,GENERACIÓN
TALY,TATE & LYLE,GENERACIÓN RECORE
TAPOW,TARRAGONA POWER,GENERACIÓN
TASA,COMPAÑIA EOLICA TIERRAS ALTAS,GENERACIÓN RECORE
TAUL,"TAULELL, S.A.",GENERACIÓN RECORE
TAUTR,TAUTRA ENERGIA S.L.,COMERCIALIZADOR
TCIN,NEOELECTRA EL GRADO S.L.U.,GENERACIÓN
TEA,PARQUE EOLICO DE TEA,GENERACIÓN RECORE
TEBA,"TÉBAR EÓLICA, S.A.",GENERACIÓN RECORE
TECQU,TECNICAS DE COGENERACION DE QUART,GENERACIÓN
TEJAR,"VAPOR Y ELECTRICIDAD EL TEJAR, S.L.",GENERACIÓN RECORE
TENDE,TENSINA ENERGIA Y SERVICIOS SL,COMERCIALIZADOR
TERME,TERMESOL-50 S.A.,GENERACIÓN RECORE
TERSA,"TERSA - TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.",GENERACIÓN RECORE
TEVI,TVITEC SYSTEM GLASS S.L,CONSUMIDOR DIRECTO
TEXOR,TEXTIL A ORTIZ SAU,CONSUMIDOR DIRECTO
TEXTB,TEXTIL PUIG UBACH SA,CONSUMIDOR DIRECTO
TGBSA,TGB S.A.,CONSUMIDOR DIRECTO
TGPL,TOTALENERGIES GAS AND POWER LIMITED,COMERCIALIZADOR
TGYE,TOTALENERGIES ELECTRICIDAD Y GAS ESPANA SAU,COMERCIALIZADOR
THELE,TH ELECTRICITY GAS SL,COMERCIALIZADOR
THER,THERMOLYMPIC S.L,CONSUMIDOR DIRECTO
TIATO,"TIERRA ATOMIZADA, S.A.",GENERACIÓN
TINTO,COMUNIDAD DE REGANTES TINTORERO,CONSUMIDOR DIRECTO
TIRMA,"TIRMADRID, S.A.",GENERACIÓN RECORE
TLCOR,TELECOR,REPRESENTANTE
TLECI,EL CORTE INGLES S.A.,CONSUMIDOR DIRECTO
TLSUP,SUPERCOR. S.A,CONSUMIDOR DIRECTO
TMADR,"PARC EOLIC DE TORRE MADRINA, S.L.U.",GENERACIÓN RECORE
TOBA,"SISTEMAS ENERGÉTICOS TORRALBA, S.A.",GENERACIÓN RECORE
TOMMY,"TOMMI ENERGY, S.L.",COMERCIALIZADOR
TOREC,SISTEMAS ENERGÉTICOS LA TORRECILLA S.A.,GENERACIÓN RECORE
TOREN,COMERCIALITZADORA TORRES ENERGIA SL,COMERCIALIZADOR
TORME,TORMESH SOLUTION SL,COMERCIALIZADOR
TORNA,TORNADIZOS ENERGY SL,COMERCIALIZADOR
TORPA,"TORRAS PAPEL, S.A.",GENERACIÓN RECORE
TORTE,TORTOSA ENERGIA (ACTIVIDAD: GENERACIÓN),GENERACIÓN
TORTO,"PARQUE EÓLICO DE TORTOSA, S.L.",GENERACIÓN RECORE
TOVAG,"TOVANPOR, S.L.",GENERACIÓN RECORE
TRADB,TRADEBE GESTION ESPAÑA SL,REPRESENTANTE
TRARG,TRARGISA,GENERACIÓN RECORE
TRAVE,HOTEL TRAVÉ S.L.,CONSUMIDOR DIRECTO
TRICL,TRICLINIUM INVERSIONES SL,COMERCIALIZADOR
TRISO,SECOND FOUNDATION TRADING AG,COMERCIALIZADOR
TRJUN,TRACTAMENTS DE JUNEDA SA,CONSUMIDOR DIRECTO
TRPOR,TRADEBE PORT SERVICES SL,CONSUMIDOR DIRECTO
TRUF,CHOCOLATE Y TRUFA S.L,CONSUMIDOR DIRECTO
TRUJI,BDPE HYBRID PACKAGE PROJECT I S.L.,GENERACIÓN
TRVAL,TRADEBE VALDILECHA SL,CONSUMIDOR DIRECTO
TSOL,TELEFÓNICA SOLUCIONES DE INFORMÁTICA Y COMUNICACIO,COMERCIALIZADOR
TSRDE,ENGELHART CTP RENEWABLES GMBH,COMERCIALIZADOR
TUCAN,TUCAN ENERGIA SL,COMERCIALIZADOR
TUELE,TU ELECTRICA S.L.,COMERCIALIZADOR
TUREG,"DESIMPACTO DE PURINES TUREGANO, S.A.",GENERACIÓN RECORE
UFICS,"COGENERACIÓN UFIC, S.A.",GENERACIÓN RECORE
ULSOL,ULTREYA SOLUCIONES SL,COMERCIALIZADOR
ULTR,ULTRANSA SL,CONSUMIDOR DIRECTO
UMBRE,"UMBRELLA ELECTRON, S.L.",COMERCIALIZADOR
UMEME,"OCTOPUS ENERGY ESPAÑA, S.L.",COMERCIALIZADOR
UMIA,HIDROELECTRICA DEL UMIA S.L.,GENERACIÓN RECORE
UNEL,UNIELECTRICA ENERGIA S.A.,COMERCIALIZADOR
UNIDO,UNIARTE DOORS SL,CONSUMIDOR DIRECTO
UNTAL,"SOCIEDAD EOLICA EL PUNTAL, S.L.",GENERACIÓN RECORE
UNZUE,"EÓLICA UNZÚE, S.L.",GENERACIÓN RECORE
URAIV,"EVOLVE ENERGÍA, SL",COMERCIALIZADOR
URANA,"COMERCIALIZADORA HAZ DE LUZ RENOVABLE, S.L.U.",COMERCIALIZADOR
URANB,"URANOSCOPIDAE ENERGIA VI, S.L.",COMERCIALIZADOR
URANC,"URANOSCOPIDAE VII ENERGIA, S.L.",COMERCIALIZADOR
URBEN,SISTEMAS URBANOS DE ENERGIAS RENOVABLES S.L,REPRESENTANTE
URSOS,"URSO SOLAR, S.L.",GENERACIÓN
URUSE,URUS ENERGY SORIA SL,COMERCIALIZADOR
USENE,USENERGY,COMERCIALIZADOR
UTISA,"UTISA TABLEROS DEL MEDITERRANEO, S.L.",GENERACIÓN
VALAI,VALVERDE AIRESANO 1929 S.L.U.,CONSUMIDOR DIRECTO
VALCA,"PARQUE EOLICO VALCAIRE, S.L.",GENERACIÓN RECORE
VALDA,"PIZARRAS VALDACAL, SA",CONSUMIDOR DIRECTO
VALDI,"VALDIVIA ENERGIA EÓLICA, S.A.",GENERACIÓN RECORE
VALEA,VALERO FORN TRADICIONAL SL,CONSUMIDOR DIRECTO
VALI,"HIDROELECTRICA DEL VALIRA, S.L.",COMERCIALIZADOR
VALLS,"INDUSTRIAL AIGUA DE VALLS, S.A.",GENERACIÓN RECORE
VALOR,TEXTIL VALOR S.L.,CONSUMIDOR DIRECTO
