agent_code,description,agent_type
CHAN,"SISTEMAS ENERGÉTICOS CHANDREXA, S.A.",GENERACIÓN RECORE
CHAND,RECICLAJES ECOLOGICOS CHANDUY  S.L.U.,COMERCIALIZADOR
CHARG,CHARGE ENERGY SL,COMERCIALIZADOR
CHC,"CIDE HCENERGIA, S.A.U",COMERCIALIZADOR
CHCOR,"COMERCIALIZADOR DE REFERENCIA ENERGÉTICO, S.L.U",COMERCIALIZADOR ULTIMO RECURSO
CHDUE,CONFEDERACION HIDROGRAFICA DEL DUERO,GENERACIÓN
CHEBR,CONFEDERACIÓN HIDROGRÁFICA DEL EBRO,GENERACIÓN
CHERA,ELECTRICA SOT DE CHERA,COMERCIALIZADOR
CHPED,CENTRAL HIDROELECTRICA SAN PEDRO DE ARAIA S.A.,COMERCIALIZADOR
CHURC,"CHURCH ENERGY, S.L.",COMERCIALIZADOR
CHURR,"PRODUCTOS CHURRUCA, S.A.",CONSUMIDOR DIRECTO
CIEN,CIENER S.A.,GENERACIÓN RECORE
CIMA,CIMA ENERGIA COMERCIALIZADORA SL,COMERCIALIZADOR
CINSE,PARQUE EOLICO CINSEIRO,GENERACIÓN RECORE
CLADA,CLADA SLU,CONSUMIDOR DIRECTO
CLEAN,"ZERO WASTE BIOENERGY CASTILLA LA MANCHA, S.L.",GENERACIÓN
CLEAR,CLEARVIEW ENERGY SL.,COMERCIALIZADOR
CLHSA,"COMPAÑIA LOGÍSITCA DE HIDROCARBUROS CLH, S.A.",CONSUMIDOR DIRECTO
CLIDM,HOLALUZ-CLIDOM SA,COMERCIALIZADOR
CLIDP,CLIDOMER UNIPESSOAL LDA,COMERCIALIZADOR
CMINE,"HIDROELECTRICA COTO MINERO, S.A.",GENERACIÓN RECORE
CMORE,"MOLINOS DEL CERRO MORENO, S.L.",GENERACIÓN RECORE
CMORO,PARC EOLIC COLL DEL MORO SLU,GENERACIÓN RECORE
CMT,"COGENERACIÓN MOTRIL, S.A.",GENERACIÓN
COALG,"COMERCIALIZADORA SUM ESP ALGINETENSES, S.L.",COMERCIALIZADOR
COBUR,"COGENERADORA BURGALESA, S.L.",GENERACIÓN
CODOR,ENERGIA COSTA DORADA SLU,COMERCIALIZADOR
COELD,ELECTRICA DE GUADASSUAR COOP. V.,COMERCIALIZADOR
COFRE,"PARQUE EÓLICO COFRENTES, S.L.U.",GENERACIÓN
COGEN,ENERGY BY COGEN,COMERCIALIZADOR
COHID,CORTIZO HIDROELÉCTRICA,GENERACIÓN RECORE
COLCR,"COBRE LAS CRUCES, S.A.U.",CONSUMIDOR DIRECTO
COLIV,"PARQUE EOLICO CERRO OLIVA, S.L.",GENERACIÓN RECORE
COLOM,FIESTA COLOMBINA S.L,CONSUMIDOR DIRECTO
COMBU,COMBUSTIBLES DEL CANTABRICO S.L,CONSUMIDOR DIRECTO
COMCH,COMERCIALIZADORA LA CHISTABINA S.L.U,COMERCIALIZADOR
COMED,"COMERCIALIZADORA ELECTRICA DE TENERIFE, S.L.",COMERCIALIZADOR
COMEE,"COMERCIALIZADORA DE ENERGÍA TRANSPARENTE, SL",COMERCIALIZADOR
COMEF,COMERCIALIZADORA DE ENERGIAS RENOVABLES Y DE SERVI,COMERCIALIZADOR
COMER,COMERCAST ENERGIAS S.L.,COMERCIALIZADOR
COMPA,COMPAÑIA CASTELLANA DE COMERCIALIZACION ELECTRICA,COMERCIALIZADOR
COMS,PARC EÓLICO LES COMES,GENERACIÓN RECORE
CONAV,COGENERACIÓN DE NAVIA,GENERACIÓN RECORE
CONEC,CONECTA2 ENERGIA SL,COMERCIALIZADOR
CONFE,"CONFEDERACIÓN HIDROGRÁFICA DEL MIÑO-SIL, O.A",GENERACIÓN
CONFI,"CONFIREL, A.I.E.",GENERACIÓN
CONOR,COGENERACIÓN DEL NOROESTE,GENERACIÓN RECORE
CONSB,"CONSULTING AND MANAGEMENT GREEN ENERGY, SL",COMERCIALIZADOR
CONTA,TUNERGIA EFICIENCIA ENERGETICA Y RENOVABLE S.L.,COMERCIALIZADOR
CONV,PARQUE EOLICO CORRAL NUEVO,GENERACIÓN RECORE
CONVA,CONVA LITERA S.L.,GENERACIÓN
COOPB,SOCIEDAD COOP AGRARIA (SAN MARTIN) DE BELCHITE,CONSUMIDOR DIRECTO
CORCO,"DESIMPACTE DE PURINS CORCO, S.A.",GENERACIÓN RECORE
COREN,COOPERATIVAS ORENSANAS,GENERACIÓN RECORE
COREY,"COREYSA COGENERACIÓN, S.A.",GENERACIÓN RECORE
CORPO,"CORPOLUX, S.L.",COMERCIALIZADOR
CORTE,AGUAS DE CORTES S.A.,CONSUMIDOR DIRECTO
COTIR,"SOCIETAT MUNICIPAL DE COM. ELECTRICA DE TIRVIA, S.L.",COMERCIALIZADOR
COVAP,SDAD.COOP.AND.GANADERA DEL VALLE DE LOS PEDROCHES,GENERACIÓN RECORE
COVI,"COGENERACIÓN VILLARICOS, S.A.",GENERACIÓN
COVIS,COVISLAN,GENERACIÓN RECORE
CPAR,CENPAR,GENERACIÓN RECORE
