unit_code,description,owner_agent,ownership_pct,unit_type,zone,technology
MENEC01,MENER COMPRA,"XENERA COMPAÑÍA ELÉCTRICA,S.A.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
MERCCP3,MERCU EXPORT WITH RIGHTS UNIT,MERCURIA ENERGY TRADING SA,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Comercializador no residente
MERCVP3,MERCU IMPORT WITH RIGHTS UNIT,MERCURIA ENERGY TRADING SA,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Import. de agentes externos
METEC01,18W000000000MBMS,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
METEC02,UOC PORTUGAL,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
METER01,METER01,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compra Comercializador Balance
METRM01,METRM01,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
METRM02,REP COMER,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
METRM03,REP COMER,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
METRM04,REP COMERC,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
METRM05,REP COMER,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
METRM06,REP COMER,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
METRM07,REP COMER,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
METRM08,REPRESENTACION,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
METRM09,REP COMERCIALIZADORES,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
METRM10,REP COMERCIALIZADORES,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
METRM11,REP COMER,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
METRM12,REP COMER,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
METRM13,REP COMER SRAD,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compra Comercializador Balance
METRM14,REPRESENTACION,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
METRM15,REP COMER,"MET ENERGIA ESPANA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
MINIC01,COMPRA COMERCIALIZADORA,EKHI ENERGY MANAGEMENT S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
MONTC01,MONTS  COMPRA,"ELECTRICA DEL MONTSEC, S.L",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
MOTAC01,MOTAC01,MONTARTO TECHNOLOGY SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
MOVHC01,COMER ES,MOVHERA - HIDROELÉTRICAS DO NORTE SA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
MSVSC01,MSVSL COMPRA,"MUNICIPAL DE SERVICIOS VILLAHERMOSANA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
MULTC01,1,MULTIENERGIA VERDE SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
MUONC02,MUON OMIE,"MUON ELECTRIC, LDA.",100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
MUTAC01,"MULTISEVICIOS TECNOLOGICOS, S.","MULTISEVICIOS TECNOLOGICOS, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
MXXIC01,MXXIC01,SIRAX ENERGY SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
MYENC01,U. OFERTA DE COMPRA MY ENERGIA,MY ENERGIA ONER S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
MYLIC01,MY LIGHT ENERGY,MYLIGHT ENERGY SP SA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
NABAC01,NABALIA,NABALIA ENERGIA 2000 S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
NAVAC01,PETRONAVARRA COMPRA ESP,"PETRO NAVARRA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
NCEC01,COMPRA COMERCIALIZADORA,"NUEVA COMERCIALIZADORA ESPAÑOLA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NCERM01,REPRESENTACION DE ALDEFE A NCE,"NUEVA COMERCIALIZADORA ESPAÑOLA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NCERM04,REPRESETNACION  LUX,"NUEVA COMERCIALIZADORA ESPAÑOLA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NCERM05,REPRESENTACION NORTE,"NUEVA COMERCIALIZADORA ESPAÑOLA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NCERM06,REPRESENTACION DXD,"NUEVA COMERCIALIZADORA ESPAÑOLA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NCERM22,REPRESENTACION CHANDUY,"NUEVA COMERCIALIZADORA ESPAÑOLA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEASCP3,NEAS EXPORT WITH RIGHTS UNIT,CENTRICA ENERGY TRADING AS,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Comercializador no residente
NEASC01,INTRADAY TRADING,CENTRICA ENERGY TRADING AS,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
NEASVP3,NEAS IMPORT WITH RIGHTS UNIT,CENTRICA ENERGY TRADING AS,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Import. de agentes externos
NEMOC01,NEMON COMPRA ESPAÑA,"NEMON INTELLIGENCE IN BUSINESS, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
NEOEC01,UNIDAD DE COMPRA,NEOELECTRA ENERGIA SLU,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
NETOC01,"NETON ENERGY SERVICES, S.L.U.","NETON ENERGY SERVICES, S.L.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
NETRC01,UP NET,NOVA ENERGIA TRADING SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
NEURM02,REPRESENTACION 02,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM03,REPRESENTACION 03,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM05,REPRESENTACION 05,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM06,REPRESENTACION 06,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM07,REPRESENTACION 07,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM08,REPRESENTACION 08,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM09,REPRESENTACION 09,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM11,REPRESENTACION 11,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM13,REPRESENTACION 13,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM14,REPRESENTACION 14,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM15,REPRESENTACION 15,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM16,REPRESENTACION 16,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM17,REPRESENTACION 17,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM18,REPRESENTACION 18,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM19,REPRESENTACION 19,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM20,REPRESENTACION 20,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM21,REPRESENTACION 21,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM22,REPRESENTACION 22,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM23,REPRESENTACION 23,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM24,REPRESENTACION 24,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM25,REPRESENTACION 25,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM26,REPRESENTACION 26,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEURM27,REPRESENTACION 27,"NEURO ENERGIA Y GESTION, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NEXOC01,NEXORA ENERGIA,"NEXORA ENERGIA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
NEXTC01,"NEXT ENERGY PLUS, S.L.","NEXT ENERGY PLUS, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
NEXUC01,NEXUS ENERGÍA COMPRA (ESP),NEXUS ENERGÍA ,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
NIDHCP3,NIDHOG EXP,NIDHOG APS,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Comercializador no residente
NIDHVP3,NIDHOG IMP,NIDHOG APS,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Import. de agentes externos
NOBEC01,NOBEC01,NOBE SOLUCIONES Y ENERGIA S.L,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
NOBLCP3,EXPORT,NOBLE CLEAN FUELS LIMITED,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Comercializador
NOBLVP3,IMPORT,NOBLE CLEAN FUELS LIMITED,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Import. de comercializadoras
NOCTC01,"NOCTILUCA ENERGIA, S.L.","NOCTILUCA ENERGIA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
NORTC01,ELECTRA NORTE COMPRA (ESP),"ELECTRA NORTE ENERGÍA, S.A.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
NOVAC02,NOVAE COMPRA,"NOSSA ENERGIA, COMÉRICIO DE ENERGIA LDA",100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
NUKIC01,UNIDAD DE OFERTA PENINSULAR,NUKIK ENERGY SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
NVLUC01,NVLUC01,"NOVALUZ ENERGÍA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
NYCLC01,NATURGY CLIENTES COMPRA - PE,"NATURGY CLIENTES, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ODARC01,ODARA RENOVABLES,"ODARA RENOVABLES, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ODELC01,ODELC01,ODELL ENERGY S.L,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
OENC02,NOVO REGISTO,"OENEO ENERGY,LDA",100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
OESTC01,OESTC01,"RONDA OESTE ENERGÍA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
OKENC01,OKENC01,OK TU ENERGIA VERDE SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
OLEC01,OLE COMPRA COMERCIALIZACION,SIESTA GREEN ENERGY S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
OLIVC01,OLIVIA COMERCIALIZADORA 01,OLIVIA COMERCIALIZADORA S.L.U.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ONDEC01,UNIDAD DE OFERTA PRINCIPAL,ON DEMAND FACILITIES S.L.U.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ONDEC02,UNIDAD OFERTA PORTUGAL,ON DEMAND FACILITIES S.L.U.,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
ONDRM14,ONDRM14,ON DEMAND FACILITIES S.L.U.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ONEACH,ONE - AGENT EXTERNE - COMPRA,OFFICE NATIONAL D'ELECTRICITÉ ET DE L'EAU POTABLE,100.0,COMERCIALIZADOR,FRONTERA MARRUECOS,Comercializador no residente
ONEVEN,ONE - AGENT EXTERNE - VENTA,OFFICE NATIONAL D'ELECTRICITÉ ET DE L'EAU POTABLE,100.0,COMERCIALIZADOR,FRONTERA MARRUECOS,Import. de agentes externos
ORWEC01,COMERCIALIZACION,ORWELL POWER SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
OURGC01,UNIDAD DE OFERTA,"OUR GREEN ENERGY, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
OXPEC01,OXPERTA COMPRAS,"OXPERTA GREEN ENERGY, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
PANDC01,18W000000000SXYP,"PANDORA ENERGÍA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
PETEC02,START,PETROTERMICA ENERGIA S.A.,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
PETRC01,COMPRA PETRONIEVES ENERGIA,"NIEVES ENERGIA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
PEURM01,REP VALIRA,"PRODUCTORA ELÉCTRICA URGELENSE-1, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
PISUC01,PISUE,PISUERGA INFRAESTRUCTURAS ENERGETICAS SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
POLAC01,UNIDAD DE OFERTA POLAR,POLAR COMERCIALIZADORA ELECTRICA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
PONCC01,PONTC COMERCIALIZADOR ESP,"PONTS COMERCIALITZADORA MUNICIPAL DENERGIA ELECTRICA, S.L.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
PORTC02,PORTULOGOS POWER,PORTULOGOS POWER LDA,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
POSOC01,POWER SOLAR TRADE SL,POWER SOLAR TRADE SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
POTEC01,POTENZIA UP,POTENZIA COMERCIALIZADORA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
POWCP3,PURCHASE UNIT,POWERMART APS,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Comercializador no residente
POWEC01,PURCHASE UNIT,POWERMART APS,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
POWRC01,POWRC01,POWER PULSE IBERIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
POWVP3,SALES UNIT,POWERMART APS,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Import. de agentes externos
PRAEC01,PRAETIUM ENERGY,PRAETIUM ENERGY SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
PROPC02,ELEC COMPRAS,PROPENSALTERNATIVA - UNIPESSOAL LDA,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
PROSC01,PROSC01,PROSOL ENERGÍA COMERCIALIZADORA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
PRPIC02,COMERCIALIZADOR - COMPRA,PROPICIMODUS-ENERGIA S.A.,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
PTENC01,CODIGO UO PARATIENEGIA,PARATIENERGIA S.L,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
PTLIC02,COMPRA ENERGIA PT LIVE,MEO ENERGIA COMERCIALIZACAO DE ENERGIA SA,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
PULSC01,PULSAR ENERGY UOF,PULSAR SERVICIOS ENERGÉTICOS SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
PWPC02,UNIDADE COMPRA,"POWER PLUS II - COMERCIALIZACAO DE ENERGIA, LDA.",100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
QENEC01,UP COMECIALIZADORA QUASAR,QUASAR ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
QUATC01,QUANT_UP,"QUANTICA COMERCIALIZADORA DE ENERGIA ,SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
RCONC01,UP PENINSULAR,RENOVAE CONSULTING SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
RDGAC01,RDG COMPRA,"RDG COMERCIALIZADORA GALEGA DE ENERXIA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
RECOC01,EMECE ENERGÍA,REPRESENTANTES DE CONSUMIDORES EN EL MERCADO ELECT,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
REMIC01,REMIC01,"REMICA COMERCIALIZADORA, S.A.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
RENUC01,18W000000000RZ3B,"RENU ENERGY, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
REPPC02,COMERCIALIZACION REYG PORTUGAL,"REPSOL PORTUGUESA, LDA",100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
REUSC01,UNIDAD COMPRAS CONSUMIDORES,"REUS SERVEIS MUNICIPALS, SA",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
RIVEC02,MW,"RIVER-ENERGY, UNIPESSOAL LDA.",100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
ROFEC01,ROFEICA ENERGIA,"ROFEICA ENERGIA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ROLEC02,ROLEAR COMPRA,ROLEAR - AUTOMATIZACOES ESTUDOS REPRESENTACOES SA,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
RONDC01,COMPRAS,ELECTRICA SERRANIA DE RONDA ENERGIA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
RSPAC01,RESPIRA ENERGIA ATLANTICA,RESPIRA ENERGIA ATLANTICA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
RSPEC01,RESPIRA ENERGIA COMERC ESP,"RESPIRA ENERGIA ESPAÑA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
RSPRC01,UNIDAD COMPRAS CONSUMIDORES,"RESPIRA ENERGIA MEDITERRANIA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
RSPRM01,COMERCIALIZADORA ISABA,"RESPIRA ENERGIA MEDITERRANIA, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
SAFEC01,UNIDAD DE COMPRA,"SUSTAINING AIR FOR EVERYONE, S.R.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SALPC01,SALPA COMERCIALIZADOR ESP,ELECTRICA SALAS DE PALLARS COMERCIALITZADORA S.L,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SAMAC01,SAMARA COMPRA,"SAMARA ENERGIA VPP, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SAMPC01,SAMP COMER,"SAMPOL INGENIERIA Y OBRAS, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
SECOCP3,SECOCP3,SECOND FOUNDATION ENERGY AS,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Comercializador no residente
SECOVP3,SECOVP3,SECOND FOUNDATION ENERGY AS,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Import. de comercializadoras
SEELC01,COMERCIALIZADORA SHEEN,SHELL ENERGY EUROPE LIMITED,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SERVC01,SERVICIOS AVANZADOS UOF,SERVICIOS ENERGÉTICOS AVANZADOS SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SESAC01,SHELL ESPAÑA COMPRA,SHELL ESPAÑA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SESAR01,SHELL ESPAÑA SRAD,SHELL ESPAÑA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compra Comercializador Balance
SHEECP3,SHELL EN TR DERECHOS COMP (FR),SHELL ENERGY EUROPE LIMITED,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Comercializador no residente
SHEEVP3,SHELL EN TR DERECHOS VENT (FR),SHELL ENERGY EUROPE LIMITED,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Import. de agentes externos
SHIRC01,"SHIRYU ENERGIA, S.L.","SHIRYU ENERGIA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SIGNC01,SIGNO COMPRA,"SIGNO ENERGY, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SLCZC01,UNIDAD OFERTANTE SOLUZIONA,"SOLUZIONA TU ENERGÍA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SMARCP3,SMARCCOMPRA,SMARTESTENERGY LIMITED,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Comercializador no residente
SMARVP3,SMARCVENTA,SMARTESTENERGY LIMITED,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Import. de agentes externos
SMGCP3,SMG DERECHOS COMPRA(FRAN),STATKRAFT MARKETS GMBH,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Comercializador no residente
SMGC02,STATKRAFT MARKETS PT COMMERCIA,STATKRAFT MARKETS GMBH,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
SMGVP3,SMG DERECHOS VENTA(FRAN),STATKRAFT MARKETS GMBH,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Import. de agentes externos
SOECC01,BUY BID UNIT,SECOND FOUNDATION ENERGY AS,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SOLFC01,COMPRA COMERCIALIZADORA,SOLFLIX SOLAR S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SOLIC01,PENINSULA,"3 SOLIMA, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SOLLC01,ELEC. SOLLERENSE COMPRAS(ESP),"ELÉCTRICA SOLLERENSE, S.A.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SOLRM01,SOLWC01,SOLWE ENERGÍA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
SOLTC01,SOLTC01,LIMPIEZA ENERGÉTICA 2024 SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
SOLWC01,SOLWE,SOLWE ENERGÍA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SOMEC01,SOMEN COMPRA,SOM ENERGIA SCCL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
SONEC01,SOLUZ COMPRA,SONESTA LUZ,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SOPRC01,PROFIT ENERGY PENINSULA,PROFIT ENERGY SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SORXC01,SORS MARKETS LTD,SORS MARKETS LTD,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SPCKC01,SPOCK01,SPOCK P2P S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SRVGC01,GASHOGAR15,SERVIGAS S.XXI S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SRVIC01,UP PENINSULAR,SERVINERGIA ELECTRICA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
SRVRM01,DOMESTICA GAS Y ELECTRICIDAD,SERVIGAS S.XXI S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
SRVRM02,REPRESENTACIÓN ZUG POWER,SERVIGAS S.XXI S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
SSEECP3,COMPRSSE,SSE ENERGY SUPPLY LIMITED,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Comercializador no residente
SSEEVP3,VENTASSE,SSE ENERGY SUPPLY LIMITED,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Import. de comercializadoras
STAC02,COMERCIALIZADORA START,START CAMPUS ENERGY UNIPESSOAL LDA,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
STAQC01,STACO COMERCIALIZADOR ESP,ELECTRICA MUNICIPAL DE SANTA COLOMA DE QUERALT COM,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
STINC01,STINC01,STIN S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
STROC01,ENERGY STROM COMPRAS,"ENERGY STROM XXI, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
