tech_group,regime,hour_class,mw_in_band,n_tranches,frac_single_block,mw_at_mcp,n_months,n_cells_total,market
Cogen,ISP15-win,Dropped,1.372151212409694,0.237335325416123,0.15018409866890564,0.008433831901451947,4,18849,IDA
Cogen,ISP15-win,Flat,2.0194503681958733,0.26372109493746676,0.17574180911774628,0.010648807090152883,4,9170,IDA
Cogen,ISP15-win,Midday,1.6190110509853932,0.3441715208042832,0.20351125736893216,0.024607392826891693,4,12597,IDA
Fuel/Gas,DA15/ID15,Critical,71.13267563015286,0.6436782452414979,0.6436782452414979,0.0,3,1571,IDA
Fuel/Gas,DA15/ID15,Dropped,120.3861081484395,0.7909430708994628,0.7909430708994628,0.432451297671172,3,561,IDA
Fuel/Gas,DA15/ID15,Flat,175.5837598425197,0.7798392388451444,0.7798392388451444,0.0,3,343,IDA
Fuel/Gas,DA15/ID15,Midday,22.8477636398689,0.861962598804704,0.861962598804704,0.0,3,78,IDA
Fuel/Gas,DA60/ID15 post-blk,Critical,126.69768257637107,0.6028408579655374,0.6028408579655374,1.343397177419355,3,1166,IDA
Fuel/Gas,DA60/ID15 post-blk,Dropped,167.19781684965764,0.7966163556022594,0.7966163556022594,1.3179493932012203,3,452,IDA
Fuel/Gas,DA60/ID15 post-blk,Flat,197.35285285285286,0.8595345345345345,0.8595345345345345,0.0,3,316,IDA
Fuel/Gas,DA60/ID15 post-blk,Midday,17.50793269230769,0.578125,0.578125,0.0,2,45,IDA
Hydro,3-sess,Critical,92.70131113712124,1.313441104782944,0.23362702343694344,1.2216206359505242,6,55373,IDA
Hydro,3-sess,Dropped,97.24085529113064,1.2778957574161791,0.21560061764872193,0.9928458218147438,6,27534,IDA
Hydro,3-sess,Flat,116.75196153403527,1.4536623651364453,0.2161866215408256,1.4832382116429208,6,12066,IDA
Hydro,3-sess,Midday,65.84706695340218,0.8851407402691759,0.19120469072706037,0.33949610848068396,6,21715,IDA
Hydro,DA15/ID15,Critical,97.79532844989289,1.223974432343485,0.24577001609319357,1.1667697053366588,3,132946,IDA
Hydro,DA15/ID15,Dropped,97.20222798149932,1.129110084225391,0.20068743106388962,0.9316677124634873,3,64716,IDA
Hydro,DA15/ID15,Flat,111.29756096304281,1.2382676824977308,0.1891613713148277,0.5860684393551149,3,28104,IDA
Hydro,DA15/ID15,Midday,62.79152711401778,0.7881958890995232,0.17009475548211841,0.41860010891465843,3,48788,IDA
Hydro,DA60/ID15 post-blk,Critical,84.52474590101255,1.05625116234679,0.2304084926389352,1.3312772560649406,5,231080,IDA
Hydro,DA60/ID15 post-blk,Dropped,80.73210322600599,0.9821115413309182,0.21002945966499573,1.1718903977939656,5,112498,IDA
Hydro,DA60/ID15 post-blk,Flat,122.19030563536323,1.3814859527354861,0.20938791296073345,1.6342758302843634,5,50520,IDA
Hydro,DA60/ID15 post-blk,Midday,25.488545323924313,0.39838307055875977,0.19000691318318497,0.11898886364637795,5,85362,IDA
Hydro,DA60/ID15 pre-blk,Critical,80.65563201258136,1.0667459470411433,0.35832115804988884,1.8730510701579792,2,55904,IDA
Hydro,DA60/ID15 pre-blk,Dropped,83.0821204585003,1.0648212712541705,0.3970778322635826,1.9535962627380314,2,28907,IDA
Hydro,DA60/ID15 pre-blk,Flat,92.71905422184594,1.1206161406380355,0.39542230888654795,1.8994771123740564,2,12947,IDA
Hydro,DA60/ID15 pre-blk,Midday,71.6282979821637,1.0088133259374246,0.4412933517953258,1.7476677730299182,2,23921,IDA
Hydro,ISP15-win,Critical,103.99768088407028,1.3930502409869714,0.24345613980217828,2.3692550525345686,4,37845,IDA
Hydro,ISP15-win,Dropped,111.04698539068815,1.3851262986839517,0.2072426021232939,2.0986696866726726,4,19227,IDA
Hydro,ISP15-win,Flat,112.88984232610446,1.3644947427623015,0.2102884181587974,2.326804895823983,4,8411,IDA
Hydro,ISP15-win,Midday,87.75355219853274,1.116594371536797,0.1908196995875393,0.9106122937532695,4,15218,IDA
Hydro_RES,3-sess,Critical,0.7389330937628301,0.6783679485453636,0.2763138834979459,0.024755746357203085,6,57423,IDA
Hydro_RES,3-sess,Dropped,0.838701153978878,0.7355987906664857,0.33734842257269126,0.0474124163446794,6,27976,IDA
Hydro_RES,3-sess,Flat,0.6484931916037028,0.644656871687985,0.23481194473048628,0.0032313708604444157,6,11021,IDA
Hydro_RES,3-sess,Midday,1.2825640876297937,0.9204822436860307,0.503708829200643,0.10642009910879006,6,24606,IDA
Hydro_RES,DA15/ID15,Critical,0.3865103710904929,0.5291858811853868,0.15196968682257905,0.003523861409192484,3,188100,IDA
Hydro_RES,DA15/ID15,Dropped,0.5262070471366039,0.6229082413741774,0.22741252965942063,0.011412301461843253,3,89722,IDA
Hydro_RES,DA15/ID15,Flat,0.5970720610825767,0.6216976759253386,0.2105303042613146,0.002529360965129587,3,37060,IDA
Hydro_RES,DA15/ID15,Midday,0.6259097093830744,0.7691557259812439,0.3705722534732951,0.03757932303156583,3,71795,IDA
Hydro_RES,DA60/ID15 post-blk,Critical,0.8144869562510575,0.7426346031242856,0.31497903186829873,0.02423470995358879,5,270624,IDA
Hydro_RES,DA60/ID15 post-blk,Dropped,0.9098478382211386,0.7921024738841576,0.3789761088377811,0.039945063134635736,5,135761,IDA
Hydro_RES,DA60/ID15 post-blk,Flat,0.8557686767450245,0.6679045650156901,0.23324402866180857,0.010326129268772598,5,49622,IDA
Hydro_RES,DA60/ID15 post-blk,Midday,1.097771211871001,0.9626030808107764,0.5971611957197787,0.09728721747265948,5,133074,IDA
Hydro_RES,DA60/ID15 pre-blk,Critical,1.157470129910477,0.811686679568871,0.5010387732070258,0.10122136122671971,2,94760,IDA
Hydro_RES,DA60/ID15 pre-blk,Dropped,1.525234178038461,0.9311693535975185,0.6316315484009981,0.17910208748511813,2,46908,IDA
Hydro_RES,DA60/ID15 pre-blk,Flat,1.4560269818505482,0.8899984749902472,0.5742764209198058,0.027744060815393295,2,17530,IDA
Hydro_RES,DA60/ID15 pre-blk,Midday,2.175515881764589,1.1044669097404993,0.8402527176174757,0.27421007109013057,2,45841,IDA
Hydro_RES,ISP15-win,Critical,0.4155408843061299,0.45289049446150786,0.14293054134055808,0.004209603294371131,4,52378,IDA
Hydro_RES,ISP15-win,Dropped,0.5045699890353399,0.5147642341270423,0.189957377928187,0.005883161248604387,4,25227,IDA
Hydro_RES,ISP15-win,Flat,0.5581582427815994,0.4937035748522527,0.19300556429897886,0.0043748285957531125,4,10799,IDA
Hydro_RES,ISP15-win,Midday,0.6865400908248819,0.6372794186683474,0.2722065739840466,0.01577848454843745,4,19741,IDA
Hydro_pump,3-sess,Critical,150.68655633968578,1.3720312717548875,0.31195667560832224,6.199395454113673,6,7695,IDA
Hydro_pump,3-sess,Dropped,176.93562493581283,1.3352756886485795,0.26841118847503237,6.438888668213534,6,3667,IDA
Hydro_pump,3-sess,Flat,218.64107324519352,1.5487703838282278,0.27187570118055143,8.984902437889156,6,1671,IDA
Hydro_pump,3-sess,Midday,146.08768810705453,0.808058901601625,0.06059144430482238,0.05304740406320541,6,2057,IDA
Hydro_pump,DA15/ID15,Critical,112.6735161042174,1.0696663164707176,0.2575227969295861,3.327935167877346,3,17440,IDA
Hydro_pump,DA15/ID15,Dropped,148.05702183240015,1.100618410033498,0.171043606437999,1.8852212725965025,3,7243,IDA
Hydro_pump,DA15/ID15,Flat,155.0509594595509,1.0943334213572131,0.16396458528235675,0.7226631490185782,3,3106,IDA
