tech_group,regime,hour_class,share_in_band,mw_in_band,mw_total,n_tranches,frac_single_block,mw_at_mcp,n_months,share_pct
Nuclear,ISP15-win,Midday,0.3443977516333448,185.29690795099174,468.03871831491693,0.347450116669748,0.347450116669748,0.28967245989304813,4,34.4
Other,3-sess,Critical,0.20727755452198118,3.243867661240888,11.960255684893445,0.27301318844413414,0.19973697672848134,0.04871186730475674,6,20.7
Other,3-sess,Dropped,0.2714168389100892,3.9697699063664476,12.377428482693341,0.35282788820539784,0.2609016184060799,0.0899361237713987,6,27.1
Other,3-sess,Flat,0.19326016603364607,3.4267201377660275,13.773329194547992,0.2908668297252199,0.18208192584337157,0.011424453657346208,6,19.3
Other,3-sess,Midday,0.4467294414841562,6.032202737879513,12.757182117141655,0.5512261544924443,0.4303107587031929,0.17007687979412264,6,44.7
Other,DA15/ID15,Critical,0.14007071813422958,1.7482509728210422,8.71602478420657,0.224339783610037,0.12929007945989043,0.016258179061468838,3,14.0
Other,DA15/ID15,Dropped,0.27654989026158,2.9857508203678993,8.272280163484982,0.4110187672648593,0.2499280441120978,0.04525409421356117,3,27.7
Other,DA15/ID15,Flat,0.2444739086543097,3.790028659707333,10.126986784807208,0.4297257537865942,0.20994594402901098,0.03321373948280587,3,24.4
Other,DA15/ID15,Midday,0.4943869099386868,4.5950024825413385,8.104436057608881,0.6668565946061887,0.45322827116039277,0.10938603092505748,3,49.4
Other,DA60/ID15 post-blk,Critical,0.39304402290877166,3.818509980583798,8.684652715039409,0.4811585081578528,0.3675459050760154,0.1137027650630288,6,39.3
Other,DA60/ID15 post-blk,Dropped,0.5226360629940955,5.144749096552139,9.290689615781618,0.6386344742169042,0.4860077369762261,0.13213455171286706,6,52.3
Other,DA60/ID15 post-blk,Flat,0.35253724522912583,3.5319281029346388,9.540056363225027,0.4801465396920892,0.30485283493658766,0.02149068646124167,6,35.3
Other,DA60/ID15 post-blk,Midday,0.7793428219818038,8.119691363249926,10.19419417992481,0.9239782222904368,0.7363532178584379,0.2858882883372994,6,77.9
Other,DA60/ID15 pre-blk,Critical,0.6113409216035521,6.121378067567912,9.532853916904605,0.6776595298828607,0.5742109467187966,0.20178860316777902,2,61.1
Other,DA60/ID15 pre-blk,Dropped,0.7851499679233283,8.032257261669336,10.193307604974816,0.8697723758767417,0.7347813227037122,0.2776877703493044,2,78.5
Other,DA60/ID15 pre-blk,Flat,0.7591354741630902,8.407940946856963,11.148234370689565,0.8937444295900179,0.6752527905101435,0.05963259167303285,2,75.9
Other,DA60/ID15 pre-blk,Midday,0.9176813787604406,9.633194477854008,10.705778803903158,0.990534283736767,0.8737654121679554,0.5959512509149478,2,91.8
Other,ISP15-win,Critical,0.12021727435674368,2.2578639790771833,11.562062068681909,0.1676657694214082,0.12223049407134946,0.016050828631382685,4,12.0
