tech_group,regime,hour_class,share,mw_in_band,share_pct,h
Nuclear,3-sess,Critical,0.514952770002526,208.0,51.5,100
Nuclear,3-sess,Dropped,0.6304740282118082,249.0,63.0,100
Nuclear,3-sess,Flat,0.5891150148237281,221.0,58.9,100
Nuclear,3-sess,Midday,0.9033146883648326,365.0,90.3,100
Nuclear,DA15/ID15,Critical,0.17615665101489908,128.0,17.6,100
Nuclear,DA15/ID15,Dropped,0.29048040143470893,197.0,29.0,100
Nuclear,DA15/ID15,Flat,0.2861332123121457,211.0,28.6,100
Nuclear,DA15/ID15,Midday,0.4733407679588047,279.0,47.3,100
Nuclear,DA60/ID15 post-blk,Critical,0.2996184139855706,232.0,30.0,100
Nuclear,DA60/ID15 post-blk,Dropped,0.34770641941445524,258.0,34.8,100
Nuclear,DA60/ID15 post-blk,Flat,0.26155682142959574,223.0,26.2,100
Nuclear,DA60/ID15 post-blk,Midday,0.5253407365289767,339.0,52.5,100
Nuclear,DA60/ID15 pre-blk,Critical,0.7059855440610066,596.0,70.6,100
Nuclear,DA60/ID15 pre-blk,Dropped,0.8047699109748836,666.0,80.5,100
Nuclear,DA60/ID15 pre-blk,Flat,0.8225901449432929,680.0,82.3,100
Nuclear,DA60/ID15 pre-blk,Midday,0.8299544548904059,698.0,83.0,100
Nuclear,ISP15-win,Critical,0.31724903405839316,106.0,31.7,100
Nuclear,ISP15-win,Dropped,0.49810674021678825,168.0,49.8,100
Nuclear,ISP15-win,Flat,0.5502021568170727,174.0,55.0,100
Nuclear,ISP15-win,Midday,0.6871990590562362,264.0,68.7,100
Other,3-sess,Critical,0.46727612758585857,9.0,46.7,100
Other,3-sess,Dropped,0.5734418726488535,11.0,57.3,100
Other,3-sess,Flat,0.5144206995957493,9.0,51.4,100
Other,3-sess,Midday,0.8142005747925934,15.0,81.4,100
Other,DA15/ID15,Critical,0.44240920535169953,8.0,44.2,100
Other,DA15/ID15,Dropped,0.6309128242178552,11.0,63.1,100
Other,DA15/ID15,Flat,0.6499788090280728,12.0,65.0,100
Other,DA15/ID15,Midday,0.8311879594793735,14.0,83.1,100
Other,DA60/ID15 post-blk,Critical,0.6028129584741757,11.0,60.3,100
Other,DA60/ID15 post-blk,Dropped,0.7054563398509571,12.0,70.5,100
Other,DA60/ID15 post-blk,Flat,0.5740210475660072,10.0,57.4,100
Other,DA60/ID15 post-blk,Midday,0.9262516808531945,17.0,92.6,100
Other,DA60/ID15 pre-blk,Critical,0.7941660991037792,14.0,79.4,100
Other,DA60/ID15 pre-blk,Dropped,0.9141093063920666,16.0,91.4,100
Other,DA60/ID15 pre-blk,Flat,0.9249712654959329,16.0,92.5,100
Other,DA60/ID15 pre-blk,Midday,0.9530688546249153,18.0,95.3,100
Other,ISP15-win,Critical,0.2992512662885464,6.0,29.9,100
Other,ISP15-win,Dropped,0.4454587279814967,8.0,44.5,100
Other,ISP15-win,Flat,0.4762963684144764,9.0,47.6,100
Other,ISP15-win,Midday,0.5972052106599888,11.0,59.7,100
Solar PV,3-sess,Critical,0.5158396056112882,7.0,51.6,100
Solar PV,3-sess,Dropped,0.6677745597455046,11.0,66.8,100
Solar PV,3-sess,Flat,0.2483435830776933,3.0,24.8,100
Solar PV,3-sess,Midday,0.8212325993112595,16.0,82.1,100
Solar PV,DA15/ID15,Critical,0.5522127687665882,4.0,55.2,100
Solar PV,DA15/ID15,Dropped,0.7189197824480246,7.0,71.9,100
Solar PV,DA15/ID15,Flat,0.44488170211056693,1.0,44.5,100
Solar PV,DA15/ID15,Midday,0.8733458614985093,11.0,87.3,100
Solar PV,DA60/ID15 post-blk,Critical,0.7001824813372711,9.0,70.0,100
Solar PV,DA60/ID15 post-blk,Dropped,0.872600167124682,14.0,87.3,100
Solar PV,DA60/ID15 post-blk,Flat,0.21922689783203655,1.0,21.9,100
Solar PV,DA60/ID15 post-blk,Midday,0.9579874650403797,18.0,95.8,100
Solar PV,DA60/ID15 pre-blk,Critical,0.8690719124247261,8.0,86.9,100
Solar PV,DA60/ID15 pre-blk,Dropped,0.9588625888300412,14.0,95.9,100
Solar PV,DA60/ID15 pre-blk,Flat,0.2692036842458251,1.0,26.9,100
Solar PV,DA60/ID15 pre-blk,Midday,0.9801415652980734,17.0,98.0,100
Solar PV,ISP15-win,Critical,0.33770191967869884,3.0,33.8,100
Solar PV,ISP15-win,Dropped,0.4699109794250309,5.0,47.0,100
Solar PV,ISP15-win,Flat,0.22470661593130004,2.0,22.5,100
Solar PV,ISP15-win,Midday,0.600835590490274,8.0,60.1,100
Wind,3-sess,Critical,0.4971073535485484,12.0,49.7,100
Wind,3-sess,Dropped,0.6176340527593426,14.0,61.8,100
Wind,3-sess,Flat,0.5880872207209523,15.0,58.8,100
Wind,3-sess,Midday,0.8892951188625541,16.0,88.9,100
Wind,DA15/ID15,Critical,0.5565082151999624,15.0,55.7,100
Wind,DA15/ID15,Dropped,0.7626614669654281,19.0,76.3,100
Wind,DA15/ID15,Flat,0.806104956833336,21.0,80.6,100
Wind,DA15/ID15,Midday,0.9428823622756516,22.0,94.3,100
Wind,DA60/ID15 post-blk,Critical,0.6631602264158339,15.0,66.3,100
Wind,DA60/ID15 post-blk,Dropped,0.7642049952183386,15.0,76.4,100
Wind,DA60/ID15 post-blk,Flat,0.6635755330973908,16.0,66.4,100
Wind,DA60/ID15 post-blk,Midday,0.9851283166260284,16.0,98.5,100
Wind,DA60/ID15 pre-blk,Critical,0.8487087587282001,26.0,84.9,100
Wind,DA60/ID15 pre-blk,Dropped,0.9784453955300303,29.0,97.8,100
Wind,DA60/ID15 pre-blk,Flat,0.992595754039648,31.0,99.3,100
Wind,DA60/ID15 pre-blk,Midday,0.9993061422979747,30.0,99.9,100
Wind,ISP15-win,Critical,0.32029415271788597,11.0,32.0,100
Wind,ISP15-win,Dropped,0.4948067107687796,16.0,49.5,100
Wind,ISP15-win,Flat,0.5374415073136549,18.0,53.7,100
Wind,ISP15-win,Midday,0.6695687948807212,19.0,67.0,100
