tech_group,regime,hour_class,share_in_band,mw_in_band,mw_total,n_months,share_pct
Hydro_pump,3-sess,Flat,0.625340413758236,218.64107324519352,276.3586171353399,6,62.5
Hydro_pump,3-sess,Midday,0.2569899794682685,146.08768810705453,301.0049119531584,6,25.7
Hydro_pump,DA15/ID15,Critical,0.49440142842541307,112.6735161042174,176.09386369553673,3,49.4
Hydro_pump,DA15/ID15,Dropped,0.404877703951884,148.05702183240015,231.93077684096224,3,40.5
Hydro_pump,DA15/ID15,Flat,0.40483376484749733,155.0509594595509,245.60233396128203,3,40.5
Hydro_pump,DA15/ID15,Midday,0.15686652580276958,88.15073404696625,196.33626428178954,3,15.7
Hydro_pump,DA60/ID15 post-blk,Critical,0.6036253173146079,105.09990979765078,157.37321239415078,5,60.4
Hydro_pump,DA60/ID15 post-blk,Dropped,0.5645457692451213,120.20451032097739,177.18499440380614,5,56.5
Hydro_pump,DA60/ID15 post-blk,Flat,0.7075554835330664,173.77708089255978,209.3459403503569,5,70.8
Hydro_pump,DA60/ID15 post-blk,Midday,0.061558804161968995,22.38613248221575,142.54047591622378,5,6.2
Hydro_pump,DA60/ID15 pre-blk,Critical,0.7384623078682021,98.66536523155511,123.16359123298636,2,73.8
Hydro_pump,DA60/ID15 pre-blk,Dropped,0.6918269347868105,114.63409125086125,145.49501948350834,2,69.2
Hydro_pump,DA60/ID15 pre-blk,Flat,0.7633923063452888,140.65667668406573,164.51308058852936,2,76.3
Hydro_pump,DA60/ID15 pre-blk,Midday,0.4362777707509141,112.49077965043695,176.271297752809,2,43.6
Hydro_pump,ISP15-win,Critical,0.6926818719082267,137.07562237483566,178.04724843876272,4,69.3
Hydro_pump,ISP15-win,Dropped,0.5720816533652135,169.84408902357762,231.32050160464442,4,57.2
Hydro_pump,ISP15-win,Flat,0.48324851386951456,177.76862056012544,251.98643647870824,4,48.3
Hydro_pump,ISP15-win,Midday,0.3387370585172985,127.30729747589272,241.06674662269228,4,33.9
Nuclear,3-sess,Critical,0.7932950191570881,78.31389494120185,106.83741984541642,6,79.3
Nuclear,3-sess,Dropped,0.8396902199708552,82.25774635017619,104.96810530417092,6,84.0
Nuclear,3-sess,Flat,0.8089464882943144,71.12464070711897,95.04935642618251,5,80.9
Nuclear,3-sess,Midday,0.8764831659568503,97.83275978659373,113.83581856991566,6,87.6
Nuclear,DA15/ID15,Critical,0.9803794555733472,27.200987641368013,28.868638633574175,3,98.0
Nuclear,DA15/ID15,Dropped,0.9828771650109699,43.036387145751284,44.319016438866406,3,98.3
Nuclear,DA15/ID15,Flat,0.9943977591036415,164.13204638498755,165.76509960627607,3,99.4
Nuclear,DA15/ID15,Midday,0.9902413744641979,19.624481317613125,20.000357778625467,3,99.0
Nuclear,DA60/ID15 post-blk,Critical,0.9074976849573183,43.71694757094347,57.089946139753806,5,90.7
