tech_group,regime,hour_class,mw_in_band,n_tranches,frac_single_block,mw_at_mcp,n_months,n_cells_total,market
Hydro_RES,DA60/ID15 pre-blk,Midday,4.528573455442947,0.9941905989551763,0.8406008623164294,0.2325706467648187,2,22740,DA
Hydro_RES,ISP15-win,Critical,0.7582504673858024,0.15907624433222778,0.08294085259028983,0.002245970637587918,4,155489,DA
Hydro_RES,ISP15-win,Dropped,1.0309204530149967,0.22707654378452763,0.1380480847873295,0.004048198814047126,4,84744,DA
Hydro_RES,ISP15-win,Flat,1.0435522432943563,0.21786601150893786,0.1296663820448802,0.0006309940796754444,4,41979,DA
Hydro_RES,ISP15-win,Midday,1.6777105642534904,0.38479484249376417,0.2742336809193447,0.022189894350707822,4,56320,DA
Hydro_pump,3-sess,Critical,208.485574318952,2.3837486638631034,0.2648147929255608,2.504451594613703,6,10526,DA
Hydro_pump,3-sess,Dropped,216.97716886725752,2.4536004864863794,0.20420969741532366,3.261766646187059,6,4932,DA
Hydro_pump,3-sess,Flat,238.43003637932705,2.692092495041475,0.22144878530107978,2.2955467485732544,6,2507,DA
Hydro_pump,3-sess,Midday,171.09976698947972,1.729176739427379,0.07332042624265546,0.03284072249589491,6,2256,DA
Hydro_pump,DA15/ID15,Critical,283.4925254723767,3.0678896217769616,0.15297107070631466,3.2940596684536843,3,22760,DA
Hydro_pump,DA15/ID15,Dropped,289.4511290490553,2.960678889984653,0.1001240815691586,2.982493510392937,3,10120,DA
Hydro_pump,DA15/ID15,Flat,322.3354139475482,3.2238364073777066,0.12496771510885384,1.6660037660756186,3,4788,DA
Hydro_pump,DA15/ID15,Midday,174.1202086846677,1.649671777931804,0.03997042390752106,0.38591632376843643,3,5652,DA
Hydro_pump,DA60/ID15 post-blk,Critical,209.8681319098591,2.2697232111374497,0.2997615659098832,2.6818492402269123,6,9185,DA
Hydro_pump,DA60/ID15 post-blk,Dropped,218.91459583888005,2.3733921022331916,0.2804063280966957,1.9587433361209206,6,4598,DA
Hydro_pump,DA60/ID15 post-blk,Flat,230.01452533185054,2.6030261654346516,0.37166223602391235,2.3669808508133645,6,2828,DA
Hydro_pump,DA60/ID15 post-blk,Midday,152.02439559526007,1.4051014599862193,0.06242769286877651,0.0,6,1977,DA
Hydro_pump,DA60/ID15 pre-blk,Critical,174.84559265242564,2.0690924874562935,0.26547744546957924,1.509045954025856,2,2211,DA
Hydro_pump,DA60/ID15 pre-blk,Dropped,219.78599889243952,2.457188702883289,0.2660664354709855,2.2686655712106907,2,1065,DA
Hydro_pump,DA60/ID15 pre-blk,Flat,218.04160873024108,2.629085815087683,0.2827470512953547,4.289969215869393,2,557,DA
Hydro_pump,DA60/ID15 pre-blk,Midday,235.72291357667402,2.202465361936114,0.15407155518576132,0.0,2,513,DA
Hydro_pump,ISP15-win,Critical,219.6588538996312,2.369895124822734,0.2914013594284979,2.361814127651337,4,6326,DA
Hydro_pump,ISP15-win,Dropped,234.97396668169813,2.4165571909636094,0.230506920631535,1.7219285863974632,4,2928,DA
Hydro_pump,ISP15-win,Flat,241.79219725824194,2.410369449042025,0.23335023183279552,0.6514241996481507,4,1326,DA
Hydro_pump,ISP15-win,Midday,184.70020218138697,1.7863471744983075,0.1727267446175444,0.89127651913955,4,1766,DA
Nuclear,3-sess,Critical,118.83429947674227,0.2049430310513538,0.2049430310513538,5.970953096972249,6,10451,DA
Nuclear,3-sess,Dropped,146.97766148777387,0.2564677675795465,0.2564677675795465,6.589714918723071,6,5858,DA
Nuclear,3-sess,Flat,112.27624004015308,0.19220539137212678,0.19220539137212678,7.6688888888888895,6,2844,DA
Nuclear,3-sess,Midday,286.95023709602617,0.5051139681599833,0.5051139681599833,8.33300151756034,6,3800,DA
Nuclear,DA15/ID15,Critical,53.44911075422478,0.06605767947970614,0.060607180230016815,0.5383903531731945,3,21679,DA
Nuclear,DA15/ID15,Dropped,103.34810321982951,0.12545674244824404,0.11243783144959159,1.535101483553664,3,11714,DA
Nuclear,DA15/ID15,Flat,86.69129127453738,0.10210973598046628,0.09262396340983077,0.34497581945190753,3,5924,DA
Nuclear,DA15/ID15,Midday,216.09111517591228,0.26825248238411875,0.24533613097186038,0.29045893719806765,3,7624,DA
Nuclear,DA60/ID15 post-blk,Critical,200.79308947022113,0.2552312718229001,0.22565175019910147,9.886309647911554,6,9502,DA
Nuclear,DA60/ID15 post-blk,Dropped,250.91769904061684,0.3143991999720114,0.27186559538440563,14.197349434191539,6,5219,DA
Nuclear,DA60/ID15 post-blk,Flat,183.1531608130408,0.2214372965227828,0.1944102694957558,0.7763579967527336,6,2596,DA
Nuclear,DA60/ID15 post-blk,Midday,392.3346534064496,0.5054948404564278,0.4378053762526835,1.0500672043010753,6,3337,DA
Nuclear,DA60/ID15 pre-blk,Critical,493.4249073365304,0.6731120774905763,0.5366958925194781,17.84355141695044,2,2262,DA
Nuclear,DA60/ID15 pre-blk,Dropped,582.6437163924261,0.7954663223438867,0.6462125910006031,13.608576355558576,2,1222,DA
Nuclear,DA60/ID15 pre-blk,Flat,590.5238541666666,0.8046875,0.6546875000000001,10.42265625,2,624,DA
Nuclear,DA60/ID15 pre-blk,Midday,723.6679691762139,0.9566284779050737,0.8027823240589198,11.280448717948717,2,782,DA
Nuclear,ISP15-win,Critical,52.89624976330231,0.10013415770458517,0.10013415770458517,1.5119949494949494,4,6716,DA
Nuclear,ISP15-win,Dropped,86.6798860934042,0.16872780929375625,0.16872780929375625,0.18808593750000002,4,3764,DA
Nuclear,ISP15-win,Flat,75.99081456769983,0.15751334404024975,0.15751334404024975,2.771604938271605,4,1822,DA
Nuclear,ISP15-win,Midday,185.29690795099174,0.347450116669748,0.347450116669748,0.28967245989304813,4,2436,DA
Other,3-sess,Critical,5.289893310213944,0.26482251462134804,0.1878766357244933,0.07304399801248944,6,518409,DA
Other,3-sess,Dropped,6.565957638314212,0.338637684084203,0.24442861954763515,0.13454041783753404,6,281555,DA
Other,3-sess,Flat,5.401296962155157,0.26416319473573313,0.16434985040237107,0.011031626265453108,6,101142,DA
Other,3-sess,Midday,10.413845891617937,0.5341940307879424,0.4057107038030307,0.26487665253499265,6,237936,DA
Other,DA15/ID15,Critical,3.86638399929576,0.20789972007949728,0.11767226526019309,0.01917745020566927,3,704956,DA
Other,DA15/ID15,Dropped,7.664376736706217,0.3945648812355924,0.22986571958783975,0.0698866657017498,3,429248,DA
Other,DA15/ID15,Flat,8.529544857504353,0.37572323845636374,0.18771837067933503,0.02891201901364217,3,163448,DA
Other,DA15/ID15,Midday,12.763202480806521,0.6628140958903681,0.4167446312651404,0.18696841875973447,3,357304,DA
Other,DA60/ID15 post-blk,Critical,9.053169813743574,0.4886654921836647,0.3428391990560258,0.18164769077584744,6,397697,DA
Other,DA60/ID15 post-blk,Dropped,12.149224460680648,0.6463938488514915,0.4546070401509911,0.22172850307263192,6,205404,DA
