unit_code,tech_group,firm_class,n_obs,vol_sd_mw,mean_mw,vol_cv_pct,pre_avg_mwh,post_avg_mwh,n_pre,n_post,jump_gwh
WMPGOMR,Hydro,Fringe,126,0.0,0.10000000000000003,0.0,-0.1698347107438015,-1.0908163265306148,242,98,-0.0009209816157868132
LMEJUCA,Hydro,Fringe,530,0.0,0.49056603773584906,0.0,5.191616766467066,4.37479674796748,167,123,-0.0008168200184995858
AMBIETA,CCGT,Fringe,197,0.7393256011727006,196.502538071066,0.9609039497184928,3494.71124260355,4987.040375,169,200,1.4923291323964496
SRI5R,CCGT,HC,377,2.64974720402652,94.96843501326262,2.4623563100608945,945.6953125,1911.096287128713,64,202,0.9654009746287129
CTN3,CCGT,IB,180,2.2339953648508626,168.48805555555555,1.6167659402755323,1514.0584795321636,1699.6956439393941,171,132,0.18563716440723055
GUIG,Hydro_pump,GE,97,2.126129857289869,54.99329896907218,2.7193146636909518,181.33291666666668,-88.59267241379317,240,174,-0.2699255890804599
ARRU2R,CCGT,Fringe,47,15.040990941935394,233.0813829787234,8.325234216913733,1842.0739999999998,619.1436079545455,200,176,-1.2229303920454544
ASIDUE,Hydro,Fringe,938,0.014529046709476783,7.110740938166309,0.19031994735854862,-225.4045751633987,-106.99733606557375,153,244,0.11840723909782495
ADOURO,Hydro,Fringe,951,9.171959522014872,776.2591482649843,1.2041447168973916,-1397.245901639344,-2731.249487704918,244,244,-1.334003586065574
EBRFEN,Hydro,GE,959,1.5960742067767189,693.972758081335,0.23394111562571682,-164.90573770492165,-3044.3696721311426,244,244,-2.8794639344262207
PGR5,CCGT,GE,892,1.5381479179949356,142.37511210762332,0.8104596746196167,1241.4652777777778,3012.9616071428572,216,196,1.7714963293650794
SOL2,Hydro,Fringe,798,0.0,0.2746867167919807,0.0,-40.73524590163938,-3.674516908212554,244,207,0.03706072899342683
ARRU1R,CCGT,Fringe,142,25.110927169129955,272.88943661971825,11.772757946529879,1878.9443902439027,625.4078296703296,205,182,-1.253536560573573
TAJO,Hydro,IB,944,11.392358650392548,1157.78000529661,1.6005646306570396,179.9733606557377,-219.2141393442626,244,244,-0.39918750000000036
HCHI,Hydro,HC,958,2.3946080083954158,119.80634133611699,1.6612327866587229,107.70983606557375,-254.4008196721311,244,244,-0.36211065573770485
HMSROR1,Hydro,Fringe,901,9.202621504870698e-05,0.2947003329633729,0.02831575847652522,0.07250000000000005,0.10871212121212163,120,66,3.621212121212158e-05
PALOS2,CCGT,GN,359,2.8044913792112744,165.98398328690803,1.6220548711676213,858.6095890410959,3676.390487804877,73,205,2.8177808987637807
AGUG,Hydro_pump,Fringe,469,13.772031141666464,145.76945628997868,10.15217178144744,-1044.35375,-2004.4964139344265,240,244,-0.9601426639344265
MONDEGO,Hydro,Fringe,919,6.63168491699902,138.98623503808486,6.650189540039822,-123.51475409836065,-34.14928278688531,244,244,0.08936547131147535
DUER,Hydro,IB,959,5.354122055178847,1275.4551355578728,0.4970913558024921,198.57049180327837,25.627561475410207,244,244,-0.17294293032786817
MUEL,Hydro_pump,IB,449,11.79459881328379,607.449610244989,2.754762726515624,1002.5672268907563,264.203512396694,238,242,-0.7383637144940622
