day,unit_code,firm,qw_bid_eur_mwh,total_bid_mwh,pdbf_mwh,phf_mwh,rt2_mwh,regime
2025-09-23,PEGO3,GE,222.54253364389214,10046.400000000005,0.0,6029.4000000000015,6029.4000000000015,post
2025-09-23,PEGO4,GE,2407.488616817962,10046.400000000005,0.0,0.0,0.0,post
2025-09-23,PGR5,GE,1755.7671419666488,20534.400000000005,0.0,1021.25,1021.25,post
2025-09-23,SAGU1,GN,902.8274300063899,10015.199999999999,0.0,0.0,0.0,post
2025-09-23,SAGU2,GN,901.4720611892263,10070.40000000002,0.0,2353.575,2353.575,post
2025-09-23,SAGU3,GN,902.7733299490347,10046.40000000002,0.0,4406.450000000001,4406.450000000001,post
2025-09-23,SBO3,GN,903.307514259351,9537.600000000013,0.0,2783.45,2783.45,post
2025-09-23,SRI4R,HC,168.1534624413145,10223.999999999993,0.0,1528.35,1528.35,post
2025-09-23,SRI5R,HC,154.47769212800733,10274.400000000005,0.0,858.4250000000001,858.4250000000001,post
2025-09-23,SROQ1,GN,901.9342010771975,9357.600000000015,0.0,8.225,8.225,post
2025-09-23,SROQ2,GE,400.3205201592832,9643.2,0.0,2804.075,2804.075,post
2025-09-23,TAPOWER,IB,236.19490665227463,10005.6,0.0,1228.0749999999998,1228.0749999999998,post
2025-09-24,ACE4,GN,897.9580422269077,9103.200000000013,0.0,4002.65,4002.65,post
2025-09-24,ARCOS1,IB,130.7773132922234,9340.800000000001,0.0,4454.5,4454.5,post
2025-09-24,ARCOS2,IB,116.7436798856735,8956.800000000001,0.0,4481.5,4481.5,post
2025-09-24,ARCOS3,IB,226.90166291929967,19747.199999999997,0.0,0.0,0.0,post
2025-09-24,BES3,GE,476.6887776159262,9885.599999999999,0.0,4342.075,4342.075,post
2025-09-24,BES4,GN,865.8466532291667,9600.0,0.0,1610.075,1610.075,post
2025-09-24,CTGN1,GN,871.5740597762081,10187.999999999989,0.0,1716.3000000000002,1716.3000000000002,post
2025-09-24,CTGN3,GN,872.010821209952,10063.200000000006,0.0,112.15,112.15,post
2025-09-24,CTJON2,IB,180.00415369050765,9093.599999999997,0.0,0.0,0.0,post
2025-09-24,CTN3,IB,199.78210763000862,18768.000000000004,0.0,2570.25,2570.25,post
2025-09-24,CTN4,IB,195.50356269113155,20143.199999999997,0.0,2304.95,2304.95,post
2025-09-24,ESC6,IB,188.25653271620075,19574.400000000005,0.0,4599.6,4599.6,post
2025-09-24,PALOS1,GN,865.1605192210105,9458.399999999992,0.0,0.0,0.0,post
2025-09-24,PALOS2,GN,871.861327624707,9494.399999999976,0.0,3739.925,3739.925,post
2025-09-24,PALOS3,GN,840.2113313851191,9547.19999999999,0.0,0.0,0.0,post
2025-09-24,PBCN1,GN,873.598535051433,10732.799999999974,0.0,1635.8249999999998,1635.8249999999998,post
2025-09-24,PEGO3,GE,261.1093804745977,10046.400000000005,794.0,6005.6,5211.6,post
2025-09-24,PEGO4,GE,2419.3101981804402,10046.400000000005,0.0,0.0,0.0,post
2025-09-24,PGR5,GE,1805.2917557854125,20534.400000000005,0.0,1125.55,1125.55,post
2025-09-24,SAGU1,GN,868.8027096812843,10015.2,0.0,0.0,0.0,post
2025-09-24,SAGU2,GN,869.7758717627879,10070.400000000027,0.0,2843.6,2843.6,post
2025-09-24,SAGU3,GN,871.2695514811253,10046.400000000027,0.0,4744.125,4744.125,post
2025-09-24,SBO3,GN,910.8628897206831,9537.600000000013,0.0,3165.25,3165.25,post
2025-09-24,SRI4R,HC,166.82325899843502,10223.999999999993,3516.6000000000004,1215.85,-2300.7500000000005,post
2025-09-24,SRI5R,HC,181.20918009810774,10274.400000000005,2525.0,1453.25,-1071.75,post
2025-09-24,SROQ1,GN,871.4617647687427,9357.600000000024,0.0,0.0,0.0,post
2025-09-24,SROQ2,GE,490.7182843869257,9643.2,0.0,3167.0,3167.0,post
2025-09-24,TAPOWER,IB,188.62435206284474,10005.599999999999,0.0,1505.0,1505.0,post
2025-09-25,ACE4,GN,912.7107329290787,9103.200000000012,832.3,4643.9,3811.5999999999995,post
2025-09-25,ARCOS1,IB,131.67203515758817,9340.800000000003,0.0,4878.225,4878.225,post
2025-09-25,ARCOS2,IB,117.94037959985708,8956.800000000003,0.0,5334.5,5334.5,post
2025-09-25,ARCOS3,IB,226.05118274995945,19747.200000000008,0.0,0.0,0.0,post
2025-09-25,BES3,GE,396.49991806263677,9885.599999999999,1852.0,5053.375,3201.375,post
2025-09-25,BES4,GN,552.64965625,9600.0,0.0,1646.65,1646.65,post
2025-09-25,CTGN1,GN,577.0945570278759,10187.999999999998,1478.2000000000005,1588.3749999999998,110.17499999999927,post
2025-09-25,CTGN3,GN,871.8761545035371,10063.200000000003,0.0,143.025,143.025,post
2025-09-25,CTJON2,IB,180.97431072402557,9093.6,0.0,54.25,54.25,post
2025-09-25,CTN3,IB,200.4145035699063,18767.999999999996,1907.1000000000004,5502.45,3595.3499999999995,post
2025-09-25,CTN4,IB,195.10404339926131,20143.199999999993,0.0,1037.25,1037.25,post
2025-09-25,ESC6,IB,187.17818518064394,19574.400000000012,2395.6000000000004,5479.35,3083.75,post
2025-09-25,PALOS1,GN,861.0909275353132,9458.399999999992,0.0,183.95000000000005,183.95000000000005,post
2025-09-25,PALOS2,GN,871.5096802325603,9494.399999999976,0.0,4407.025,4407.025,post
2025-09-25,PALOS3,GN,806.1229022121679,9547.199999999986,0.0,310.17499999999995,310.17499999999995,post
2025-09-25,PBCN1,GN,874.7301315593337,10732.799999999974,0.0,1907.8,1907.8,post
2025-09-25,PEGO3,GE,269.4957517120559,10046.400000000005,2414.0,7130.275,4716.275,post
2025-09-25,PEGO4,GE,2412.723249621753,10046.400000000005,0.0,0.0,0.0,post
2025-09-25,PGR5,GE,1769.04356202275,20534.400000000005,1808.0,1871.4,63.40000000000009,post
2025-09-25,SAGU1,GN,866.8809482586469,10015.199999999999,0.0,148.675,148.675,post
2025-09-25,SAGU2,GN,871.0970427192541,10070.400000000027,0.0,1730.2000000000003,1730.2000000000003,post
2025-09-25,SAGU3,GN,872.4562925027848,10046.400000000029,0.0,2081.1749999999997,2081.1749999999997,post
2025-09-25,SBO3,GN,875.3929852373748,9537.600000000022,1249.3,4948.650000000001,3699.3500000000004,post
2025-09-25,SRI4R,HC,132.28638497652582,10224.0,0.0,1780.5,1780.5,post
2025-09-25,SRI5R,HC,180.72448026162095,10274.400000000005,0.0,550.0,550.0,post
2025-09-25,SROQ1,GN,870.8621128280731,9357.600000000022,0.0,0.0,0.0,post
2025-09-25,SROQ2,GE,398.174050107848,9643.2,1808.0,3755.925,1947.9250000000002,post
2025-09-25,TAPOWER,IB,188.02622191572715,10005.6,0.0,2142.675,2142.675,post
2025-09-26,ACE4,GN,842.295482357851,9103.20000000001,1508.6000000000004,6145.875,4637.275,post
2025-09-26,ARCOS1,IB,130.70824533230547,9340.800000000003,0.0,3931.7749999999996,3931.7749999999996,post
2025-09-26,ARCOS2,IB,117.58208020721675,8956.800000000003,2688.0,6168.824999999999,3480.824999999999,post
2025-09-26,ARCOS3,IB,223.42756725004025,19747.200000000008,0.0,0.0,0.0,post
2025-09-26,BES3,GE,411.4072297078582,9885.599999999999,1844.0,3179.8,1335.8000000000002,post
2025-09-26,BES4,GN,480.6686031249998,9600.000000000004,3911.4000000000015,5387.425000000001,1476.0249999999996,post
2025-09-26,CTGN1,GN,521.7428918335294,10188.0,3756.0999999999985,5351.400000000001,1595.300000000002,post
2025-09-26,CTGN3,GN,511.8518188051518,10063.199999999997,3836.6999999999994,3783.125,-53.57499999999936,post
2025-09-26,CTJON2,IB,138.96108163983465,9093.6,0.0,90.5,90.5,post
2025-09-26,CTN3,IB,198.7971265984655,18767.999999999996,2550.7000000000003,5698.25,3147.5499999999997,post
2025-09-26,CTN4,IB,192.36107490368974,20143.199999999993,0.0,411.125,411.125,post
2025-09-26,ESC6,IB,185.67743266715706,19574.400000000012,3839.8,4231.275,391.47499999999945,post
2025-09-26,PALOS1,GN,802.8082711663719,9458.399999999983,1944.0999999999997,6319.875000000001,4375.7750000000015,post
2025-09-26,PALOS2,GN,834.1418371882401,9494.399999999972,0.0,135.75,135.75,post
2025-09-26,PALOS3,GN,824.5187412016099,9547.199999999986,0.0,234.625,234.625,post
2025-09-26,PBCN1,GN,508.2059407610316,10732.8,4156.5999999999985,5739.2,1582.6000000000013,post
2025-09-26,PBCN2,GN,0.0,0.0,0.0,207.75,207.75,post
2025-09-26,PEGO3,GE,244.95659440197463,10046.400000000005,4041.4,7581.225,3539.8250000000003,post
2025-09-26,PEGO4,GE,2406.1204302038514,10046.400000000005,0.0,0.0,0.0,post
2025-09-26,PGR5,GE,1775.624496941715,20534.400000000005,5163.0,6292.85,1129.8500000000004,post
2025-09-26,SAGU1,GN,839.4604071810844,10015.200000000003,0.0,155.725,155.725,post
2025-09-26,SAGU2,GN,836.2193498768644,10070.400000000034,0.0,136.47500000000002,136.47500000000002,post
2025-09-26,SAGU3,GN,837.5916033604053,10046.400000000036,0.0,2406.875,2406.875,post
2025-09-26,SBO3,GN,838.5760881144075,9537.600000000028,1620.6000000000004,3731.825,2111.2249999999995,post
2025-09-26,SRI4R,HC,132.28638497652582,10224.0,0.0,1856.5,1856.5,post
2025-09-26,SRI5R,HC,153.83531885073566,10274.400000000005,0.0,532.5,532.5,post
2025-09-26,SROQ1,GN,835.2313783448733,9357.600000000022,0.0,0.0,0.0,post
2025-09-26,SROQ2,GE,391.6664934876392,9643.2,5102.0,5150.4,48.399999999999636,post
