tech,week_start,DA cleared_pos,DA cleared_neg,Bilaterals_pos,Bilaterals_neg,IDA1_pos,IDA1_neg,IDA2_pos,IDA2_neg,IDA3_pos,IDA3_neg,IDA other_pos,IDA other_neg,Continuous_pos,Continuous_neg,REE residual_pos,REE residual_neg,phf_pos,phf_neg,phf_net
CCGT,2024-07-22,166.6864,0.0,25.897000000000023,0.0,23.506500000000003,-1.2244,52.6004,-3.386,11.5206,-0.0942,0.0,0.0,18.481199999999998,-11.3033,94.0522,0.0,392.7443,0.0,392.7443
CCGT,2024-07-29,304.1416,0.0,18.820999999999998,0.0,28.2125,-3.4547,48.6441,-5.8722,9.6662,-2.2268,0.0,0.0,21.8168,-10.973099999999999,138.21820000000005,0.0,569.5204,0.0,569.5204
CCGT,2024-08-05,147.10189999999997,0.0,31.380000000000045,0.0,15.0252,-0.8063,41.334599999999995,-2.3040000000000003,11.0049,-0.2027,0.0,0.0,11.8094,-3.8888999999999996,94.00329999999998,0.0,351.65930000000003,-0.586,351.0733
CCGT,2024-08-12,47.1445,0.0,14.309999999999992,0.0,6.502099999999999,0.0,41.1178,-1.0167000000000002,7.0795,-0.34269999999999995,0.0,0.0,17.014699999999998,-3.415,163.1599,0.0,296.32849999999996,-0.6422000000000001,295.68629999999996
CCGT,2024-08-19,93.0878,0.0,19.61400000000001,0.0,15.2236,-1.6192000000000002,47.77600000000001,-1.901,10.2437,-0.3549,0.0,0.0,14.3149,-7.1522,110.12269999999998,0.0,310.3827,-1.674,308.7087
CCGT,2024-08-26,293.56989999999996,0.0,39.44500000000001,0.0,32.26219999999999,-0.26139999999999997,60.19749999999999,-9.2225,12.3048,-2.2739,0.0,0.0,18.9485,-8.0531,101.51440000000002,0.0,556.6503,-3.2721999999999998,553.3781
CCGT,2024-09-02,147.55559999999997,0.0,45.129,0.0,12.1481,-0.3265,40.036,-3.8404000000000003,8.5383,-0.1346,0.0,0.0,13.327499999999999,-0.8998999999999999,149.80710000000005,-0.259,416.5416,-2.2354000000000003,414.3062
CCGT,2024-09-09,30.297099999999997,0.0,16.75,0.0,7.095,-0.025,28.9322,-1.2497,5.203399999999999,-0.079,0.0,0.0,9.918099999999999,-0.8301000000000001,178.32579999999996,-0.49489999999999995,276.5216,-1.0,275.5216
CCGT,2024-09-16,143.73250000000004,0.0,33.76610000000002,0.0,21.5362,-0.0895,26.1952,-3.1738999999999997,9.1378,-0.656,0.0,0.0,14.735,-2.3086,122.82849999999993,0.0,371.9313,-0.3739,371.55740000000003
CCGT,2024-09-23,31.012999999999998,0.0,6.3629999999999995,0.0,4.5501000000000005,-0.04,36.9296,-3.9762999999999997,6.5415,-0.0028,0.0,0.0,8.117600000000001,-1.8413000000000002,116.07580000000002,0.0,209.5906,-0.153,209.4376
CCGT,2024-09-30,45.64690000000001,0.0,14.673,0.0,7.520500000000001,-0.1038,54.6479,-3.2507000000000006,6.2006000000000006,-1.1137000000000001,0.0,0.0,14.3076,-2.0635999999999997,139.32829999999998,-0.0605,282.3248,-0.6589,281.66589999999997
CCGT,2024-10-07,49.371300000000005,0.0,2.0080000000000067,0.0,4.665300000000001,-0.1071,43.1118,-1.3365,5.7595,-0.3767,0.0,0.0,11.2432,-1.0145,149.2478,0.0,265.4069,-0.2,265.2069
CCGT,2024-10-14,17.753000000000004,0.0,5.3199999999999985,0.0,2.6882999999999995,-0.047200000000000006,45.55939999999999,-0.35819999999999996,9.971799999999998,-0.2104,0.0,0.0,19.518500000000003,-3.1306,175.40370000000001,-0.09129999999999999,276.2147,-0.41759999999999997,275.7971
CCGT,2024-10-21,27.1985,0.0,2.3099999999999987,0.0,7.2193000000000005,-0.0643,58.21069999999999,-1.016,5.3696,-0.0438,0.0,0.0,19.661799999999996,-4.6154,205.41930000000002,0.0,325.3892,-0.2815,325.1077
CCGT,2024-10-28,14.150300000000001,0.0,0.0,0.0,13.212,-0.288,58.55350000000001,-0.6040000000000001,8.037700000000001,-0.2908,0.0,0.0,18.4233,-3.3483000000000005,257.45590000000004,0.0,369.83270000000005,0.0,369.83270000000005
CCGT,2024-11-04,223.856,0.0,29.551400000000015,0.0,22.187000000000005,-0.42310000000000003,82.81029999999996,-4.133,13.633899999999999,-0.634,0.0,0.0,35.0537,-6.363600000000001,210.5747,0.0,617.667,-0.65,617.017
CCGT,2024-11-11,72.41729999999998,0.0,21.027000000000008,0.0,27.541,-0.0756,82.86209999999996,-3.8764,8.4375,-0.3577,0.0,0.0,26.6915,-2.9675,286.41530000000006,0.0,525.3917,0.0,525.3917
CCGT,2024-11-18,163.85890000000003,0.0,27.605000000000004,0.0,45.17759999999999,-0.44939999999999997,71.09629999999999,-2.2619,4.5385,-0.0656,0.0,0.0,19.107599999999998,-1.2012,244.1438,0.0,575.5277,-0.29910000000000003,575.2286
CCGT,2024-11-25,360.19659999999993,0.0,40.21599999999999,0.0,44.761199999999995,-4.2309,88.32949999999997,-19.298000000000002,10.8397,-2.0777,0.0,0.0,35.1803,-9.0273,151.69940000000014,0.0,731.2227,-2.5545,728.6682000000001
CCGT,2024-12-02,349.6092999999999,0.0,37.437999999999924,0.0,23.573199999999996,-1.1490999999999998,83.76989999999996,-11.800199999999998,13.913399999999998,-0.4954,0.0,0.0,21.961399999999998,-3.1978000000000004,199.38260000000025,0.0,729.6478,-1.4786,728.1692
CCGT,2024-12-09,879.6149999999998,0.0,133.2496999999999,0.0,17.176,-6.4617,83.76989999999998,-34.507799999999996,5.605,-1.7609000000000001,0.0,0.0,24.247000000000007,-26.540800000000004,109.15420000000015,0.0,1230.1917,-2.4028,1227.7889
CCGT,2024-12-16,194.6986,0.0,32.611,0.0,41.973200000000006,-0.7962,67.79019999999997,-7.958,9.6029,-0.3658,0.0,0.0,14.601399999999998,-3.8507000000000002,230.25220000000007,0.0,591.5295000000001,-1.0739,590.4556000000001
