firm,tech,hour_class,regime,gwh,gwh_sa
GN,Other,Flat,DA15_ID15,0.044878125000000005,
GN,Other,Flat,ISP15win,0.1441142857142857,
GN,Other,Flat,MTU15IDA_post,0.016755,
GN,Other,Flat,MTU15IDA_pre,0.0037999999999999996,
GN,Other,Flat,preIDA,0.010666666666666666,
GN,Other,Midday,3sess,0.017705607476635514,
GN,Other,Midday,DA15_ID15,0.016105867346938776,
GN,Other,Midday,ISP15win,0.0183859375,
GN,Other,Midday,MTU15IDA_post,0.016726953125,
GN,Other,Midday,MTU15IDA_pre,0.016179285714285712,
GN,Other,Midday,preIDA,0.016034011090573015,
GN,Solar_PV,Critical,3sess,0.009403846153846155,
GN,Solar_PV,Critical,DA15_ID15,0.0029059734513274334,
GN,Solar_PV,Critical,ISP15win,0.002678021978021978,
GN,Solar_PV,Critical,MTU15IDA_post,0.009596895424836603,
GN,Solar_PV,Critical,MTU15IDA_pre,0.011407894736842103,
GN,Solar_PV,Critical,preIDA,0.0074390697674418605,
GN,Solar_PV,Midday,3sess,0.011602238805970149,
GN,Solar_PV,Midday,DA15_ID15,0.008197029702970298,
GN,Solar_PV,Midday,ISP15win,0.009158333333333333,
GN,Solar_PV,Midday,MTU15IDA_post,0.008137050359712229,
GN,Solar_PV,Midday,MTU15IDA_pre,0.03036969696969697,
GN,Solar_PV,Midday,preIDA,0.009868942731277534,
GN,Wind,Critical,3sess,0.058234545454545456,
GN,Wind,Critical,DA15_ID15,0.07370360169491526,
GN,Wind,Critical,ISP15win,0.07226442307692307,
GN,Wind,Critical,MTU15IDA_post,0.05359629032258065,
GN,Wind,Critical,MTU15IDA_pre,0.05118243243243244,
GN,Wind,Critical,preIDA,0.055240519187358915,
GN,Wind,Flat,3sess,0.013618,
GN,Wind,Flat,DA15_ID15,0.01541804347826087,
GN,Wind,Flat,ISP15win,0.01255111111111111,
GN,Wind,Flat,MTU15IDA_post,0.011429530201342282,
