tech,q1_gwh,qfinal_gwh,ym
Hybrid_RES,15.753299999999996,31.358700000000013,2024-08-01
Hybrid_RES_storage,5.313899999999999,24.837899999999987,2024-08-01
Hydro,303.0077999999989,2235.965700000002,2024-08-01
Hydro_RES,4.822499999999997,62.0155,2024-08-01
Hydro_pump,238.8094000000002,271.7950000000001,2024-08-01
Nuclear,1996.6923999999942,5093.121399999996,2024-08-01
Other,0.0,59.109600000000015,2024-08-01
Pump_load,0.0,-813.8921000000003,2024-08-01
Retailer,0.0,-14612.703300000034,2024-08-01
Solar PV,37.47070000000007,564.9507000000002,2024-08-01
Wind,379.1708000000002,1019.6058000000002,2024-08-01
CCGT,310.1378,1215.1860000000001,2024-09-01
Coal,1.2,43.4525,2024-09-01
Cogen,35.37750000000004,114.05510000000002,2024-09-01
Direct_consumer,0.0,-8.108500000000001,2024-09-01
Generic,0.0,-4.462799999999995,2024-09-01
Hybrid_RES,20.027900000000006,27.461799999999997,2024-09-01
Hybrid_RES_storage,12.836000000000004,23.32409999999999,2024-09-01
Hydro,343.1327,2144.9051000000054,2024-09-01
Hydro_RES,3.4964,59.04169999999997,2024-09-01
Hydro_pump,188.75500000000022,253.05530000000016,2024-09-01
Nuclear,2106.5645999999992,4982.2859,2024-09-01
Other,0.0,47.39139999999999,2024-09-01
Pump_load,0.0,-968.5971999999997,2024-09-01
Retailer,0.0,-13222.16950000001,2024-09-01
Solar PV,98.73229999999995,396.1725999999999,2024-09-01
Storage_buy,0.0,-0.0057,2024-09-01
Wind,655.1554000000001,1286.9349999999993,2024-09-01
CCGT,112.2909,1121.2095000000006,2024-10-01
Coal,5.643,27.125600000000002,2024-10-01
Cogen,37.05360000000006,87.81269999999992,2024-10-01
Direct_consumer,0.0,-6.021,2024-10-01
Generic,0.0,-0.6729999999999523,2024-10-01
Hybrid_RES,37.3978,42.468300000000006,2024-10-01
Hybrid_RES_storage,12.176499999999997,22.632099999999983,2024-10-01
Hydro,495.9565999999988,3386.0010000000075,2024-10-01
Hydro_RES,2.5203999999999978,54.31960000000005,2024-10-01
Hydro_pump,184.4775000000003,223.2168000000002,2024-10-01
Nuclear,2114.740700000001,4612.9374,2024-10-01
Other,0.0,37.722899999999996,2024-10-01
Pump_load,0.0,-760.7517000000004,2024-10-01
Retailer,0.0,-13504.847199999991,2024-10-01
Solar PV,82.35969999999996,323.2196000000002,2024-10-01
Wind,1008.1222000000005,1771.5346999999995,2024-10-01
CCGT,637.3230000000002,2152.1005999999998,2024-11-01
Coal,25.117800000000003,51.0705,2024-11-01
Cogen,30.253199999999985,132.72890000000027,2024-11-01
Direct_consumer,0.0,-7.973399999999998,2024-11-01
Generic,0.0,-2.9753000000000456,2024-11-01
Hybrid_RES,31.356999999999992,38.0364,2024-11-01
Hybrid_RES_storage,7.589799999999998,21.610699999999998,2024-11-01
Hydro,508.60110000000043,3257.5953,2024-11-01
Hydro_RES,1.412700000000001,51.646800000000134,2024-11-01
Hydro_pump,181.8442000000002,193.28160000000014,2024-11-01
Nuclear,932.7409999999988,3648.856999999999,2024-11-01
Other,0.0,31.241300000000003,2024-11-01
Pump_load,0.0,-625.0156999999999,2024-11-01
Retailer,0.0,-13157.265499999992,2024-11-01
Solar PV,37.391600000000054,283.2122999999998,2024-11-01
Storage_buy,0.0,-0.01,2024-11-01
Wind,666.2150999999999,1444.1811999999998,2024-11-01
CCGT,1443.696600000002,2960.0596999999984,2024-12-01
Coal,53.9541,50.781800000000004,2024-12-01
Cogen,30.456499999999924,126.81560000000027,2024-12-01
