parent,tech_group,ym,hc,q1_mean_mwh,n_cells,share_cleared
HC,Hybrid_RES,2025-04-01,flat,13.806666666666668,180,0.6388888888888888
Moeve,Hydro_RES,2025-04-01,critical,10.625044563279863,1122,0.2994652406417112
GN,Retailer,2025-04-01,critical,-71.07030303030304,330,0.0
IB,Retailer,2025-04-01,critical,-687.3701461377871,479,0.0
Engie,Retailer,2025-04-01,critical,-46.26748844375962,649,0.0
Moeve,Retailer,2025-04-01,flat,-47.33833333333333,180,0.0
GE,Nuclear,2025-04-01,flat,856.3740259740262,154,1.0
GE,Retailer,2025-04-01,critical,-1582.4589898989898,990,0.0
GN,Cogen,2025-04-01,critical,21.751141552511417,438,0.997716894977169
Moeve,Direct_consumer,2025-04-01,flat,-19.014166666666664,720,0.0
GN,Generic,2025-04-01,flat,-905.6177777777779,90,0.0
IB,Direct_consumer,2025-04-01,critical,-14.404242424242423,330,0.0
HC,Hydro,2025-04-01,critical,15.730379746835444,237,0.3628691983122363
Engie,Cogen,2025-05-01,critical,9.948777895855454,941,0.7375132837407014
IB,Wind,2025-05-01,critical,96.54364851957973,1047,0.664756446991404
TotalEnergies,Wind,2025-05-01,critical,9.447315436241608,298,0.6543624161073825
IB,Pump_load,2025-05-01,critical,-531.7992021276596,376,0.0
Engie,Solar PV,2025-05-01,critical,4.056068878622423,2381,0.21671566568668627
GE,Hydro,2025-05-01,critical,207.6945509207065,2661,0.8684704998121007
IB,Retailer,2025-05-01,critical,-579.8335849056606,530,0.0
Moeve,Hydro_RES,2025-05-01,flat,8.162951807228914,332,0.4066265060240964
TotalEnergies,Retailer,2025-05-01,flat,-176.43297491039428,279,0.0
GN,Wind,2025-05-01,flat,21.285752688172042,372,0.8252688172043011
Repsol,Direct_consumer,2025-05-01,flat,-157.38494623655913,186,0.0
Engie,Hydro_RES,2025-05-01,critical,47.558944281524916,341,1.0
IB,Hybrid_RES_storage,2025-05-01,critical,5.962121212121213,264,0.39015151515151514
GE,Nuclear,2025-05-01,critical,899.2689427312778,454,1.0
Repsol,Cogen,2025-05-01,flat,41.38121212121211,495,0.896969696969697
Moeve,Biomass,2025-05-01,flat,1.5582608695652178,345,0.0
TotalEnergies,Solar PV,2025-05-01,critical,4.744827586206895,1508,0.28183023872679047
HC,Hydro_RES,2025-05-01,flat,1.4419354838709677,93,0.0
Moeve,Retailer,2025-05-01,flat,-55.22150537634408,186,0.0
GE,Solar PV,2025-05-01,critical,0.11481481481481487,108,0.0
HC,Hybrid_RES,2025-05-01,flat,10.150537634408602,186,0.6344086021505376
GN,Cogen,2025-05-01,critical,18.563306451612895,496,0.9899193548387096
IB,Direct_consumer,2025-05-01,critical,-16.804105571847508,341,0.0
GE,Retailer,2025-05-01,flat,-1553.0544802867382,279,0.0
Moeve,Direct_consumer,2025-06-01,flat,-16.769027777777776,720,0.0
HC,Hydro,2025-06-01,critical,38.92595155709341,289,0.8339100346020761
IB,Nuclear,2025-06-01,flat,171.9734848484849,264,1.0
Engie,Generic,2025-06-01,critical,-84.36181818181818,330,0.0696969696969697
IB,Retailer,2025-06-01,critical,-636.5297906602254,621,0.0
GN,Solar PV,2025-06-01,critical,0.5031496062992128,254,0.003937007874015748
HC,Wind,2025-06-01,critical,88.40264385692065,1286,0.7223950233281493
Engie,Hydro_RES,2025-06-01,critical,25.553333333333335,330,1.0
GN,Retailer,2025-06-01,flat,-74.60090090090091,111,0.0
IB,Hydro,2025-06-01,critical,495.4923076923077,611,0.9950900163666121
Repsol,Direct_consumer,2025-06-01,critical,-162.54833333333335,660,0.0
TotalEnergies,Retailer,2025-06-01,critical,-275.0340404040404,990,0.0
GN,Cogen,2025-07-01,flat,15.855913978494625,186,1.0
IB,Nuclear,2025-07-01,critical,118.90274621212122,1056,0.9981060606060606
Moeve,Solar PV,2025-07-01,critical,0.6942115768463075,501,0.0
IB,Hybrid_RES_storage,2025-07-01,critical,4.010402684563758,298,0.20469798657718122
HC,Solar PV,2025-07-01,critical,33.815000000000005,240,0.775
Moeve,Retailer,2025-07-01,flat,-91.64408602150537,186,0.0
Repsol,Retailer,2025-07-01,critical,-248.20909090909095,341,0.0
TotalEnergies,Solar PV,2025-07-01,critical,8.465421558164353,1874,0.4103521878335112
IB,Direct_consumer,2025-07-01,flat,-16.358064516129033,93,0.0
GN,CCGT,2025-07-01,flat,360.62139303482576,201,1.0
TotalEnergies,Retailer,2025-07-01,flat,-227.01182795698926,279,0.0
IB,Wind,2025-07-01,critical,61.84412650602408,1328,0.6197289156626506
HC,Hydro_RES,2025-07-01,critical,1.3154970760233933,342,0.0
GE,Retailer,2025-07-01,flat,-1220.4236559139783,279,0.0
GE,CCGT,2025-07-01,critical,347.03015873015875,315,1.0
IB,Solar PV,2025-07-01,critical,28.806407942238295,1108,0.5622743682310469
Moeve,Direct_consumer,2025-08-01,critical,-17.080467012601986,2698,0.0
Engie,Solar PV,2025-08-01,critical,6.065336557839575,2481,0.3430068520757759
GN,Generic,2025-08-01,critical,-1487.8293255131969,341,0.0
GE,Hydro_pump,2025-08-01,flat,95.60898437499999,256,0.99609375
GE,Retailer,2025-08-01,critical,-1606.649462365591,1023,0.0
IB,Pump_load,2025-08-01,critical,-604.2400862068964,232,0.0
IB,Nuclear,2025-08-01,flat,110.47601351351352,296,0.9864864864864865
Engie,Hydro_RES,2025-08-01,flat,5.709677419354839,93,0.6129032258064516
HC,Direct_consumer,2025-08-01,critical,-4.198795180722891,415,0.0
GN,Solar PV,2025-08-01,critical,0.24438202247191004,178,0.0
IB,CCGT,2025-08-01,flat,209.72857142857143,63,1.0
GE,Hydro,2025-08-01,critical,77.46591695501732,1734,0.9111880046136102
HC,Hydro,2025-08-01,critical,22.047619047619058,315,0.5047619047619047
GN,CCGT,2025-08-01,critical,290.8773869346734,199,0.9396984924623115
Repsol,Direct_consumer,2025-08-01,critical,-155.00058651026387,682,0.0
IB,Wind,2025-08-01,critical,30.945014662756602,1364,0.5139296187683284
GN,Cogen,2025-08-01,critical,20.90287081339713,627,1.0
Engie,Generic,2025-08-01,critical,-104.10733137829914,341,0.04985337243401759
TotalEnergies,Wind,2025-08-01,critical,19.018827160493824,324,0.808641975308642
TotalEnergies,Retailer,2025-09-01,flat,-201.50111111111107,270,0.0
Moeve,Cogen,2025-09-01,critical,5.016378960194969,9848,0.3832250203086921
Engie,Wind,2025-09-01,critical,8.533388187968537,10938,0.5168220881331139
Engie,Solar PV,2025-09-01,critical,5.30402010050251,1990,0.28492462311557787
GE,Hydro,2025-09-01,critical,68.48792270531398,1863,0.7181964573268921
IB,Nuclear,2025-09-01,critical,281.50420860018295,1093,0.9990850869167429
Engie,Cogen,2025-09-01,critical,10.142274678111571,932,0.7145922746781116
Engie,Hydro,2025-09-01,critical,0.7999999999999988,313,0.0
Engie,Hydro_RES,2025-09-01,flat,7.413333333333332,90,1.0
Moeve,Biomass,2025-09-01,critical,1.3623538581449728,1283,0.0
GN,Wind,2025-09-01,critical,19.84147909967846,1244,0.7660771704180064
GN,Hydro,2025-09-01,critical,117.01910112359552,89,0.9662921348314607
Engie,Generic,2025-09-01,critical,-114.32454545454544,330,0.024242424242424242
Moeve,Solar PV,2025-09-01,critical,0.5922413793103452,348,0.0
TotalEnergies,Wind,2025-09-01,flat,20.29876543209876,81,0.9382716049382716
GN,Hydro_RES,2025-09-01,critical,13.43061224489796,98,1.0
IB,Pump_load,2025-09-01,critical,-455.93496503496505,286,0.0
Engie,Hydro,2025-10-01,critical,0.7946428571428558,336,0.0
Engie,Wind,2025-10-01,critical,9.011587622654492,11618,0.48665863315544844
HC,Retailer,2025-10-01,critical,-1021.817008797654,341,0.0
GE,Hydro,2025-10-01,flat,102.52624999999999,280,0.8892857142857142
GE,Retailer,2025-10-01,critical,-1528.1945259042038,1023,0.0
HC,Wind,2025-10-01,critical,124.96232980332826,1322,0.8547655068078669
TotalEnergies,Retailer,2025-10-01,critical,-255.05923753665692,1023,0.0
Engie,Retailer,2025-10-01,critical,-31.911290322580655,682,0.0
TotalEnergies,CCGT,2025-10-01,critical,387.86820175438595,228,1.0
IB,Hydro,2025-10-01,critical,203.21755027422302,547,0.943327239488117
GE,CCGT,2025-10-01,critical,342.2391975308642,324,1.0
GN,Retailer,2025-10-01,critical,-58.66022408963587,357,0.0
HC,Direct_consumer,2025-10-01,flat,-3.2777243589743588,156,0.0
GN,Cogen,2025-10-01,flat,20.08050847457627,177,0.9887005649717514
Moeve,Biomass,2025-10-01,flat,1.586376404494382,356,0.0
Moeve,Direct_consumer,2025-11-01,flat,-18.958333333333332,720,0.0
Engie,Wind,2025-11-01,critical,13.448642654364775,11272,0.6716643009226402
GE,Hydro,2025-11-01,critical,113.55686644643703,2119,0.9226050023596036
Moeve,Solar PV,2025-11-01,critical,0.19600515463917523,194,0.0
Engie,Solar PV,2025-11-01,critical,1.9589976780185756,1292,0.0936532507739938
GE,Hydro_pump,2025-11-01,critical,101.1942715231788,755,0.9933774834437086
Engie,Generic,2025-11-01,flat,-147.96777777777777,90,0.0
Repsol,Direct_consumer,2025-11-01,critical,-170.38511363636363,660,0.0
GN,Hydro_RES,2025-11-01,critical,6.310221674876848,203,0.5665024630541872
IB,Hybrid_RES_storage,2025-11-01,critical,2.7667883211678834,274,0.14233576642335766
Engie,Hydro,2025-11-01,critical,0.7987878787878776,330,0.0
GE,Nuclear,2025-11-01,flat,917.4377976190477,168,1.0
Repsol,Cogen,2025-11-01,flat,36.82551020408164,588,0.8112244897959183
IB,Nuclear,2025-11-01,flat,358.5624074074074,270,0.9962962962962963
Moeve,Biomass,2025-11-01,critical,1.4897241647241648,1287,0.006993006993006993
GN,Hydro,2025-11-01,critical,62.372169811320745,106,0.8679245283018868
Engie,Cogen,2025-12-01,critical,11.269678953626636,841,0.8620689655172413
IB,Nuclear,2025-12-01,critical,348.35959856915747,1258,0.994435612082671
IB,Solar PV,2025-12-01,critical,3.328994082840235,507,0.1834319526627219
IB,Wind,2025-12-01,critical,31.85343137254902,1581,0.6097406704617331
Moeve,Biomass,2025-12-01,flat,1.6111111111111114,351,0.0
GN,Pump_load,2025-12-01,critical,-75.32326388888889,72,0.0
IB,Direct_consumer,2025-12-01,critical,-15.272140762463346,341,0.0
Engie,Retailer,2025-12-01,critical,-27.221401515151516,660,0.0
Repsol,Cogen,2025-12-01,flat,40.0684126984127,630,0.7714285714285715
Moeve,Direct_consumer,2025-12-01,critical,-17.727217741935537,2728,0.0
IB,Hydro,2025-12-01,critical,95.96480891719743,471,0.8683651804670913
HC,Direct_consumer,2025-12-01,critical,-3.4440789473684212,418,0.0
GN,Generic,2025-12-01,critical,-1479.832697947214,341,0.0
IB,Pump_load,2025-12-01,critical,-348.3284161490683,161,0.0
GN,Hydro,2025-12-01,flat,44.11071428571428,7,0.8571428571428571
Engie,Wind,2026-01-01,flat,12.031794425087108,861,0.5760743321718932
IB,Hybrid_RES_storage,2026-01-01,flat,0.7583333333333334,9,0.0
Moeve,Direct_consumer,2026-01-01,critical,-16.858096590909085,704,0.0
