tech,pdbc_gwh,pdbf_gwh,phf_gwh,ym,gap_vs_pdbc,gap_vs_pdbf
Direct_consumer,0.0,-13.494299999999992,-7.9734,2024-11-01,-7.9734,5.520899999999992
Generic,0.0,3.871042375536149e-15,-2.9752999999999665,2024-11-01,-2.9752999999999665,-2.9752999999999705
Hybrid_RES,31.356999999999992,40.130200000000016,38.03640000000001,2024-11-01,6.679400000000015,-2.0938000000000088
Hybrid_RES_storage,7.589799999999998,21.647300000000005,21.610699999999998,2024-11-01,14.020900000000001,-0.03660000000000707
Hydro,508.60110000000043,3407.9453999999864,3257.5952999999986,2024-11-01,2748.9941999999983,-150.35009999998783
Hydro_RES,1.412700000000001,52.676400000000186,51.646800000000134,2024-11-01,50.23410000000013,-1.0296000000000518
Hydro_pump,181.8442000000002,182.2442000000002,193.28160000000014,2024-11-01,11.43739999999994,11.037399999999934
Nuclear,932.7409999999988,3668.646600000009,3648.8569999999986,2024-11-01,2716.116,-19.789600000010523
Other,0.0,31.889400000000013,31.24130000000001,2024-11-01,31.24130000000001,-0.648100000000003
Pump_load,0.0,-414.5684999999999,-625.0156999999999,2024-11-01,-625.0156999999999,-210.4472
Retailer,0.0,-13252.391999999963,-13157.265499999998,2024-11-01,-13157.265499999998,95.12649999996574
Solar PV,37.391600000000054,286.9162999999996,283.2122999999998,2024-11-01,245.82069999999976,-3.7039999999997804
Storage_buy,0.0,0.0,-0.01,2024-11-01,-0.01,-0.01
Wind,666.2150999999999,1514.3697000000016,1444.1812000000007,2024-11-01,777.9661000000008,-70.18850000000089
CCGT,1443.696600000002,1707.2777000000006,2960.059699999998,2024-12-01,1516.363099999996,1252.7819999999974
Coal,53.9541,53.9541,50.781800000000004,2024-12-01,-3.172299999999993,-3.172299999999993
Cogen,30.456499999999927,126.73380000000024,126.81560000000027,2024-12-01,96.35910000000035,0.08180000000002963
Direct_consumer,0.0,-14.833400000000006,-6.7963999999999976,2024-12-01,-6.7963999999999976,8.03700000000001
Generic,0.0,3.4106051316484808e-15,-6.956299999999959,2024-12-01,-6.956299999999959,-6.956299999999962
Hybrid_RES,30.43209999999999,39.02829999999999,37.29460000000004,2024-12-01,6.862500000000047,-1.7336999999999492
Hybrid_RES_storage,5.403800000000001,23.256800000000005,23.447100000000006,2024-12-01,18.043300000000006,0.19030000000000058
Hydro,1016.0361000000045,2836.0453000000102,2724.9321000000027,2024-12-01,1708.8959999999984,-111.11320000000751
Hydro_RES,2.3364,62.97799999999973,62.48009999999995,2024-12-01,60.14369999999995,-0.4978999999997811
Hydro_pump,195.40690000000026,199.2069000000003,221.82890000000035,2024-12-01,26.422000000000082,22.622000000000043
Nuclear,1253.4624999999996,4260.416200000013,4241.613199999991,2024-12-01,2988.150699999991,-18.80300000002262
Other,0.0,31.21140000000001,30.332800000000002,2024-12-01,30.332800000000002,-0.8786000000000058
Pump_load,0.0,-569.797,-787.3493999999997,2024-12-01,-787.3493999999997,-217.5523999999997
Retailer,0.0,-14495.232400000017,-14374.974400000001,2024-12-01,-14374.974400000001,120.25800000001618
Solar PV,56.50110000000016,286.2592999999996,280.8490999999996,2024-12-01,224.34799999999947,-5.410199999999975
Wind,731.9222000000005,1475.3113999999994,1419.562299999999,2024-12-01,687.6400999999984,-55.74910000000045
CCGT,416.3920999999999,553.7044000000003,1704.0031999999999,2025-01-01,1287.6111,1150.2987999999996
Coal,55.48160000000001,55.4816,42.371300000000005,2025-01-01,-13.110300000000002,-13.110299999999995
Cogen,40.496200000000066,120.27629999999962,121.81530000000002,2025-01-01,81.31909999999996,1.5390000000003994
Direct_consumer,0.0,-12.286599999999991,-6.647600000000002,2025-01-01,-6.647600000000002,5.638999999999989
Generic,0.0,2.3362700662943326e-15,4.35100000000006,2025-01-01,4.35100000000006,4.351000000000058
Hybrid_RES,50.73370000000001,55.989899999999984,53.48920000000002,2025-01-01,2.755500000000005,-2.5006999999999664
Hybrid_RES_storage,14.784400000000002,25.8638,25.871800000000007,2025-01-01,11.087400000000006,0.008000000000006224
Hydro,452.7999000000005,3912.497099999967,3853.5830000000046,2025-01-01,3400.783100000004,-58.91409999996222
Hydro_RES,2.5897,64.40010000000017,66.6169999999999,2025-01-01,64.02729999999991,2.2168999999997396
Hydro_pump,217.5460000000002,244.50200000000012,292.90070000000003,2025-01-01,75.35469999999984,48.398699999999906
Nuclear,2217.5236999999947,5265.678299999977,5217.158699999991,2025-01-01,2999.634999999996,-48.519599999985985
Other,0.0,28.721299999999996,27.822500000000005,2025-01-01,27.822500000000005,-0.8987999999999907
Pump_load,0.0,-695.4966999999999,-869.6020999999997,2025-01-01,-869.6020999999997,-174.1053999999998
Retailer,0.0,-15363.899599999993,-15296.209000000004,2025-01-01,-15296.209000000004,67.69059999998899
Solar PV,75.37439999999997,268.8246,265.27229999999946,2025-01-01,189.89789999999948,-3.552300000000514
Wind,1353.4783999999997,2348.116200000003,2279.5307999999995,2025-01-01,926.0523999999998,-68.58540000000357
CCGT,246.17030000000003,299.1712999999999,1259.2501000000007,2025-02-01,1013.0798000000007,960.0788000000007
Coal,14.4903,14.4903,20.621,2025-02-01,6.130699999999999,6.130699999999999
Cogen,75.04889999999999,104.34649999999996,110.4343000000001,2025-02-01,35.38540000000012,6.0878000000001435
Direct_consumer,0.0,-14.048700000000004,-7.926800000000002,2025-02-01,-7.926800000000002,6.121900000000002
Generic,0.0,1.7053025658242405e-16,-8.533199999999972,2025-02-01,-8.533199999999972,-8.533199999999972
Hybrid_RES,31.095200000000023,31.455100000000026,30.053700000000003,2025-02-01,-1.0415000000000205,-1.4014000000000237
Hybrid_RES_storage,18.351100000000006,23.363200000000013,23.52960000000001,2025-02-01,5.178500000000003,0.16639999999999588
Hydro,896.3431000000043,5566.748899999994,5352.744799999993,2025-02-01,4456.4016999999885,-214.00410000000102
Hydro_RES,8.431700000000012,70.09359999999995,71.10529999999979,2025-02-01,62.67359999999977,1.0116999999998342
Hydro_pump,256.6312,256.63120000000004,273.18369999999993,2025-02-01,16.552499999999952,16.552499999999895
Nuclear,1680.100799999998,4740.881900000061,4737.281099999986,2025-02-01,3057.1802999999877,-3.600800000075651
Other,0.0,32.94730000000001,33.0152,2025-02-01,33.0152,0.06789999999998741
Pump_load,0.0,-327.6044,-524.9926999999999,2025-02-01,-524.9926999999999,-197.3882999999999
Retailer,0.0,-13577.41390000004,-13438.889399999995,2025-02-01,-13438.889399999995,138.524500000045
Solar PV,148.45579999999973,346.1621999999997,348.6873999999999,2025-02-01,200.23160000000018,2.5252000000002113
Wind,956.5058999999999,1164.3130999999994,1140.5123000000006,2025-02-01,184.00640000000067,-23.800799999998844
CCGT,14.4172,27.598200000000002,974.8181000000008,2025-03-01,960.4009000000008,947.2199000000007
Coal,1.932,1.932,47.5418,2025-03-01,45.6098,45.6098
Cogen,54.63529999999995,97.65040000000023,94.0571,2025-03-01,39.421800000000054,-3.5933000000002266
Direct_consumer,0.0,-11.630700000000006,-8.52472500000001,2025-03-01,-8.52472500000001,3.1059749999999955
Generic,0.0,1.3571366253017914e-15,-0.09499999999998544,2025-03-01,-0.09499999999998544,-0.0949999999999868
Hybrid_RES,52.34709999999999,53.38299999999999,53.16954999999997,2025-03-01,0.8224499999999821,-0.2134500000000159
Hybrid_RES_storage,16.0288,22.338099999999983,21.122299999999996,2025-03-01,5.093499999999995,-1.2157999999999873
Hydro,1079.3871999999992,5637.778499999839,5328.271524999975,2025-03-01,4248.884324999975,-309.5069749998647
Hydro_RES,3.9902000000000033,70.2368000000001,69.75815000000001,2025-03-01,65.76795000000001,-0.47865000000008706
Hydro_pump,184.26219999999998,213.27050000000017,242.03682500000002,2025-03-01,57.77462500000004,28.766324999999853
Nuclear,2076.938100000005,4510.6563999999635,4859.241199999998,2025-03-01,2782.303099999993,348.5848000000342
Other,0.0,39.05629999999997,37.84739999999998,2025-03-01,37.84739999999998,-1.2088999999999928
Pump_load,0.0,-866.352700000003,-1039.7593750000017,2025-03-01,-1039.7593750000017,-173.4066749999987
Retailer,0.0,-14492.650199999862,-14481.072699999982,2025-03-01,-14481.072699999982,11.577499999879365
Solar PV,120.74699999999983,363.2444999999996,359.03427500000043,2025-03-01,238.2872750000006,-4.210224999999184
Wind,1456.3582000000017,1931.089199999981,1933.6080499999996,2025-03-01,477.2498499999979,2.518850000018574
CCGT,17.569,17.568999999999996,1234.9745499999979,2025-04-01,1217.405549999998,1217.405549999998
Coal,0.0,2.988,117.33582500000001,2025-04-01,117.33582500000001,114.34782500000001
Cogen,26.383200000000006,98.38979999999987,94.44852499999962,2025-04-01,68.06532499999962,-3.941275000000246
Direct_consumer,0.0,-14.48830000000001,-14.037074999999968,2025-04-01,-14.037074999999968,0.45122500000004173
Generic,0.0,-2.005860755271982e-15,-1.0868499999999677,2025-04-01,-1.0868499999999677,-1.0868499999999657
Hybrid_RES,29.496900000000007,30.434199999999972,34.100500000000025,2025-04-01,4.603600000000018,3.666300000000053
Hybrid_RES_storage,5.449300000000001,25.731300000000026,25.402799999999978,2025-04-01,19.953499999999977,-0.328500000000048
Hydro,1134.4974000000007,5233.30209999989,5007.848575000006,2025-04-01,3873.3511750000057,-225.45352499988348
Hydro_RES,1.2826999999999966,61.574699999998934,61.49107499999942,2025-04-01,60.20837499999942,-0.08362499999951467
Hydro_pump,266.65740000000017,327.40310000000056,328.8387250000004,2025-04-01,62.18132500000024,1.4356249999998454
Nuclear,1877.1487000000038,2514.688600000021,3045.8701000000196,2025-04-01,1168.7214000000158,531.1814999999988
Other,0.0,35.34419999999997,38.352499999999985,2025-04-01,38.352499999999985,3.0083000000000126
Pump_load,0.0,-1003.3277000000082,-1330.8058499999977,2025-04-01,-1330.8058499999977,-327.47814999998945
Retailer,0.0,-12558.300000000343,-11158.848349999982,2025-04-01,-11158.848349999982,1399.451650000361
