tech,unit,firm,n,PC1,PC2,PC3,PC4,PC5
Hydro,MONDEGO,HC,10108,0.813210129737854,0.08902137726545334,0.028959961608052254,0.01663840375840664,0.010312641970813274
Hydro,SBEU,GE,1852,0.6935033798217773,0.1536875218153,0.06413602083921432,0.021059120073914528,0.016031930223107338
Hydro,SIL,IB,10452,0.8907899856567383,0.06403689831495285,0.017935726791620255,0.008382266387343407,0.0038554302882403135
Hydro,TAJO,IB,6954,0.9494532346725464,0.022887179628014565,0.010899269953370094,0.005723718088120222,0.0021090952213853598
Hydro,TAMEGA,IB,12171,0.9078763127326965,0.049340374767780304,0.0188788753002882,0.0071553438901901245,0.0043829260393977165
Hydro,TEMON,HC,12748,0.8530925512313843,0.07376949489116669,0.025442542508244514,0.014598195441067219,0.006804713513702154
Hydro,UFGC,GN,1470,0.8488824367523193,0.08281128108501434,0.026512833312153816,0.013196411542594433,0.006181629374623299
Hydro,UFMI,GN,5745,0.8514495491981506,0.07409191131591797,0.028541764244437218,0.012141847983002663,0.007433973718434572
Hydro,UFTA,GN,1760,0.9049298763275146,0.05529509857296944,0.01640506647527218,0.006337764672935009,0.003540260950103402
Hydro,VIES,REP,3788,0.7247874736785889,0.11916913837194443,0.050110626965761185,0.02209697663784027,0.018960464745759964
Hydro_pump,AGUG,REP,9995,0.9130387306213379,0.05794977769255638,0.01921072229743004,0.0033150503877550364,0.0018353966297581792
Hydro_pump,MLTG,GE,4524,0.98558109998703,0.012283260002732277,0.0015936539275571704,0.00041894716559909284,5.1803439419018105e-05
Hydro_pump,MUEL,IB,12459,0.9882388710975647,0.005863147787749767,0.002351063536480069,0.0017790546407923102,0.00038727239007130265
Hydro_pump,SLTG,GE,944,0.7869634628295898,0.12311894446611404,0.04430985078215599,0.023422086611390114,0.01280214823782444
Hydro_pump,TJEG,GE,1039,0.9023818373680115,0.08100299537181854,0.008556895889341831,0.005109309684485197,0.0014174411771818995
