tech,unit,firm,reform,hour_class,n_cell,level_shift,tilt_std,beta_PC1,beta_PC2,beta_PC3
CCGT,SBO3,GN,MTU15-IDA,Critical,456,11.402722734435748,3.3448126917496896,112.65574345559583,29.40591562983223,15.948565778103815
CCGT,SBO3,GN,MTU15-DA,Critical,1993,-9.508778406886194,6.817986318038128,-96.90221079023637,52.726219867194445,-35.510520119502786
CCGT,SRI4R,HC,ISP15,Critical,2303,-15.791399019164285,2.4232907616479213,-155.9192470760362,-30.43523188598762,1.3374111084044606
CCGT,SRI4R,HC,ISP15,Flat,406,6.898523215077323,6.15906186395765,71.17310390996204,-56.260985273206714,-12.90544711457392
CCGT,SRI4R,HC,ISP15,Midday,585,-11.898969597245674,5.449929548855754,-116.02540587749316,-57.81601605798641,-2.410254438692056
CCGT,SRI4R,HC,MTU15-IDA,Critical,948,14.849017593353937,3.245635220699648,149.12207702200277,-21.610138568015145,10.600104543043903
CCGT,SRI4R,HC,MTU15-IDA,Midday,231,2.8501072710668793e-15,2.156487097781125e-16,2.842170943040401e-14,-1.1102230246251565e-16,8.881784197001252e-16
CCGT,SRI4R,HC,MTU15-DA,Critical,4146,1.6779335985116124,7.539904076619639,12.886632445328736,68.9466476645843,-30.14591608995576
CCGT,SRI4R,HC,MTU15-DA,Flat,239,1.5775861239395965,4.413023614581811,13.481293371997358,40.62009653990781,-17.462435652259032
CCGT,SRI4R,HC,MTU15-DA,Midday,705,-20.088397418514795,3.877543936952792,-201.58158802745953,24.809632309539833,-12.416967406059156
CCGT,SRI5R,HC,ISP15,Critical,1365,-20.506009399594227,0.8830936623030629,204.01208227509244,6.939601040547713,-5.946699324155003
CCGT,SRI5R,HC,ISP15,Flat,252,-17.172438003388955,1.989342402386697,171.7879512827868,-6.873068740634127,-4.859372184553916
CCGT,SRI5R,HC,ISP15,Midday,354,-15.537008906594393,0.843977518802299,153.91521117606243,15.590814762492224,-0.2894997909379868
CCGT,SRI5R,HC,MTU15-IDA,Critical,979,17.093400512646028,5.2640899292907495,-173.50623956983355,39.386238389843626,-3.306140127100645
CCGT,SRI5R,HC,MTU15-IDA,Midday,230,2.848022620244111e-15,2.5369137015667994e-16,-2.842170943040401e-14,-2.220446049250313e-16,-8.881784197001252e-16
CCGT,SRI5R,HC,MTU15-DA,Critical,4702,-8.469868223860164,4.710144317146595,86.04614426633503,-11.268640099360363,38.0953570343852
CCGT,SRI5R,HC,MTU15-DA,Flat,365,-22.03850185842759,6.836296252090287,223.65954913586953,-51.506594909328044,0.24635782184740196
CCGT,SRI5R,HC,MTU15-DA,Midday,884,-21.092356448531955,4.386962252524239,212.53912263913455,-27.50534839719383,2.2502076175199335
CCGT,SROQ1,GN,ISP15,Critical,863,-13.224171090207053,0.41693053830391963,131.5398533792,-0.3089374118388717,5.1751979801908226
CCGT,SROQ1,GN,MTU15-IDA,Critical,482,8.495443777526534,1.6790440199067866,-84.56465081815325,15.682396107128449,4.499522100169456
CCGT,SROQ1,GN,MTU15-DA,Critical,2072,-0.07311781690055812,6.637141814118861,0.40578229030117197,39.56488377943314,41.33165486507742
CCGT,STC4,IB,ISP15,Critical,1361,-10.47118478199356,1.0890146893605996,-104.20094057712488,-10.307111849177184,2.5875295355871293
CCGT,STC4,IB,ISP15,Midday,232,-11.320888760284449,1.0532904489906223,-112.65508571860435,-9.872379933384991,2.7611691557587634
CCGT,STC4,IB,MTU15-IDA,Critical,687,7.94011170183563,1.8918948305627772,79.0213275617663,18.48842650584251,2.2639434039991144
CCGT,STC4,IB,MTU15-DA,Critical,2059,5.325974594976872,3.152131947664452,52.96204487777036,-31.19520269082766,-2.665185286612563
CCGT,STC4,IB,MTU15-DA,Midday,435,-12.38771901616299,0.7057734994215829,-123.26547158360717,-6.153752339892944,2.9377377937994846
CCGT,TAPOWER,IB,ISP15,Critical,550,-1.7138836724133837e-14,1.4667938264466155e-16,1.7053025658242404e-13,0.0,0.0
