firm_group,tech,regime,sum_profit,sum_abs_dq,sum_dq,n,yield_eur_per_mwh,mean_dq_per_day
IB,CCGT,2.3-sess,522395.75083333335,238089.6,236655.6,167,2.1941141101221278,1417.0994011976047
IB,CCGT,3.ISP15-win,231539.6391666667,119113.5,109524.9,107,1.9438572384042672,1023.5971962616821
IB,CCGT,4.DA60/ID15,214106.30246875001,174362.075,174362.075,178,1.2279407805209361,979.5622191011237
IB,CCGT,5.DA15/ID15,798139.7651666666,214803.775,214803.775,111,3.7156691737222336,1935.1691441441442
IB,Hydro,1.pre-IDA,-4508205.209583333,5043345.0,1905193.0,2329,-0.8938918930954224,818.0304851867754
IB,Hydro,2.3-sess,811505.5091666667,321780.8,258117.4,170,2.521920230065519,1518.3376470588234
IB,Hydro,3.ISP15-win,-22722.188833333577,205574.2,108025.0,108,-0.11053035270638814,1000.2314814814815
IB,Hydro,4.DA60/ID15,-298017.4645104167,306887.6,133653.3,195,-0.9710964682522746,685.4015384615384
IB,Hydro,5.DA15/ID15,-444078.69858333346,197526.8,134845.65,112,-2.2481946681834235,1203.9790178571427
IB,Nuclear,1.pre-IDA,6736342.916433334,3179326.3,665704.7,879,2.1187957072645656,757.3432309442547
IB,Nuclear,2.3-sess,729052.2143333333,238906.7,164882.3,59,3.051618955572754,2794.615254237288
IB,Nuclear,3.ISP15-win,354491.157,86758.5,-46402.9,31,4.085953042065043,-1496.867741935484
IB,Nuclear,4.DA60/ID15,674336.4200416666,277188.125,140952.775,181,2.432775285888119,778.7446132596684
IB,Nuclear,5.DA15/ID15,-3370.8939374999427,85134.35,-31434.4,110,-0.03959499235619867,-285.76727272727277
IB,PumpHydro,1.pre-IDA,2001348.454683333,2924298.9,2421620.9,1677,0.6843857359052227,1444.0196183661299
IB,PumpHydro,2.3-sess,35007.13000000007,172583.2,146869.8,132,0.20284204951582813,1112.6499999999999
IB,PumpHydro,3.ISP15-win,108730.76683333327,111144.9,83963.9,95,0.9782794067324122,883.8305263157894
IB,PumpHydro,4.DA60/ID15,-3788.211385416755,103789.75,65122.049999999996,176,-0.036498896908574836,370.0116477272727
IB,PumpHydro,5.DA15/ID15,-150539.80422916688,81887.25,50342.85,96,-1.838379042270523,524.4046875
