unit,year,nameplate_MW,actual_TWh,cap_TWh,cf_%,planned_outage_TWh,forced_outage_TWh,unaccounted_TWh,unaccounted_pct_of_cap
SROQ2,2024,411.0,1.26,3.61,34.9,0.13,0.0,2.22,61.6
SROQ2,2025,411.0,1.06,3.6,29.5,0.34,0.0,2.2,61.1
SROQ2,2026,411.0,0.0,1.15,0.0,0.0,0.0,1.15,100.0
STC4,2018,395.0,0.0,3.46,0.1,0.33,0.49,2.63,76.0
STC4,2019,395.0,0.11,3.46,3.1,0.23,0.04,3.09,89.2
STC4,2020,395.0,0.03,3.47,1.0,0.45,0.39,2.6,74.8
STC4,2021,395.0,0.75,3.46,21.8,0.64,0.86,1.21,35.1
STC4,2022,395.0,1.05,3.46,30.2,0.29,0.22,1.91,55.2
STC4,2023,395.0,0.19,3.46,5.5,1.91,1.7,-0.34,-9.9
STC4,2024,395.0,0.35,3.47,10.1,0.53,0.0,2.59,74.5
STC4,2025,395.0,0.21,3.46,6.1,0.57,0.0,2.68,77.4
STC4,2026,395.0,0.0,1.11,0.0,0.24,0.02,0.85,76.4
TAPOWER,2018,375.0,0.22,3.28,6.6,0.7,3.38,-1.01,-30.9
TAPOWER,2019,375.0,0.72,3.28,22.0,0.71,0.08,1.77,53.9
TAPOWER,2020,375.0,0.73,3.29,22.2,0.0,0.07,2.49,75.7
TAPOWER,2021,375.0,0.89,3.28,27.1,0.48,0.14,1.77,53.9
TAPOWER,2022,375.0,0.62,3.28,18.9,0.49,0.32,1.85,56.4
TAPOWER,2023,375.0,0.14,3.28,4.2,0.44,0.21,2.5,76.1
TAPOWER,2024,375.0,0.13,3.29,3.9,0.84,0.0,2.32,70.6
TAPOWER,2025,375.0,0.18,3.28,5.3,1.7,0.0,1.41,42.9
TAPOWER,2026,375.0,0.0,1.05,0.0,0.0,0.02,1.04,98.4
