regime,hour_class,tech,share_pct_q_at,share_pct_q_marg,share_pct_cells,n_obs
DA15/ID15 (Oct-Dec 2025),Flat,Hydro_RES,1.008973614893522,0.9521201049252168,9.558823529411764,78
DA15/ID15 (Oct-Dec 2025),Flat,Hydro_pump,12.985469818364143,11.019689007982333,9.191176470588236,75
DA15/ID15 (Oct-Dec 2025),Flat,Import,3.3311926700024386,2.984269688302081,1.1029411764705883,9
DA15/ID15 (Oct-Dec 2025),Flat,Nuclear,3.3071531352704615,1.2884116366470235,0.24509803921568626,2
DA15/ID15 (Oct-Dec 2025),Flat,Wind,52.9872556123728,61.41767634128365,38.84803921568628,317
DA15/ID15 (Oct-Dec 2025),Flat,_unmapped_,2.2564537565207243,1.8311088020284787,11.27450980392157,92
DA15/ID15 (Oct-Dec 2025),Midday,Biomass,0.7075492250944684,0.7315662322637722,3.2925916687453234,396
DA15/ID15 (Oct-Dec 2025),Midday,CCGT,0.3120656885503294,0.2640882752928188,0.09146087968737009,11
DA15/ID15 (Oct-Dec 2025),Midday,Cogen,1.6925769834651765,1.8316047588575497,7.325185000415731,881
DA15/ID15 (Oct-Dec 2025),Midday,Hybrid_RES,1.9331845875308946,1.8622833427911916,1.6629250852249107,200
DA15/ID15 (Oct-Dec 2025),Midday,Hydro,0.9376694988468443,0.8175101722281429,0.8148332917602061,98
DA15/ID15 (Oct-Dec 2025),Midday,Hydro_RES,1.4295823848910323,1.4778406228356233,6.651700340899643,800
DA15/ID15 (Oct-Dec 2025),Midday,Hydro_pump,0.680744930998475,0.5450250752146678,0.21618026107923838,26
DA15/ID15 (Oct-Dec 2025),Midday,Nuclear,0.578155401801477,0.36199631417943295,0.016629250852249106,2
DA15/ID15 (Oct-Dec 2025),Midday,Solar PV,34.85339523562687,33.74682649532029,46.72819489481999,5620
DA15/ID15 (Oct-Dec 2025),Midday,Solar Thermal,0.0577854905230894,0.07974236575238268,0.09977550511349464,12
DA15/ID15 (Oct-Dec 2025),Midday,Wind,53.4124540803678,55.1557034176711,24.644549763033176,2964
DA15/ID15 (Oct-Dec 2025),Midday,_unmapped_,3.404836492303532,3.1258129275930546,8.455974058368671,1017
DA15/ID15 (Oct-Dec 2025),Dropped,Biomass,0.4344956658399719,0.5091451114884896,3.129657228017884,189
DA15/ID15 (Oct-Dec 2025),Dropped,CCGT,2.791694525244681,2.8932611103610912,0.8279516476237788,50
DA15/ID15 (Oct-Dec 2025),Dropped,Cogen,1.1239095894100368,1.2927975190919547,7.766186454711045,469
DA15/ID15 (Oct-Dec 2025),Dropped,Hybrid_RES,1.268623696601339,1.397326613154718,1.5731081304851797,95
DA15/ID15 (Oct-Dec 2025),Dropped,Hydro,8.959475731334294,8.740811268931097,3.4608378870673953,209
