firm,tech_group,pdbf_mwh,phf_mwh,month,intervention_mwh
IB,Wind,646762.6999999997,713953.0249999994,2025-04-01,67190.32499999972
GE,CCGT,0.0,376793.39999999985,2025-05-01,376793.39999999985
GE,Hydro,1270834.20000001,1020721.6749999949,2025-05-01,-250112.52500001504
GE,Hydro_pump,133085.6999999996,102852.12499999964,2025-05-01,-30233.574999999968
GE,Nuclear,881943.3,1329896.8750000072,2025-05-01,447953.5750000072
GE,Solar PV,39.400000000000105,39.40000000000012,2025-05-01,1.4210854715202004e-14
GN,CCGT,0.0,1064022.2249999945,2025-05-01,1064022.2249999945
GN,Hydro,462590.09999999683,447268.70000000176,2025-05-01,-15321.399999995076
GN,Hydro_pump,1927.6,5422.125,2025-05-01,3494.525
GN,Solar PV,105741.00000000017,100428.62500000007,2025-05-01,-5312.375000000102
GN,Wind,186294.40000000002,188471.02500000002,2025-05-01,2176.625
HC,CCGT,0.0,123136.875,2025-05-01,123136.875
HC,Hydro,86991.79999999997,72914.97499999993,2025-05-01,-14076.82500000004
HC,Solar PV,14054.300000000007,17569.625000000004,2025-05-01,3515.324999999997
HC,Wind,233129.69999999914,253287.1000000001,2025-05-01,20157.400000000955
IB,CCGT,1662.3000000000002,256252.67500000005,2025-05-01,254590.37500000006
IB,Hydro,1875459.6999999878,1721127.3999999831,2025-05-01,-154332.3000000047
IB,Hydro_pump,303760.00000000023,296922.6499999999,2025-05-01,-6837.350000000326
IB,Nuclear,1728137.2000000002,1740304.175000003,2025-05-01,12166.975000002887
IB,Solar PV,474081.99999999884,473776.42499999877,2025-05-01,-305.57500000006985
IB,Wind,440504.3999999994,485784.7250000001,2025-05-01,45280.32500000071
GE,CCGT,214318.9,618348.8999999999,2025-06-01,404029.9999999999
GE,Hydro,1038976.6999999892,704458.6999999996,2025-06-01,-334517.99999998964
GE,Hydro_pump,129718.39999999994,106788.14999999982,2025-06-01,-22930.250000000116
GE,Nuclear,1471065.2999999998,1469055.925,2025-06-01,-2009.3749999997672
GE,Solar PV,68.00000000000041,68.00000000000038,2025-06-01,-2.842170943040401e-14
GN,CCGT,132975.30000000013,1172391.0749999974,2025-06-01,1039415.7749999972
GN,Hydro,162713.50000000116,161667.12499999948,2025-06-01,-1046.375000001688
GN,Hydro_pump,254.3,759.375,2025-06-01,505.075
GN,Solar PV,121154.4,108040.62500000003,2025-06-01,-13113.774999999965
GN,Wind,163820.79999999964,168347.34999999992,2025-06-01,4526.550000000279
HC,CCGT,0.0,170733.55000000002,2025-06-01,170733.55000000002
HC,Hydro,54823.69999999984,36087.67500000005,2025-06-01,-18736.02499999979
HC,Solar PV,20167.40000000001,21328.87499999999,2025-06-01,1161.4749999999804
HC,Wind,225448.8000000002,218827.30000000002,2025-06-01,-6621.500000000175
IB,CCGT,88605.4,367334.3250000001,2025-06-01,278728.92500000016
IB,Hydro,1257449.4999999977,1230200.8250000007,2025-06-01,-27248.67499999702
IB,Hydro_pump,230665.39999999973,242082.5749999997,2025-06-01,11417.17499999996
IB,Nuclear,2686361.400000016,2651035.45000001,2025-06-01,-35325.95000000624
IB,Solar PV,481818.999999998,471909.2499999992,2025-06-01,-9909.749999998836
IB,Wind,475106.999999999,512201.649999999,2025-06-01,37094.649999999965
GE,CCGT,254784.60000000003,614078.5999999996,2025-07-01,359293.9999999996
GE,Hydro,704109.599999989,505425.0999999941,2025-07-01,-198684.49999999494
GE,Hydro_pump,163022.59999999922,143793.02499999973,2025-07-01,-19229.574999999488
GE,Nuclear,2067920.8999999994,2024703.2750000008,2025-07-01,-43217.6249999986
