Código de UP;Descripción corta;Descripción larga;Potencia máxima MW;Código EIC;Tipo de producción;Negocio;Zona de Regulación;Sujeto del Mercado;Tipo de UP
SHEPV01;SHEEN PV1;SHEEN PV1;35,0;18W000000000IJKO;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV02;SHEEN PV2;SHEEN PV2;35,0;18W000000000IJLM;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV03;SHEEN PV3;SHEEN PV3;150,0;18W000000000J1G8;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV04;SHEEN PV4;SHEEN PV4;47,4;18W000000000KLGI;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV05;SHEPV05;SHEEN PV5;36,0;18W000000000KLHG;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV06;SHEPV06;PV VIRGEN DEL CARMEN;20,0;18W000000000OB99;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV07;QUNI SPV;LAS QUINIENTAS SPV;90,7;18W000000000LSA5;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV08;SPV HUELVA;SPV HUELVA BRUC;40,9;18W000000000MGUY;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV09;TLLANO;PUERTOLLANO;26,5;18W000000000PS41;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV10;VILLAR;VILLAR;26,5;18W000000000PS7W;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV11;MERIDA;SAN SERVAN 2020;43,2;18W000000000PH05;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV12;FREYA;FREYA SOLAR;40,8;18W000000000PPAZ;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV13;DR III;DON RODRIGO III;40,8;18W000000000POYR;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV14;DR IV;DON ROGDRIGO IV;42,8;18W000000000POZP;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV15;DR V;DON RODRIGO V;42,8;18W000000000PP0I;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV16;BIANOR;BIANOR SOLAR;11,0;18W000000000PP1G;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV17;FUENTE1;FUENTE1;15,0;18W000000000PV4T;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV18;FUENTE2;FUENTE2;41,3;18W000000000PV6P;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV19;FUENTE3;FUENTE3;41,3;18W000000000PV7N;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV20;FUENTE4;FUENTE4;14,3;18W000000000PV8L;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV21;HINOJOSAS;HINOJOSAS;35,0;18W000000000QDYJ;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV22;THERMISTO;THERMISTO FV147;40,0;18W000000000Q0UT;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV23;TELESTO7;TELESTO7;40,0;18W000000000Q6AE;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV24;TETHYS;THETYS SOLAR FV144;40,0;18W000000000Q4AK;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV25;RHEA;TRILLO4;40,0;18W000000000Q0WP;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV26;TELESTO;TELESTO;40,0;18W000000000Q6CA;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV27;BIANOR SPV;BIANOR SPV;29,7;18W000000000QQIC;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV28;CANADA ALT;CANADA ALTA;43,4;18W000000000R7YX;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV29;JEREZ;JEREZ;20,0;18W000000000TF3Q;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV30;BENACAZON;BENACAZON;20,0;18W000000000T8P3;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV31;GAZULES;GAZULES;28,0;18W000000000U8EL;Solar fotovoltaica;Venta;SZR;SHEEN;Generación
SHEPV32;CASA VIEJA;CASA VIEJA;47,3;18W000000000SSPL;Eólica terrestre;Venta;SZR;SHEEN;Generación
SHEPV33;PEDREJONES;PE PEDREJONES;44,0;18W000000000T5PC;Eólica terrestre;Venta;SZR;SHEEN;Generación
SHEPV34;PE AIRAS;PE AIRAS;23,3;18W000000000SRKY;Eólica terrestre;Venta;SZR;SHEEN;Generación
SHIRC01;SHIRYU;SHIRYU ENERGIA;1,0;18W000000000UHOB;Comercializadores mercado libre;Compra;SZR;SHIRY;Comercializadores
SIGMU;SOLARMULA;UP MULA 400MW;392,8;18W000000000F3DO;Solar fotovoltaica;Venta;AXPO ;EGLE;Generación
SIGNC01;SIGNO;SIGNO;0,1;18W000000000JX58;Comercializadores mercado libre;Compra;SZR;SIGNO;Comercializadores
SIL;SIL G;UGH. SIL GENERACION;1.556,6;18WSIL-123456-0G;Hidráulica UGH;Venta;IBEG ;IBEG;Generación
SILB;SIL B;UGH.B. SIL BOMBEO;412,0;18WSILB-12345-0I;Consumo bombeo;Compra;SZR;IBEG;Consumo bombeo
SILOC01;HSILOS;HOTEL SANTO DOMINGO DE SILOS;0,1;18W00000000086QH;Consumos directos en mercado;Compra;SZR;SILOS;Consum. directos a mercado
SIMPV01;SIMPV01;SIMPV01;0,7;18W000000000F2EP;Solar fotovoltaica;Venta;SZR;SIMPE;Generación
SISLA;FV LA ISLA;PFV LA ISLA;4,2;18W000000000R6OJ;Solar fotovoltaica;Venta;SZR;TOTGA;Generación
SKISSO;KISSORO;UP SF KISSORO;42,3;18W000000000N7BL;Solar fotovoltaica;Venta;IGR ;IGNIS;Generación
SLCZC01;SLCZC01;SLCZC01;0,0;18W000000000TNI9;Comercializadores mercado libre;Compra;SZR;SLCZN;Comercializadores
SLOREC;SANLOREC;SAN LORENZO C;28,1;18W000000000U3LM;Eólica terrestre;Venta;SZR;RENSP;Generación
SLORED;SAN LORED;SAN LORENZO D;33,7;18W000000000U3NI;Eólica terrestre;Venta;SZR;RENSP;Generación
SLTB;SALLENT B;UGH.B. ESTANGENTO-SALLENTE BOMBEO;400,0;18WSLTB-12345-05;Consumo bombeo;Compra;SZR;ENDG;Consumo bombeo
SLTG;SALLENT G;UGH. ESTANGENTO -SALLENTE GENERACION;439,2;18WSLTG-12345-0T;Turbinación bombeo;Venta;END ;ENDG;Generación
SMARCP3;SMAR_C;SMARD_COMPRA;10,0;18W000000000SWEV;Exportación Francia;Compra;SZR;SMARC;Comercializador internacional
SMARVP3;SMARV;SMARD-VENTA;10,0;18W000000000SWFT;Importación Francia;Venta;SZR;SMARC;Comercializador internacional
SMASOL1;SMASOL1;MANCHASOL I;49,9;18W000000000FZB6;Solar térmica;Venta;SZR;ELEIA;Generación
SMGCP3;SMGCP3;SMG ENTREGA DE ENERGÍA EN FRANCIA (AGENTE EXTERNO);300,0;18WSMGCP3-123-4U;Exportación Francia;Compra;SZR;SMG;Comercializador internacional
SMGVP3;SMGVP3;SMG INCORPORACIÓN DE ENERGÍA DESDE FRANCIA (AGENTE EXTERNO);300,0;18WSMGVP3-123-3R;Importación Francia;Venta;SZR;SMG;Comercializador internacional
SMILANO;UP MILANO;UP FV MILANO SOLAR;43,8;18W000000000R4F6;Solar fotovoltaica;Venta;IGR ;IGNIS;Generación
SNARA;NARANJILLA;PSF LAS NARANJILLAS;48,7;18W000000000JDRO;Solar fotovoltaica;Venta;IGR ;IGNIS;Generación
SNIAC01;SNIACONS;SNIACECONSUMIDORDIRECTO;4,5;18WSNIAC01-123-E;Consumos directos en mercado;Compra;SZR;SNIA;Consum. directos a mercado
SNICOG;SNIACE COG;SNIACE COGENERACION, S.A.;84,1;18WSNICOG-123-0K;Gas Natural Cogeneración;Venta;SZR;COGEN;Generación
SOECC01;SF ENERGY;SECONF FOUNDATION ENERGY;1,0;18W000000000OWRL;Comercializadores mercado libre;Compra;SZR;SECOB;Comercializadores
SOL2;SOL2;EL SOLVENTE 2;2,1;18WSOL2-123456-H;Hidráulica UGH;Venta;SZR;BARER;Generación
SOLANAS;FVSOLAN;LAS SOLANAS FV;4,9;18W000000000RZUV;Solar fotovoltaica;Venta;SZR;ELEIA;Generación
SOLFC01;SOLFC01;COMPRA COMERCIALIZADORA;1,0;18W000000000Q2BO;Comercializadores mercado libre;Compra;SZR;SOLFL;Comercializadores
SOLGEN;SOLGENERA;SOLGENERA;3,5;18W000000000SLDT;Solar fotovoltaica;Venta;SZR;TRISO;Generación
SOLIC01;PENIN;PENIN;1,0;18W000000000U2NL;Comercializadores mercado libre;Compra;SZR;SOLIM;Comercializadores
SOLINZA;SOLINZA;PTS OLIVENZA 1;50,0;18W000000000PYLN;Solar térmica;Venta;SZR;EGLE;Generación
SOLLC01;SOLLC01;E.SOLLERENSE PENINSULA;0,3;18WSOLLC01-123-7;Comercializadores mercado libre;Compra;SZR;SOLL;Comercializadores
SOLTC01;SOLTC01;SOLTC01;0,1;18W000000000Q8C4;Comercializadores mercado libre;Compra;SZR;SOLTE;Comercializadores
SOLVAYM;SOLVAY M;SOLVAY - MARTORELL;21,0;18WSOLVAYM-12-1W;Gas Natural Cogeneración;Venta;SZR;EBLCO;Generación
SOLWC01;SOLWE;SOLWE ENERGIA;0,2;18W000000000K5C0;Comercializadores mercado libre;Compra;SZR;SOLWE;Comercializadores
SOLWEJU;SOLWE JUND;SOLWE JUNDESOL;0,9;18W000000000SFAG;Solar fotovoltaica;Venta;SZR;SOLWE;Generación
SOLWESO;SOLWESOLCA;SOLWE SOLCASTEL;0,9;18W000000000SF9I;Solar fotovoltaica;Venta;SZR;SOLWE;Generación
SOMEC01;SOMENERGIA;SOM ENERGIA;200,0;18WSOMEC01-123-T;Comercializadores mercado libre;Compra;SZR;SOMEN;Comercializadores
SOMENFV;SOMEN FV P;SOMEN FOTOVOLTAICA MENOR 1MW;15,9;18W000000000RFSL;Solar fotovoltaica;Venta;SZR;SOMEN;Generación
SOMRE_F;REP_FV_PEN;REPRESENTACION SOLAR FOTOVOLTAICA PENINSULA;2,0;18W000000000FDBZ;Solar fotovoltaica;Venta;SZR;SOMRE;Generación
SOMRE_H;MINIHIDR P;SR MINIHIDRAULICA PENINSULA;1,8;18W000000000GB5C;Hidráulica no UGH;Venta;SZR;SOMRE;Generación
SONEC01;SONESTA L;SONESTA LUZ;5,0;18W000000000TFG0;Comercializadores mercado libre;Compra;SZR;SOLUZ;Comercializadores
SONES;SONES;SONES;5,4;18W000000000JNL6;Solar fotovoltaica;Venta;SZR;GNRA;Generación
SOPAG;SOPAG;SOPAG;5,8;18WSOPAG-12345-3;Solar fotovoltaica;Venta;SZR;GNRA;Generación
SOPRC01;SOPRO PEN;SOPRO PEN;1,0;18W000000000OBFY;Comercializadores mercado libre;Compra;SZR;SOPRO;Comercializadores
SORXC01;SOREX;SORS MARKETS LTD;100,0;18W000000000K2MQ;Comercializadores mercado libre;Compra;SZR;SOREX;Comercializadores
SPBBC01;SPBB;SPBB;2,0;18WSPBBC01-123-K;Consumos directos en mercado;Compra;SZR;SPBB;Consum. directos a mercado
SPBBR01;SPBRAD;SPB SRAD;2,4;18W000000000TRV8;Consumos directos en mercado;Compra;SZR;SPBB;Consum. directos a mercado
SPEEXXI;SPEEXXI;ENDESA CUR  ( SOLAR TERMICA, PRUEBAS);0,0;18WSPEEXXI-123-E;Solar térmica;Venta;SZR;EEXXI;Generación
SPEONUR;SPEONUR;E.ON CUR ( SOLAR TERMICA, PRUEBAS);0,0;18WSPEONUR-123-2;Solar térmica;Venta;SZR;EONUR;Generación
SPGGC01;SPGG;PLASTIENVASE;4,8;18W000000000G0YO;Consumos directos en mercado;Compra;SZR;SPGG;Consum. directos a mercado
SPHCCUR;SPHCCUR;HIDROCANTABRICO CUR ( SOLAR TERMICA, PRUEBAS);0,0;18WSPHCCUR-123-3;Solar térmica;Venta;SZR;HCCUR;Generación
SPIBCUR;SPIBCUR;IBERDROLA CUR  ( SOLAR TERMICA, PRUEBAS);0,0;18WSPIBCUR-123-2;Solar térmica;Venta;SZR;IBCUR;Generación
SPINC01;SPINC01;SPINREACT SAU;1,0;18W0000000007IVC;Consumos directos en mercado;Compra;SZR;SPINR;Consum. directos a mercado
SPLEX;SUNPLEX;UP SF SUNPLEX;42,3;18W000000000N77T;Solar fotovoltaica;Venta;IGR ;IGNIS;Generación
SPRS5;PUERTOLL5;RENOVALIA PUERTOLLANO 5;13,3;18W000000000JFKW;Solar fotovoltaica;Venta;IGR ;IGNIS;Generación
SPRS6;PUERTOLL6;RENOVALIA PUERTOLLANO 6;17,6;18W000000000JFLU;Solar fotovoltaica;Venta;IGR ;IGNIS;Generación
SPRS7;PUERTOLL7;RENOVALIA PUERTOLLANO 7;17,6;18W000000000JFMS;Solar fotovoltaica;Venta;IGR ;IGNIS;Generación
SPRS8;PUERTOLL8;RENOVALIA PUERTOLLANO 8;13,3;18W000000000JFNQ;Solar fotovoltaica;Venta;IGR ;IGNIS;Generación
SPRS9;PUERTOLL9;RENOVALIA PUERTOLLANO 9;8,0;18W000000000JFOO;Solar fotovoltaica;Venta;IGR ;IGNIS;Generación
SRI3;SOTORIBE 3;C.T. SOTO DE RIBERA 3;346,2;18WSRI3-12345-0N;Hulla antracita;Venta;HC ;HC G;Generación
SRI4;SOTORIBE 4;CC SOTO RIBERA 4;426,0;18W18WSRI4--123V;Ciclo Combinado;Venta;HC ;HC G;Generación
SRI5;SOTO5;C.C. SOTO DE RIBERA 5;428,1;18WSRI5-123456-L;Ciclo Combinado;Venta;HC ;CCSR4;Generación
SROQ1;SANROQUE1;C.T. SAN ROQUE (CICLO COMBINADO) GAS NATURAL;389,8;18WSROQ1-1234-06;Ciclo Combinado;Venta;NTG ;GNCC;Generación
SROQ2;SANROQUE2;C.T. SAN ROQUE (CICLO COMBINADO) ENDESA;401,8;18WSROQ2-1234-0Y;Ciclo Combinado;Venta;END ;ENDG;Generación
SRVGC01;GASHOGAR15;GASHOGAR15;50,0;18WSRVGC01-123-M;Comercializadores mercado libre;Compra;SZR;SRVGS;Comercializadores
SRVIC01;SRVI;SERVINERGIA;1,0;18W000000000RLFT;Comercializadores mercado libre;Compra;SZR;SERV;Comercializadores
SSEECP3;COMPRA_F;COMPRA_FRANCIA;20,0;18W000000000R3MW;Exportación Francia;Compra;SZR;SSEEN;Comercializador internacional
SSEEVP3;VENTA_F;VENTA_FRANCIA;20,0;18W000000000R3NU;Importación Francia;Venta;SZR;SSEEN;Comercializador internacional
SSOMA;ASOMADA;UP SF LA ASOMADA;4,2;18W000000000N0A7;Solar fotovoltaica;Venta;TOTENERG ;TOTGA;Generación
ST4;ST4;PARC ALBA ST4;9,7;18WST4-1234567-C;Gas Natural Cogeneración;Venta;SZR;LMER;Generación
STAQC01;S COLOMA;ELEC MUN S COLOMA DE QUERALT;1,6;18W0000000002VN9;Comercializadores mercado libre;Compra;SZR;STACO;Comercializadores
STC4;SANTURCE 4;C.T. SANTURCE 4;396,4;18WSTC4-12345-0I;Ciclo Combinado;Venta;IBEG ;IBGT;Generación
STHEEN1;STHEEN1;HELIOENERGY 1;50,0;18WSTHEEN1-123-7;Solar térmica;Venta;SZR;EGLE;Generación
STHEEN2;STHEEN2;HELIOENERGY 2;50,0;18WSTHEEN2-123-0;Solar térmica;Venta;SZR;EGLE;Generación
STHELI1;STHELI1;HELIOS 1 HYPERION;49,9;18WSTHELI1-123-L;Solar térmica;Venta;SZR;EGLE;Generación
STHELI2;STHELI2;HELIOS 2 HYPERION;49,9;18WSTHELI2-123-E;Solar térmica;Venta;SZR;EGLE;Generación
STINC01;STINC01;STIN UNIDAD COMERCIALIZACION;1,0;18W0000000000QYA;Comercializadores mercado libre;Compra;SZR;STIN;Comercializadores
STROC01;STROC1;STROC01ENERGY;0,1;18WENERGYSTROMXC;Comercializadores mercado libre;Compra;SZR;STROM;Comercializadores
STSANSO;STSANSO;SANLUCAR SOLAR;11,0;18WSTSANSO-123-E;Solar térmica;Venta;SZR;EGLE;Generación
STSLPRO;STSLPRO;SOLAR PROCESSES;20,0;18WSTSLPRO-123-5;Solar térmica;Venta;SZR;EGLE;Generación
STSOLA1;STSOLA1;TS SOLACOR 1;50,0;18WSTSOLA1-123-C;Solar térmica;Venta;SZR;EGLE;Generación
STSOLA2;STSOLA2;SOLACOR 2;50,0;18WSTSOLA2-123-5;Solar térmica;Venta;SZR;EGLE;Generación
STSOLB1;STSOLB1;SOLABEN 1;50,0;18WSTSOLB1-123-4;Solar térmica;Venta;SZR;EGLE;Generación
STSOLB2;STSOLB2;SOLABEN 2;50,0;18WSTSOLB2-123-Y;Solar térmica;Venta;SZR;EGLE;Generación
STSOLB3;STSOLB3;SOLABEN 3;50,0;18WSTSOLB3-123-R;Solar térmica;Venta;SZR;EGLE;Generación
STSOLB6;STSOLB6;SOLABEN 6;50,0;18WSTSOLB6-123-6;Solar térmica;Venta;SZR;EGLE;Generación
STSOLN1;STSOLN1;SOLNOVA 1;50,0;18WSTSOLN1-123-J;Solar térmica;Venta;SZR;EGLE;Generación
STSOLN3;STSOLN3;SOLNOVA 3;50,0;18WSTSOLN3-123-5;Solar térmica;Venta;SZR;EGLE;Generación
STSOLN4;STSOLN4;SOLNOVA 4;50,0;18WSTSOLN4-123-Z;Solar térmica;Venta;SZR;EGLE;Generación
STSOLUC;STSOLUC;UP TERMICA SOLUCIA;49,9;18W000000000NHEM;Solar térmica;Venta;SZR;NEXU;Generación
STUBOS;STUBOS;18WSTUBOS-1234-D;30,0;18WSTUBOS-1234-D;Solar térmica;Venta;SZR;EGLE;Generación
STVILLE;STVILLE;UP TERMOSOLAR VILLENA;49,9;18W000000000IR11;Solar térmica;Venta;SZR;NEXU;Generación
SUCAC01;SUCAS;SUCA SOCIEDAD COOPERATIVA;3,0;18W0000000005O6F;Comercializadores mercado libre;Compra;SZR;SUCAS;Comercializadores
SULAC01;SULAYR;SULAYR GLOBAL SERVICE;0,7;18WSULAC01-123-8;Consumos directos en mercado;Compra;SZR;SULA;Consum. directos a mercado
SUMAC01;SUMAE;SUMA ENERGIA SL;0,6;18W000000000HWT8;Comercializadores mercado libre;Compra;SZR;SUMAE;Comercializadores
SUNAC01;SUNAIR ONE;SUNAIR ONE ENERGY S.L.;0,1;18WSUNAC01-123-N;Comercializadores mercado libre;Compra;SZR;SUNAI;Comercializadores
SUNCC01;SUNCAPEN;SUNCA PENINSULA;0,1;18W000000000FCMG;Comercializadores mercado libre;Compra;SZR;SUNCA;Comercializadores
SUNFC01;SUNFC01;COMPRA ALDERAAN;1,0;18W000000000Q2AQ;Comercializadores mercado libre;Compra;SZR;SUNFL;Comercializadores
SUNHC01;SUNAIRHOME;SUNAIR ONE HOME;0,1;18WSUNAIRHOMEPEJ;Comercializadores mercado libre;Compra;SZR;SUNHO;Comercializadores
SUNPC01;UP SUNPS;UP SUN POWER 365;0,1;18W000000000OJXB;Comercializadores mercado libre;Compra;SZR;SUNPS;Comercializadores
SUPRC01;SELECTRA;SUMINISTROS PROPIOS ENERGIA;1,0;18W000000000TJ92;Comercializadores mercado libre;Compra;SZR;SUMIA;Comercializadores
SWAPC01;SWAPENERGI;SWAP ENERGIA;0,1;18WSWAPCO1-123-M;Comercializadores mercado libre;Compra;SZR;SWAPE;Comercializadores
SYEEXXI;SYEEXXI;ENDESA CUR  ( TARIFA, SOLAR TERMICA, NO EXENTA);0,0;18WSYEEXXI-123-H;Solar térmica;Venta;SZR;EEXXI;Generación
SYENC01;SYENC01;SYENE_UP;1,0;18W000000000LN6S;Comercializadores mercado libre;Compra;SZR;SYENE;Comercializadores
SYEONUR;SYEONUR;E.ON CUR ( TARIFA, SOLAR TERMICA, NO EXENTA);0,0;18WSYEONUR-123-5;Solar térmica;Venta;SZR;EONUR;Generación
SYGNSUR;SYGNSUR;GAS NATURAL SUR SDG ( TARIFA, SOLAR TERMICA, NO EXENTA;0,0;18WSYGNSUR-123-M;Solar térmica;Venta;SZR;GNSUR;Generación
SYHCCUR;SYHCCUR;HIDROCANTABRICO CUR ( TARIFA, SOLAR TERMICA, NO EXENTA);0,0;18WSYHCCUR-123-6;Solar térmica;Venta;SZR;HCCUR;Generación
SYIBCUR;SYIBCUR;IBERDROLA CUR  ( TARIFA, SOLAR TERMICA, NO EXENTA);0,0;18WSYIBCUR-123-5;Solar térmica;Venta;SZR;IBCUR;Generación
T1CEG;T1CEG;TERMICA AE 1MW EVM;10,0;18W0000000003XEH;Gas Natural Cogeneración;Venta;SZR;CEG;Generación
TACOR;TACOR;18WTACOR-12345-P;6,3;18WTACOR-12345-P;Gas Natural Cogeneración;Venta;SZR;EGLE;Generación
TAE2COG;TAE2COG;T ALTA EFICIENCIA 2 COGENERACION;32,0;18W0000000000S2V;Gas Natural Cogeneración;Venta;SZR;COGEN;Generación
TAE3COG;TAE3COG;T ALTA EFICIENCIA 3 COGENERACION;13,5;18W0000000000S3T;Gas Natural Cogeneración;Venta;SZR;COGEN;Generación
TAE4COG;TAE4COG;T ALTA EFICIENCIA 4 COGENERACION;6,4;18W0000000000S4R;Gas Natural Cogeneración;Venta;SZR;COGEN;Generación
TAE5COG;TAE5COG;T ALTA EFICIENCIA 5 COG;6,4;18W0000000000S5P;Gas Natural Cogeneración;Venta;SZR;COGEN;Generación
TAE6COG;TAE6COG;T ALTA EFICIENCIA 6 COG;8,4;18W0000000000S6N;Gas Natural Cogeneración;Venta;SZR;COGEN;Generación
TAE7COG;TAE7COG;T ALTA EFICIENCIA 7 COG;4,4;18W0000000000S7L;Gas Natural Cogeneración;Venta;SZR;COGEN;Generación
TAEEXXI;ATL COOP;ATLANTIC COOPER;11,5;18WTAEEXXI-123-X;Energía residual;Venta;SZR;EEXXI;Generación
TAFRICA;AFRICAN;AFRICANA;49,9;18W000000000QV0X;Solar térmica;Venta;SZR;GESTE;Generación
TAJB;TAJO B;UGH.B. TAJO BOMBEO;380,0;18WTAJB-12345-0C;Consumo bombeo;Compra;SZR;IBEG;Consumo bombeo
TAJO;TAJO G;UGH. TAJO GENERACION;2.227,8;18WTAJO-12345-0U;Hidráulica UGH;Venta;IBEG ;IBEG;Generación
TALEC01;TALARN_UP;TALARN_UNIDAD_PROGRAMACION;0,2;18W00000000047YE;Comercializadores mercado libre;Compra;SZR;TALEN;Comercializadores
TALGC01;TALGAR;METALGAR;0,5;18W000000000PO93;Consumos directos en mercado;Compra;SZR;TALGA;Consum. directos a mercado
TAMIZAL;TAMIZAL;ATOMIZADAS ALCORA;12,0;18WTAMIZAL-123-D;Gas Natural Cogeneración;Venta;SZR;ATAL;Generación
TAMPOC;AMPO;AMPO;7,6;18WTAMPOC-1234-8;Gas Natural Cogeneración;Venta;SZR;GEMSL;Generación
TANB;TANES B;C.H.B. TANES BOMBEO;110,0;18WTANB-12345-05;Consumo bombeo;Compra;SZR;HC G;Consumo bombeo
TANTEX;UP ANTEX;UP ANTEX;1,0;18WTANTEX-1234-R;Gas Natural Cogeneración;Venta;SZR;AME;Generación
TAPOWER;TARRAG IB;TARRAGONA POWER;416,9;18WTAPOWER-12-0V;Ciclo Combinado;Venta;SZR;TAPOW;Generación
TARATO;TARATO;18WTARATO-123--E;12,5;18WTARATO-123--E;Gas Natural Cogeneración;Venta;SZR;EGLE;Generación
TARCILL;TARCILL;UO ARCILLA BLANCA;9,9;18WTARCILL-123-9;Gas Natural Cogeneración;Venta;SZR;GNRA;Generación
TARTABR;TARTABR;ARTABRA 1MW GASOLEO;13,1;18WTARTABR-123-N;Derivados del petróleo ó carbón;Venta;SZR;CEG;Generación
TATLROS;TATLROS;ATLAS ROSELLO;23,4;18W000000000SSX5;Gas Natural Cogeneración;Venta;SZR;ATLAS;Generación
TATOM;TATOM;18WTATOM-1234-18;17,8;18WTATOM-1234-18;Gas Natural Cogeneración;Venta;SZR;EGLE;Generación
TAUTC01;TAUTRA;TAUTRA COMPRA;0,1;18W000000000L72A;Comercializadores mercado libre;Compra;SZR;TAUTR;Comercializadores
TAZGUAL;TAZGUAL;TAZGUAL;8,6;18W000000000NOX0;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
TAZUCA2;TAZUCA2;UP INST ALTA EFICIENCIA;20,8;18W000000000RTMS;Gas Natural Cogeneración;Venta;SZR;EGLE;Generación
TAZUCAR;TAZUCAR;UP  INST NO ALTA EFICIENCIA;12,8;18W000000000RTNQ;Gas Natural Cogeneración;Venta;SZR;EGLE;Generación
TAZULME;TAZULME;TAZULME;5,7;18W000000000NOYZ;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
TBANER;TBANER;UP ACABADOS BAÑERES;1,9;18W000000000L9VK;Gas Natural Cogeneración;Venta;SZR;EGLE;Generación
TBANY;TBANY;UP COG BANYOLES;4,4;18WTBANY-1234-1X;Gas Natural Cogeneración;Venta;SZR;AME;Generación
TBEFESA;TBEFESA;TBEFESA;12,2;18WTBEFESA-123-J;Residuos varios;Venta;SZR;REPSB;Generación
TBESOS;TBESOS;UP TERMICA FBESOS;4,6;18W000000000NQHQ;Gas Natural Cogeneración;Venta;SZR;NEXU;Generación
TBIEMTE;TBIEMTE;BIEMTE ( NO RENOVABLE,TARIFA,NO EXENTO );9,9;18WTBIEMTE-123-P;Gas Natural Cogeneración;Venta;IGNIS ;IGNIS;Generación
TBIOBG;VERTBG;VERTBG;24,8;18W000000000GW3R;Gas Natural Cogeneración;Venta;AXC ;EGLE;Generación
TBIOCL;COGPAS;BIO CASTILLA LEON VX;24,7;18W000000000GMS7;Gas Natural Cogeneración;Venta;ENCE ;EENER;Generación
TBIOEC;VERTEC;VERTEC;21,6;18W000000000GW4P;Gas Natural Cogeneración;Venta;ENCE ;EENER;Generación
TBLANSA;TBLANSA;18W000000000N7H9;4,9;18W000000000N7H9;Gas Natural Cogeneración;Venta;SZR;EGLE;Generación
TBOIRO;TBOIRO;18WTBOIRO-1234-W;24,6;18WTBOIRO-1234-W;Derivados del petróleo ó carbón;Venta;SZR;EGLE;Generación
TBOREME;TBOREME;BOREMER GN 1MW;24,1;18WTBOREME-123-V;Gas Natural Cogeneración;Venta;SZR;GNRA;Generación
TBORGES;BORGS;BORGES;22,5;18W000000000QV5N;Solar térmica;Venta;SZR;GESTE;Generación
TBPREF1;TBPREF1;BP REFI 1;28,5;18W000000000IZTW;Residuos varios;Venta;SZR;BP;Generación
TBPREF2;TBPREF2;BP REFI 2;25,6;18W000000000IZUU;Residuos varios;Venta;SZR;BP;Generación
TBUNGE;TBUNGE;BUNGE GN AE 1MW;29,7;18WTBUNGE-1234-L;Gas Natural Cogeneración;Venta;SZR;CEG;Generación
TBUTARQ;TBUTARQ;BUTARQUE - TARIFA>10MW;18,0;18WTBUTARQ-123-5;Gas Natural Cogeneración;Venta;SZR;CEG;Generación
TBUTETE;BIOGASUTEM;BIOGAS UTE TEM;1,6;18WTBUTETE-123-0;Biogás;Venta;SZR;UTTEM;Generación
TCANAIS;TCANAIS;CANAISA - TARIFA>10MW;19,9;18WTCANAIS-123-Z;Gas Natural Cogeneración;Venta;SZR;GNRA;Generación
TCAPSA;TCAPSA;UP CAPSA;9,7;18WTCAPSA-1234-M;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
TCAVLO;TCAVLO;DICEPA PAPELERA ENATE ( T );4,9;18WTCAVLO-123-1Z;Gas Natural Cogeneración;Venta;SZR;WMARK;Generación
TCELISI;TCELISI;COMPAÑIA ENERGÉTICA DE LINARES, S.L.;25,0;18WTCELISI-123-3;Gas Natural Cogeneración;Venta;SZR;GNRA;Generación
