firm,pdbf_mwh,month,phf_mwh,intervention_mwh,intervention_share
HC,146256.3,2024-12-01,218325.4,72069.1,0.4927589444010276
HC,40030.0,2025-01-01,101473.2,61443.2,1.5349288033974517
HC,3060.0,2025-02-01,90796.5,87736.5,28.67205882352941
HC,1820.0,2025-03-01,62544.0,60724.0,33.36483516483516
HC,0.0,2025-04-01,57627.675,57627.675,
HC,0.0,2025-05-01,123136.87500000001,123136.87500000001,
HC,0.0,2025-06-01,170733.55000000002,170733.55000000002,
HC,6572.0,2025-07-01,60821.59999999999,54249.59999999999,8.254656116859403
HC,0.0,2025-08-01,93166.65,93166.65,
HC,6041.6,2025-09-01,76708.65,70667.04999999999,11.696744239936438
HC,18473.700000000023,2025-10-01,124650.84999999995,106177.14999999992,5.7474761417582725
HC,0.0,2025-11-01,66383.775,66383.775,
HC,29345.475000000042,2025-12-01,102150.89999999997,72805.42499999993,2.480976198204317
HC,22981.025000000016,2026-01-01,111565.77499999997,88584.74999999994,3.854690989631658
HC,0.0,2026-02-01,529.0,529.0,
IB,175331.70000000007,2024-01-01,300948.7,125616.99999999994,0.7164534422468949
IB,13801.099999999999,2024-02-01,156101.3,142300.19999999998,10.310786821340328
IB,32360.8,2024-03-01,192096.5,159735.7,4.936086252503029
IB,22039.699999999997,2024-04-01,166791.4,144751.7,6.567770886173588
IB,5945.5,2024-05-01,146432.69999999998,140487.19999999998,23.629164914641322
IB,27780.5,2024-06-01,148259.9,120479.4,4.336833390327747
IB,148423.99999999997,2024-07-01,319091.4999999999,170667.4999999999,1.1498645771573326
IB,141222.5,2024-08-01,353106.3,211883.8,1.5003544052824442
IB,88585.9,2024-09-01,234569.89999999997,145983.99999999997,1.647937199938139
IB,36328.299999999996,2024-10-01,196637.19999999995,160308.89999999997,4.412782871755628
IB,184146.99999999983,2024-11-01,409999.79999999993,225852.8000000001,1.2264810178824543
IB,411967.1999999997,2024-12-01,521202.59999999974,109235.40000000002,0.2651555754924181
IB,147764.2,2025-01-01,267658.8,119894.59999999998,0.8113913925023786
IB,55597.69999999999,2025-02-01,178136.99999999994,122539.29999999996,2.2040354187313502
IB,4750.799999999999,2025-03-01,99254.475,94503.675,19.892160267744384
IB,7117.099999999999,2025-04-01,191677.825,184560.725,25.932012336485368
IB,1662.3000000000002,2025-05-01,256252.67500000002,254590.37500000003,153.15549239006197
IB,88605.4,2025-06-01,367334.3250000002,278728.92500000016,3.145732935012992
IB,136143.2000000001,2025-07-01,334021.2250000001,197878.025,1.4534550752443005
IB,77255.9,2025-08-01,395651.9750000001,318396.07500000007,4.1213172715611375
IB,42182.399999999994,2025-09-01,383326.3999999998,341143.99999999977,8.087353967531477
IB,236484.07500000065,2025-10-01,477169.65000000014,240685.5749999995,1.0177665240249214
IB,41304.54999999999,2025-11-01,398721.22500000027,357416.6750000003,8.653203460635702
IB,41463.02500000001,2025-12-01,553940.1500000006,512477.1250000006,12.359858572788658
IB,74880.99999999996,2026-01-01,414061.1000000002,339180.10000000027,4.529588280071052
IB,0.0,2026-02-01,210515.125,210515.125,
Moeve,2040.0,2024-01-01,142123.8,140083.8,68.6685294117647
Moeve,1900.0,2024-02-01,72251.9,70351.9,37.02731578947368
Moeve,1544.0,2024-03-01,50091.799999999996,48547.799999999996,31.44287564766839
Moeve,14189.599999999999,2024-04-01,22679.8,8490.2,0.5983396290240741
Moeve,2810.0,2024-05-01,60798.399999999994,57988.399999999994,20.636441281138787
Moeve,2390.0,2024-06-01,75452.9,73062.9,30.570251046025103
Moeve,3100.0,2024-07-01,81440.5,78340.5,25.271129032258063
Moeve,2030.0,2024-08-01,76730.09999999999,74700.09999999999,36.79807881773399
Moeve,1645.0,2024-09-01,77190.29999999999,75545.29999999999,45.924194528875375
Moeve,2780.0,2024-10-01,139780.0,137000.0,49.280575539568346
Moeve,2800.0,2024-11-01,132062.40000000002,129262.40000000002,46.16514285714287
Moeve,2900.0,2024-12-01,130478.8,127578.8,43.99268965517241
Moeve,2130.0,2025-01-01,130302.4,128172.4,60.17483568075117
Moeve,5330.0,2025-02-01,172348.2,167018.2,31.33549718574109
Moeve,3090.0,2025-03-01,119745.00000000001,116655.00000000001,37.75242718446602
Moeve,0.0,2025-04-01,28302.824999999997,28302.824999999997,
Moeve,8452.5,2025-05-01,16869.275,8416.775000000001,0.9957734398107071
Moeve,0.0,2025-06-01,20034.725,20034.725,
Moeve,0.0,2025-07-01,14995.75,14995.75,
Moeve,0.0,2025-08-01,27499.45,27499.45,
Moeve,0.0,2025-09-01,16907.024999999998,16907.024999999998,
Moeve,1165.65,2025-10-01,23770.45,22604.8,19.39244198515849
Moeve,0.0,2025-11-01,38641.5,38641.5,
Moeve,0.0,2025-12-01,73693.475,73693.475,
Moeve,0.0,2026-01-01,51388.0,51388.0,
Moeve,0.0,2026-02-01,6367.475,6367.475,
TotalEnergies,14510.999999999998,2024-02-01,23243.4,8732.400000000003,0.6017779615464134
TotalEnergies,4387.4,2024-03-01,10683.4,6296.0,1.435018461959247
TotalEnergies,410.0,2024-04-01,8393.6,7983.6,19.47219512195122
TotalEnergies,0.0,2024-05-01,9954.0,9954.0,
TotalEnergies,0.0,2024-06-01,274.0,274.0,
TotalEnergies,94302.80000000002,2024-07-01,97982.1,3679.2999999999884,0.039015808650432304
TotalEnergies,120973.19999999994,2024-08-01,147470.59999999992,26497.39999999998,0.21903529046102768
TotalEnergies,100529.79999999999,2024-09-01,103698.2,3168.4000000000087,0.0315170228131361
TotalEnergies,14229.599999999999,2024-10-01,14829.399999999998,599.7999999999993,0.042151571372350545
TotalEnergies,159690.60000000003,2024-11-01,202016.10000000012,42325.50000000009,0.26504690946117104
TotalEnergies,312357.4,2024-12-01,304632.40000000014,-7724.999999999884,-0.024731285380144293
TotalEnergies,167831.40000000017,2025-01-01,165619.3000000001,-2212.100000000064,-0.013180489467406348
TotalEnergies,26635.699999999997,2025-02-01,37053.399999999994,10417.699999999997,0.3911179357028349
TotalEnergies,0.0,2025-03-01,2248.5,2248.5,
TotalEnergies,0.0,2025-04-01,963.25,963.25,
TotalEnergies,0.0,2025-05-01,45214.75,45214.75,
TotalEnergies,131038.20000000003,2025-06-01,175472.35000000003,44434.15000000001,0.339093104148256
TotalEnergies,109840.69999999994,2025-07-01,169541.02499999997,59700.325000000026,0.5435173392012256
TotalEnergies,77220.00000000001,2025-08-01,151484.625,74264.62499999999,0.9617278554778551
TotalEnergies,45726.50000000001,2025-09-01,137166.52500000008,91440.02500000008,1.9997162476900718
TotalEnergies,150323.0,2025-10-01,228394.00000000006,78071.00000000006,0.519354988923851
TotalEnergies,36142.375,2025-11-01,138045.65000000002,101903.27500000002,2.8194958134322943
TotalEnergies,76683.24999999999,2025-12-01,218898.74999999994,142215.49999999994,1.8545836281065287
TotalEnergies,52025.17499999999,2026-01-01,162600.025,110574.85,2.125410438311837
TotalEnergies,0.0,2026-02-01,27486.45,27486.45,
