d,tech,da_mwh,pdbf_mwh,ida_mwh,ci_mwh,ci_price_wavg,da_price,regime,bilat_mwh,omie_total_mwh,ci_share_omie,bilat_share_pdbf,ci_price_vs_da
2023-12-09,Solar_PV,33460.59999999973,36373.59999999969,7261.4000000003525,1484.700000000002,19.877927527446634,35.392500000000005,preIDA,2912.9999999999636,42206.700000000084,0.035176879500174126,0.08008555655750292,-15.514572472553372
2023-12-09,Wind,257056.90000000165,287712.70000000106,46674.799999994284,1533.2000000000005,43.56123728150272,35.392500000000005,preIDA,30655.799999999406,305264.89999999595,0.005022523061118461,0.10655004106526855,8.168737281502715
2023-12-10,CCGT,0.0,0.0,8300.2,651.9999999999999,56.02771165644172,38.895,preIDA,0.0,8952.2,0.07283125935524226,,17.132711656441714
2023-12-10,Hydro,12624.000000000035,145234.00000000003,6525.399999999984,1246.1000000000004,44.001210978252125,38.895,preIDA,132610.0,20395.500000000022,0.06109681057095923,0.9130782048280703,5.106210978252122
2023-12-10,Hydro_pump,5223.599999999999,5223.599999999999,4674.7,420.5000000000001,56.14415933412605,38.895,preIDA,0.0,10318.8,0.04075086250339188,0.0,17.24915933412605
2023-12-10,Nuclear,17788.40000000002,345714.00000000023,3856.4,0.0,,38.895,preIDA,327925.6000000002,21644.80000000002,0.0,0.94854590788918,
2023-12-10,Other,61716.09999999987,221713.9000000011,44584.69999999998,7879.199999999997,49.16898352624631,38.895,preIDA,159997.80000000124,114179.99999999984,0.06900683131897012,0.7216408172875063,10.273983526246305
2023-12-10,Solar_PV,39930.29999999989,44966.299999999814,6220.79999999983,1921.099999999999,44.0612992556348,38.895,preIDA,5035.999999999927,48072.19999999971,0.039962805946056355,0.11199498290942213,5.166299255634797
2023-12-10,Wind,193060.00000000096,224596.80000000136,36366.59999999973,1947.200000000003,44.46162078882493,38.895,preIDA,31536.800000000396,231373.8000000007,0.008415818904301167,0.1404151795573232,5.5666207888249275
2023-12-11,CCGT,5731.4,5731.4,21291.90000000001,315.7,52.624722838137494,74.62874999999998,preIDA,0.0,27339.00000000001,0.011547605984125237,0.0,-22.00402716186249
2023-12-11,Hydro,15156.700000000028,195233.5000000003,9289.00000000007,1323.3999999999994,81.31686564908571,74.62874999999998,preIDA,180076.80000000025,25769.100000000097,0.05135608150847311,0.9223662947188878,6.688115649085731
2023-12-11,Hydro_pump,18672.8,18672.8,5698.999999999999,76.9,23.60163849154746,74.62874999999998,preIDA,0.0,24448.7,0.0031453615120640363,0.0,-51.02711150845252
2023-12-11,Nuclear,36690.7,365262.20000000054,13418.3,41.4,57.47666666666666,74.62874999999998,preIDA,328571.5000000005,50150.4,0.0008255168453292495,0.8995496933435764,-17.152083333333323
2023-12-11,Other,71462.99999999985,257897.30000000075,61779.79999999841,14293.200000000184,61.61454558811118,74.62874999999998,preIDA,186434.3000000009,147535.99999999846,0.09687940570437273,0.7229013254500933,-13.014204411888805
2023-12-11,Solar_PV,41120.499999999665,51587.59999999954,7890.40000000042,1193.3000000000004,71.67305120254743,74.62874999999998,preIDA,10467.099999999875,50204.200000000084,0.023768927699276125,0.20289953399654118,-2.9556987974525555
2023-12-11,Wind,184104.20000000193,229750.8000000027,37187.09999999676,2173.3999999999887,76.2266839974237,74.62874999999998,preIDA,45646.60000000076,223464.6999999987,0.009725920917263448,0.19867874235911356,1.5979339974237234
2023-12-12,CCGT,310.0,310.0,17252.9,787.3,61.48655023498034,69.56166666666665,preIDA,0.0,18350.2,0.04290416453226668,0.0,-8.075116431686311
2023-12-12,Hydro,12499.400000000061,180978.80000000054,6311.400000000028,1213.7000000000003,53.84042597017384,69.56166666666665,preIDA,168479.4000000005,20024.50000000009,0.0606107518290092,0.9309344519910618,-15.721240696492814
2023-12-12,Hydro_pump,16381.399999999996,16381.399999999996,7539.300000000001,104.0,71.38816346153841,69.56166666666665,preIDA,0.0,24024.699999999997,0.004328878196189755,0.0,1.8264967948717583
2023-12-12,Nuclear,49368.29999999997,379132.0000000013,12899.399999999998,0.0,,69.56166666666665,preIDA,329763.7000000013,62267.69999999997,0.0,0.8697859848285034,
2023-12-12,Other,71259.80000000026,268834.39999999997,56681.199999998375,7136.499999999992,70.25661991172153,69.56166666666665,preIDA,197574.5999999997,135077.49999999863,0.05283263311802531,0.7349304999657771,0.6949532450548759
2023-12-12,Solar_PV,35281.99999999982,40460.39999999986,8918.300000000256,2305.200000000003,56.8653947596736,69.56166666666665,preIDA,5178.400000000045,46505.50000000008,0.04956833062756016,0.12798687111348536,-12.696271906993054
2023-12-12,Wind,238005.30000000086,283647.4000000006,38381.39999999822,1903.8999999999976,68.99093019591375,69.56166666666665,preIDA,45642.099999999744,278290.5999999991,0.006841409663136317,0.16091139915260866,-0.5707364707529052
2023-12-13,CCGT,260.0,260.0,12186.200000000004,1307.5000000000011,48.899897514340346,57.288333333333334,preIDA,0.0,13753.700000000006,0.09506532787540811,0.0,-8.388435818992988
2023-12-13,Hydro,13012.200000000015,164020.2,8665.80000000003,12.400000000000002,61.657338709677404,57.288333333333334,preIDA,151008.0,21690.400000000045,0.0005716814812082754,0.9206670885659205,4.36900537634407
2023-12-13,Hydro_pump,4629.599999999999,4629.599999999999,7377.9,926.8000000000003,40.14549956840739,57.288333333333334,preIDA,0.0,12934.300000000001,0.07165443819920678,0.0,-17.142833764925946
2023-12-13,Nuclear,52298.29999999997,382821.9999999992,7169.8,0.0,,57.288333333333334,preIDA,330523.6999999992,59468.09999999997,0.0,0.8633874228753831,
2023-12-13,Other,71416.80000000034,276066.19999999856,54166.89999999862,5225.79999999995,51.572028206207946,57.288333333333334,preIDA,204649.39999999822,130809.49999999891,0.03994969784304652,0.7413055274423282,-5.716305127125388
2023-12-13,Solar_PV,40571.09999999972,46536.09999999971,8608.200000000481,842.1000000000006,42.22874717966988,57.288333333333334,preIDA,5964.999999999985,50021.400000000205,0.016834794707864975,0.12818005806245095,-15.059586153663453
2023-12-13,Wind,289884.6000000003,332050.79999999894,38732.79999999562,1391.9999999999968,39.810565373563286,57.288333333333334,preIDA,42166.199999998615,330009.39999999595,0.004218061667334367,0.12698719593507604,-17.47776795977005
2023-12-14,CCGT,3732.0,3732.0,20549.599999999984,2889.399999999996,59.100974596802146,67.25875,preIDA,0.0,27170.999999999978,0.10634131978948137,0.0,-8.15777540319786
2023-12-14,Hydro,12496.000000000011,172123.80000000002,4663.699999999995,1185.7999999999984,64.00062826783609,67.25875,preIDA,159627.80000000002,18345.500000000004,0.06463710446703541,0.9274010915399264,-3.2581217321639144
2023-12-14,Hydro_pump,11457.099999999999,11457.099999999999,5333.399999999999,264.79999999999995,49.134425981873136,67.25875,preIDA,0.0,17055.299999999996,0.015525965535639948,0.0,-18.12432401812687
2023-12-14,Nuclear,56358.900000000096,384725.2000000007,36.2,0.0,,67.25875,preIDA,328366.3000000006,56395.10000000009,0.0,0.8535086861999163,
2023-12-14,Other,76597.70000000014,257289.4999999991,56461.09999999849,10144.90000000011,73.86651696911642,67.25875,preIDA,180691.79999999894,143203.69999999876,0.07084244331675926,0.7022898330479852,6.607766969116412
2023-12-14,Solar_PV,51655.29999999961,63877.89999999954,9624.60000000078,1922.4999999999982,67.12420650195078,67.25875,preIDA,12222.599999999933,63202.40000000039,0.030418148677898094,0.1913431718951315,-0.13454349804922572
2023-12-14,Wind,218832.2000000017,274543.90000000113,32886.59999999715,1172.000000000003,73.1695127986346,67.25875,preIDA,55711.69999999943,252890.79999999885,0.004634411374395622,0.20292455960594719,5.910762798634593
2023-12-15,CCGT,320.0,320.0,22495.100000000006,746.4000000000001,65.67561495176855,74.85541666666667,preIDA,0.0,23561.500000000007,0.03167879803917407,0.0,-9.179801714898119
2023-12-15,Hydro,11661.400000000018,185718.59999999974,7998.199999999978,603.2000000000004,80.28593832891245,74.85541666666667,preIDA,174057.19999999972,20262.799999999996,0.029768837475571023,0.9372093048299953,5.430521662245781
2023-12-15,Hydro_pump,8780.900000000001,8780.900000000001,12028.5,132.5,78.47649056603777,74.85541666666667,preIDA,0.0,20941.9,0.006327028588618988,0.0,3.6210738993710976
2023-12-15,Nuclear,47274.00000000021,385747.00000000285,0.0,0.0,,74.85541666666667,preIDA,338473.0000000026,47274.00000000021,0.0,0.8774481719883761,
2023-12-15,Other,76282.69999999998,281224.70000000007,63226.599999999205,13326.60000000017,78.58276597181496,74.85541666666667,preIDA,204942.0000000001,152835.89999999935,0.08719548221327729,0.7287482216178025,3.7273493051482944
