month,firm,bilateral_abs_mwh,auction_sell_mwh,bilateral_TWh,auction_TWh,total_TWh,bilat_share
2019-02-01,GE,1284192.500000001,1454934.999999996,1.284192500000001,1.454934999999996,2.739127499999997,0.46883268486041724
2019-02-01,GN,569736.0,984093.300000001,0.569736,0.984093300000001,1.553829300000001,0.36666575923108136
2019-02-01,HC,0.0,360811.49999999994,0.0,0.36081149999999995,0.36081149999999995,0.0
2019-02-01,IB,3480302.9999999935,1185160.3000000042,3.4803029999999935,1.1851603000000042,4.665463299999997,0.7459715737127319
2019-03-01,GE,1159850.6999999988,443616.50000000227,1.1598506999999987,0.44361650000000225,1.603467200000001,0.7233392114288325
2019-03-01,GN,627738.0,646972.6999999993,0.627738,0.6469726999999993,1.2747106999999993,0.49245526847778115
2019-03-01,HC,0.0,261479.89999999924,0.0,0.2614798999999992,0.2614798999999992,0.0
2019-03-01,IB,3585703.1999999974,1252120.2000000025,3.5857031999999975,1.2521202000000025,4.8378233999999996,0.7411810856923793
2019-04-01,GE,1065481.4999999977,671820.5999999996,1.0654814999999977,0.6718205999999997,1.7373020999999973,0.6132966166333417
2019-04-01,GN,608448.0,509245.30000000016,0.608448,0.5092453000000001,1.1176933,0.5443783191685948
2019-04-01,HC,0.0,226717.0999999996,0.0,0.2267170999999996,0.2267170999999996,0.0
2019-04-01,IB,2957119.700000003,1125898.1999999983,2.957119700000003,1.1258981999999984,4.0830179000000015,0.7242485270515228
2019-05-01,GE,1254480.8000000026,718218.2999999982,1.2544808000000025,0.7182182999999982,1.9726991000000007,0.6359210079225981
2019-05-01,GN,624000.0,633312.5000000007,0.624,0.6333125000000007,1.2573125000000007,0.496296664512601
2019-05-01,HC,0.0,228690.6999999994,0.0,0.22869069999999941,0.22869069999999941,0.0
2019-05-01,IB,2621475.2000000016,810778.7000000007,2.6214752000000017,0.8107787000000006,3.4322539000000023,0.7637765958981064
