parent,year_month,hour_class,n_obs,da_mwh_mean,strategic_ida_mwh_mean,rt2_mwh_mean,phf_mwh_mean
GE,2024-07-01,other,3472,39.680011520737324,5.886376728110599,-0.002304147465437788,45.564084101382484
GE,2024-08-01,critical_h18_22,1085,49.9926267281106,10.316866359447005,-25.419354838709676,34.89013824884793
GE,2024-08-01,flat_h3_5,651,80.69231950844853,7.28479262672811,-19.247311827956988,68.72980030721965
GE,2024-08-01,other,3472,40.89789746543779,4.121687788018433,-11.340437788018432,33.67914746543779
GE,2024-09-01,critical_h18_22,1050,48.11380952380952,5.983142857142857,-17.324761904761903,36.772190476190474
GE,2024-09-01,flat_h3_5,630,31.934126984126983,10.56031746031746,-14.795238095238096,27.699206349206342
GE,2024-09-01,other,3360,22.75252976190476,4.5425892857142856,-8.225,19.070119047619045
GE,2024-10-01,critical_h18_22,1085,18.39032258064516,7.079815668202765,-11.910599078341013,13.559539170506914
GE,2024-10-01,flat_h3_5,651,0.0,16.34869431643625,0.0,16.34869431643625
GE,2024-10-01,other,3472,2.5744527649769586,8.893289170506913,-0.8035714285714286,10.664170506912443
GE,2024-11-01,critical_h18_22,1050,83.54304761904761,18.15142857142857,-26.79047619047619,74.904
GE,2024-11-01,flat_h3_5,630,4.06984126984127,26.865873015873017,-3.3333333333333335,27.602380952380955
GE,2024-11-01,other,3360,24.74178571428571,22.66830357142857,-9.682738095238095,37.727351190476185
GE,2024-12-01,critical_h18_22,1085,124.17778801843318,11.812534562211981,-19.35483870967742,116.63548387096775
GE,2024-12-01,flat_h3_5,651,20.774961597542244,30.76835637480799,-0.7895545314900153,50.753763440860226
GE,2024-12-01,other,3472,63.61356566820276,18.309591013824885,-7.707373271889401,74.21578341013824
GE,2025-01-01,critical_h18_22,1085,62.10820276497695,6.95926267281106,-17.857142857142858,51.210322580645155
GE,2025-01-01,flat_h3_5,651,0.0,18.270353302611365,-0.4915514592933948,17.77880184331797
GE,2025-01-01,other,3472,22.218519585253457,13.316676267281107,-8.60924539170507,26.925950460829494
GE,2025-02-01,critical_h18_22,980,62.89224489795919,8.08765306122449,-29.073469387755104,41.90642857142857
GE,2025-02-01,flat_h3_5,588,0.0,7.70986394557823,0.0,7.70986394557823
GE,2025-02-01,other,3136,7.550797193877551,8.444323979591838,-4.518176020408164,11.476945153061227
GE,2025-03-01,critical_h18_22,2450,3.238857142857143,0.7030510204081633,-0.6530612244897959,3.28884693877551
GE,2025-03-01,flat_h3_5,1470,0.6632653061224489,1.6022619047619047,0.0,2.2655272108843536
GE,2025-03-01,other,7560,0.45674603174603173,0.8728968253968254,0.0,1.3296428571428571
GE,2025-04-01,critical_h18_22,4200,0.12264285714285715,0.3643869047619048,0.0,0.48702976190476194
GE,2025-04-01,flat_h3_5,2520,0.0,0.31607142857142856,0.0,0.31607142857142856
GE,2025-04-01,other,12810,0.11670569867291179,-0.02823575331772053,0.0,0.08846994535519126
GE,2025-05-01,critical_h18_22,4340,0.0,0.5666647465437787,0.0,0.5666647465437787
GE,2025-05-01,flat_h3_5,2604,0.0,0.10735407066052227,0.0,0.10735407066052227
GE,2025-05-01,other,13237,0.0,0.0748073581627257,0.0,0.0748073581627257
GE,2025-06-01,critical_h18_22,4200,16.625666666666667,1.2248452380952382,0.0,17.850511904761905
GE,2025-06-01,flat_h3_5,2520,13.21670634920635,3.743204365079365,0.0,16.959910714285716
GE,2025-06-01,other,12810,8.679547228727557,1.181797423887588,0.0,9.861344652615145
GE,2025-07-01,critical_h18_22,4240,19.25764150943396,1.7090860849056604,0.0,20.96672759433962
GE,2025-07-01,flat_h3_5,2543,14.444750294927251,2.275245772709398,0.0,16.71999606763665
GE,2025-07-01,other,12898,10.575220964490619,0.727531400217088,0.0,11.302752364707707
GE,2025-08-01,critical_h18_22,4340,16.744170506912443,3.8058582949308755,0.0,20.550028801843318
GE,2025-08-01,flat_h3_5,2604,13.438402457757295,1.8240399385560677,0.0,15.262442396313363
GE,2025-08-01,other,13237,8.183153282465815,1.4821013069426607,0.0,9.665254589408477
GE,2025-09-01,critical_h18_22,4200,12.758785714285715,5.1319107142857145,0.0,17.89069642857143
GE,2025-09-01,flat_h3_5,2520,7.174880952380953,2.414454365079365,0.0,9.589335317460318
GE,2025-09-01,other,12810,4.35432474629196,1.9927400468384076,0.0,6.347064793130367
GE,2025-10-01,critical_h18_22,4340,24.92879608294931,0.6017165898617511,0.0,25.530512672811064
GE,2025-10-01,flat_h3_5,2604,12.54615975422427,1.8180107526881721,0.0,14.364170506912442
GE,2025-10-01,other,13237,8.226153962378183,1.2357331721689204,0.0,9.461887134547103
GE,2025-11-01,critical_h18_22,4200,15.126767857142857,3.3012678571428573,0.0,18.428035714285713
GE,2025-11-01,flat_h3_5,2520,0.0,1.8901488095238097,0.0,1.8901488095238097
GE,2025-11-01,other,12810,1.5558821233411395,1.6994164715066356,0.0,3.2552985948477753
GE,2025-12-01,critical_h18_22,4340,19.445933179723504,7.63549539170507,0.0,27.081428571428575
GE,2025-12-01,flat_h3_5,2604,0.43202764976958524,4.370842933947772,0.0,4.8028705837173575
GE,2025-12-01,other,13237,5.327168164992068,4.8476864093072445,0.0,10.174854574299314
GN,2024-01-01,critical_h18_22,2790,18.011111111111113,8.692007168458781,0.17204301075268819,26.87516129032258
GN,2024-01-01,flat_h3_5,1674,3.1726403823178018,3.3887694145758664,0.0,6.561409796893669
